Wavelength (nm)	N07 abs N
553.00	0.33445
554.00	0.29592
555.00	0.25897
556.00	0.22585
557.00	0.19707
558.00	0.17057
559.00	0.14747
560.00	0.12640
561.00	0.10908
562.00	0.093744
563.00	0.079807
564.00	0.068121
565.00	0.058139
566.00	0.049634
567.00	0.041991
568.00	0.035510
569.00	0.030285
570.00	0.025986
571.00	0.022248
572.00	0.019090
573.00	0.016316
574.00	0.013829
575.00	0.012273
576.00	0.010755
577.00	0.0090876
578.00	0.0078633
579.00	0.0074509
580.00	0.0065180
581.00	0.0057653
582.00	0.0051864
583.00	0.0047887
584.00	0.0042427
585.00	0.0038190
586.00	0.0036530
587.00	0.0034390
588.00	0.0030644
589.00	0.0030820
590.00	0.0030066
591.00	0.0028503
592.00	0.0026525
593.00	0.0025937
594.00	0.0025751
595.00	0.0022715
596.00	0.0024399
597.00	0.0023092
598.00	0.0024444
599.00	0.0024483
600.00	0.0023293
601.00	0.0024106
602.00	0.0023381
603.00	0.0020942
604.00	0.0022367
605.00	0.0021814
606.00	0.0020859
607.00	0.0022313
608.00	0.0021794
609.00	0.0020673
610.00	0.0022416
611.00	0.0020575
612.00	0.0020413
613.00	0.0019962
614.00	0.0022049
615.00	0.0022450
616.00	0.0021250
617.00	0.0020095
618.00	0.0020736
619.00	0.0020849
620.00	0.0021172
621.00	0.0021725
622.00	0.0020354
623.00	0.0022156
624.00	0.0021089
625.00	0.0020168
626.00	0.0020761
627.00	0.0021833
628.00	0.0022989
629.00	0.0021951
630.00	0.0024086
631.00	0.0023670
632.00	0.0022597
633.00	0.0026202
634.00	0.0025673
635.00	0.0026887
636.00	0.0027637
637.00	0.0024483
638.00	0.0025423
639.00	0.0022445
640.00	0.0021461
641.00	0.0019551
642.00	0.0018532
643.00	0.0020183
644.00	0.0022960
645.00	0.0019869
646.00	0.0022098
647.00	0.0021544
648.00	0.0024086
649.00	0.0024238
650.00	0.0026329
651.00	0.0026990
652.00	0.0022220
653.00	0.0019228
654.00	0.0019742
655.00	0.0026657
656.00	0.0025849
657.00	0.0021182
658.00	0.0023503
659.00	0.0024223
660.00	0.0021495
661.00	0.0022901
662.00	0.0022196
663.00	0.0021721
664.00	0.0022010
665.00	0.0021216
666.00	0.0025560
667.00	0.0020251
668.00	0.0016613
669.00	0.0025207
670.00	0.0021691
671.00	0.0023268
672.00	0.0020942
673.00	0.0022455
674.00	0.0022107
675.00	0.0021045
676.00	0.0022485
677.00	0.0022210
678.00	0.0024130
679.00	0.0020917
680.00	0.0023533
681.00	0.0022485
682.00	0.0022411
683.00	0.0023342
684.00	0.0023459
685.00	0.0022661
686.00	0.0022627
687.00	0.0023224
688.00	0.0021735
689.00	0.0022832
690.00	0.0022372
691.00	0.0020908
692.00	0.0022377
693.00	0.0024052
694.00	0.0024728
695.00	0.0023009
696.00	0.0022916
697.00	0.0019605
698.00	0.0020555
699.00	0.0021809
700.00	0.0021162
