Wavelength (nm)	H13 abs N
220.00	0.98385
221.00	0.93567
222.00	0.89812
223.00	0.86846
224.00	0.84213
225.00	0.81853
226.00	0.79853
227.00	0.78230
228.00	0.76866
229.00	0.75593
230.00	0.74232
231.00	0.72575
232.00	0.70588
233.00	0.68178
234.00	0.65557
235.00	0.62720
236.00	0.59908
237.00	0.57168
238.00	0.54623
239.00	0.52373
240.00	0.50410
241.00	0.48752
242.00	0.47328
243.00	0.46040
244.00	0.44757
245.00	0.43421
246.00	0.41925
247.00	0.40288
248.00	0.38563
249.00	0.36876
250.00	0.35210
251.00	0.33677
252.00	0.32263
253.00	0.30875
254.00	0.29511
255.00	0.28106
256.00	0.26619
257.00	0.25146
258.00	0.23722
259.00	0.22408
260.00	0.21287
261.00	0.20430
262.00	0.19810
263.00	0.19418
264.00	0.19271
265.00	0.19326
266.00	0.19522
267.00	0.19825
268.00	0.20246
269.00	0.20691
270.00	0.21071
271.00	0.21334
272.00	0.21440
273.00	0.21398
274.00	0.21204
275.00	0.20945
276.00	0.20643
277.00	0.20385
278.00	0.20198
279.00	0.20125
280.00	0.20159
281.00	0.20340
282.00	0.20690
283.00	0.21121
284.00	0.21659
285.00	0.22288
286.00	0.22999
287.00	0.23776
288.00	0.24621
289.00	0.25526
290.00	0.26427
291.00	0.27331
292.00	0.28220
293.00	0.29094
294.00	0.29946
295.00	0.30722
296.00	0.31495
297.00	0.32283
298.00	0.33052
299.00	0.33895
300.00	0.34773
301.00	0.35729
302.00	0.36829
303.00	0.38066
304.00	0.39391
305.00	0.40797
306.00	0.42213
307.00	0.43625
308.00	0.45012
309.00	0.46421
310.00	0.47688
311.00	0.48862
312.00	0.50008
313.00	0.51209
314.00	0.52401
315.00	0.53743
316.00	0.55146
317.00	0.56571
318.00	0.58187
319.00	0.59871
320.00	0.61557
321.00	0.63371
322.00	0.65088
323.00	0.66735
324.00	0.68303
325.00	0.69776
326.00	0.71194
327.00	0.72728
328.00	0.74141
329.00	0.75581
330.00	0.76986
331.00	0.78371
332.00	0.79817
333.00	0.81256
334.00	0.82758
335.00	0.84276
336.00	0.85645
337.00	0.87119
338.00	0.88389
339.00	0.89510
340.00	0.90589
341.00	0.91513
342.00	0.92288
343.00	0.93087
344.00	0.93695
345.00	0.94314
346.00	0.94735
347.00	0.95255
348.00	0.95753
349.00	0.96138
350.00	0.96786
351.00	0.97164
352.00	0.97492
353.00	0.98019
354.00	0.98485
355.00	0.98898
356.00	0.99292
357.00	0.99566
358.00	0.99792
359.00	0.99892
360.00	1.0000
361.00	1.0000
362.00	0.99852
363.00	0.99655
364.00	0.99284
365.00	0.98566
366.00	0.97623
367.00	0.96790
368.00	0.95512
369.00	0.94027
370.00	0.92315
371.00	0.90238
372.00	0.88078
373.00	0.85793
374.00	0.83139
375.00	0.80209
376.00	0.77232
377.00	0.74263
378.00	0.70868
379.00	0.67325
380.00	0.63932
381.00	0.60491
382.00	0.56808
383.00	0.53334
384.00	0.49722
385.00	0.46153
386.00	0.42712
387.00	0.39287
388.00	0.36067
389.00	0.33117
390.00	0.30197
391.00	0.27321
392.00	0.24581
393.00	0.22225
394.00	0.20030
395.00	0.17959
396.00	0.15974
397.00	0.14161
398.00	0.12538
399.00	0.11090
400.00	0.098133
401.00	0.086159
402.00	0.075514
403.00	0.065978
404.00	0.057325
405.00	0.049641
406.00	0.043344
407.00	0.038002
408.00	0.032675
409.00	0.028443
410.00	0.024185
411.00	0.020900
412.00	0.017776
413.00	0.015281
414.00	0.013399
415.00	0.011594
416.00	0.0099420
417.00	0.0086448
418.00	0.0071904
419.00	0.0061762
420.00	0.0057701
421.00	0.0050996
422.00	0.0045641
423.00	0.0041621
424.00	0.0036102
425.00	0.0031175
426.00	0.0028402
427.00	0.0029773
428.00	0.0026851
429.00	0.0023047
430.00	0.0022877
431.00	0.0019512
432.00	0.0017383
433.00	0.0021656
434.00	0.0021645
435.00	0.0020223
436.00	0.0019898
437.00	0.0020027
438.00	0.0018615
439.00	0.0016682
440.00	0.0018945
441.00	0.0018476
442.00	0.0017579
443.00	0.0017615
444.00	0.0018028
445.00	0.0016626
446.00	0.0014487
447.00	0.0015868
448.00	0.0017043
449.00	0.0017430
450.00	0.0017162
451.00	0.0017337
452.00	0.0016868
453.00	0.0019259
454.00	0.0017754
455.00	0.0016961
456.00	0.0013028
457.00	0.0020104
458.00	0.0018069
459.00	0.0018744
460.00	0.0015497
461.00	0.0018213
462.00	0.0015373
463.00	0.0018945
464.00	0.0020383
465.00	0.0016667
466.00	0.0017352
467.00	0.0017919
468.00	0.0017914
469.00	0.0021975
470.00	0.0020326
471.00	0.0016497
472.00	0.0023305
473.00	0.0017961
474.00	0.0022269
475.00	0.0018806
476.00	0.0020553
477.00	0.0022887
478.00	0.0024820
479.00	0.0022058
480.00	0.0018940
481.00	0.0017311
482.00	0.0017053
483.00	0.0018316
484.00	0.0018280
485.00	0.0020161
486.00	0.0016796
487.00	0.0017723
488.00	0.0019434
489.00	0.0019893
490.00	0.0020037
491.00	0.0021223
492.00	0.0020646
493.00	0.0017528
494.00	0.0018837
495.00	0.0016780
496.00	0.0019919
497.00	0.0018636
498.00	0.0022424
499.00	0.0020929
500.00	0.0021630
