Wavelength (nm)	M02 abs N
300.00	0.11149
301.00	0.10874
302.00	0.10617
303.00	0.10382
304.00	0.10127
305.00	0.098599
306.00	0.095926
307.00	0.093503
308.00	0.091128
309.00	0.088922
310.00	0.086950
311.00	0.085420
312.00	0.084236
313.00	0.083206
314.00	0.082336
315.00	0.081563
316.00	0.080976
317.00	0.080452
318.00	0.079768
319.00	0.078971
320.00	0.078118
321.00	0.077055
322.00	0.076113
323.00	0.075203
324.00	0.074350
325.00	0.073521
326.00	0.072836
327.00	0.072361
328.00	0.072208
329.00	0.072345
330.00	0.072901
331.00	0.073617
332.00	0.074350
333.00	0.075147
334.00	0.076274
335.00	0.077208
336.00	0.078585
337.00	0.079784
338.00	0.080815
339.00	0.081475
340.00	0.081225
341.00	0.080243
342.00	0.078585
343.00	0.076781
344.00	0.075058
345.00	0.074084
346.00	0.073867
347.00	0.074084
348.00	0.075163
349.00	0.077071
350.00	0.079672
351.00	0.083206
352.00	0.087006
353.00	0.091055
354.00	0.095274
355.00	0.098422
356.00	0.099171
357.00	0.096917
358.00	0.092158
359.00	0.085573
360.00	0.078874
361.00	0.072474
362.00	0.067196
363.00	0.062683
364.00	0.059057
365.00	0.056347
366.00	0.054091
367.00	0.052216
368.00	0.050717
369.00	0.050006
370.00	0.049508
371.00	0.048856
372.00	0.048207
373.00	0.047221
374.00	0.046252
375.00	0.045479
376.00	0.044861
377.00	0.044495
378.00	0.044124
379.00	0.043761
380.00	0.044104
381.00	0.044302
382.00	0.044721
383.00	0.045182
384.00	0.045520
385.00	0.045812
386.00	0.046115
387.00	0.046446
388.00	0.046904
389.00	0.047466
390.00	0.047835
391.00	0.048260
392.00	0.048654
393.00	0.049067
394.00	0.049731
395.00	0.050824
396.00	0.052356
397.00	0.054275
398.00	0.056557
399.00	0.058902
400.00	0.061689
401.00	0.064737
402.00	0.068030
403.00	0.071798
404.00	0.075702
405.00	0.080219
406.00	0.084945
407.00	0.089510
408.00	0.094010
409.00	0.097939
410.00	0.10195
411.00	0.10558
412.00	0.10930
413.00	0.11387
414.00	0.11890
415.00	0.12445
416.00	0.13063
417.00	0.13760
418.00	0.14487
419.00	0.15241
420.00	0.16016
421.00	0.16819
422.00	0.17652
423.00	0.18485
424.00	0.19271
425.00	0.20122
426.00	0.20912
427.00	0.21640
428.00	0.22487
429.00	0.23257
430.00	0.24023
431.00	0.25017
432.00	0.25975
433.00	0.26844
434.00	0.27843
435.00	0.29087
436.00	0.30305
437.00	0.31700
438.00	0.33249
439.00	0.34855
440.00	0.36606
441.00	0.38243
442.00	0.40118
443.00	0.41977
444.00	0.43843
445.00	0.45753
446.00	0.47447
447.00	0.49238
448.00	0.50801
449.00	0.52263
450.00	0.53657
451.00	0.54937
452.00	0.56008
453.00	0.56999
454.00	0.57824
455.00	0.58502
456.00	0.59309
457.00	0.59934
458.00	0.60776
459.00	0.61756
460.00	0.62938
461.00	0.64088
462.00	0.65680
463.00	0.67100
464.00	0.68978
465.00	0.71105
466.00	0.73612
467.00	0.76341
468.00	0.78746
469.00	0.81765
470.00	0.84518
471.00	0.87143
472.00	0.89598
473.00	0.91965
474.00	0.94316
475.00	0.96063
476.00	0.97714
477.00	0.99179
478.00	0.99597
479.00	1.0014
480.00	0.99581
481.00	0.99573
482.00	0.98317
483.00	0.97182
484.00	0.95604
485.00	0.92529
486.00	0.91168
487.00	0.93688
488.00	0.90033
489.00	0.88044
490.00	0.86901
491.00	0.86104
492.00	0.85694
493.00	0.85388
494.00	0.85839
495.00	0.86555
496.00	0.86966
497.00	0.88705
498.00	0.89791
499.00	0.91353
500.00	0.93181
501.00	0.94880
502.00	0.96071
503.00	0.97472
504.00	0.98728
505.00	0.99396
506.00	0.99726
507.00	1.0000
508.00	0.98688
509.00	0.97705
510.00	0.95556
511.00	0.93036
512.00	0.90162
513.00	0.86434
514.00	0.82650
515.00	0.78135
516.00	0.73088
517.00	0.68343
518.00	0.63320
519.00	0.58002
520.00	0.53307
521.00	0.48240
522.00	0.43718
523.00	0.39286
524.00	0.35169
525.00	0.31497
526.00	0.27953
527.00	0.24844
528.00	0.21923
529.00	0.19242
530.00	0.16918
531.00	0.14756
532.00	0.12787
533.00	0.10999
534.00	0.095000
535.00	0.081161
536.00	0.069471
537.00	0.058652
538.00	0.049177
539.00	0.041361
540.00	0.034965
541.00	0.029432
542.00	0.024544
543.00	0.020927
544.00	0.017775
545.00	0.015030
546.00	0.013172
547.00	0.011402
548.00	0.0099646
549.00	0.0088262
550.00	0.0079913
551.00	0.0073472
552.00	0.0066057
553.00	0.0060011
554.00	0.0056308
555.00	0.0052347
556.00	0.0048265
557.00	0.0045294
558.00	0.0045069
559.00	0.0042919
560.00	0.0039506
561.00	0.0036189
562.00	0.0034345
563.00	0.0034893
564.00	0.0034289
565.00	0.0031415
566.00	0.0032751
567.00	0.0030360
568.00	0.0028838
569.00	0.0025980
570.00	0.0024853
571.00	0.0023420
572.00	0.0023243
573.00	0.0021311
574.00	0.0020763
575.00	0.0019692
576.00	0.0021013
577.00	0.0020143
578.00	0.0017905
579.00	0.0018791
580.00	0.0019000
581.00	0.0016730
582.00	0.0015892
583.00	0.0016738
584.00	0.0017736
585.00	0.0017108
586.00	0.0015675
587.00	0.0017358
588.00	0.0017285
589.00	0.0016416
590.00	0.0017631
591.00	0.0017454
592.00	0.0017430
593.00	0.0016714
594.00	0.0016206
595.00	0.0017003
596.00	0.0016408
597.00	0.0016609
598.00	0.0016971
599.00	0.0015925
600.00	0.0016585
