Wavelength (nm)	I17 abs N
308.25	0.075845
308.50	0.074955
308.75	0.075612
309.00	0.075098
309.25	0.074756
309.50	0.073071
309.75	0.073516
310.00	0.073934
310.25	0.076791
310.50	0.069227
310.75	0.071502
311.00	0.071687
311.25	0.070625
311.50	0.069186
311.75	0.068878
312.00	0.065959
312.25	0.069008
312.50	0.070433
312.75	0.069995
313.00	0.071029
313.25	0.067939
313.50	0.067508
313.75	0.064212
314.00	0.064363
314.25	0.067069
314.50	0.066028
314.75	0.069981
315.00	0.057458
315.25	0.058595
315.50	0.060417
315.75	0.060075
316.00	0.058759
316.25	0.058355
316.50	0.050374
316.75	0.051977
317.00	0.051525
317.25	0.051306
317.50	0.050840
317.75	0.052388
318.00	0.046291
318.25	0.044701
318.50	0.051175
318.75	0.043735
319.00	0.039988
319.25	0.046592
319.50	0.043852
319.75	0.043797
320.00	0.044633
320.25	0.041249
320.50	0.037138
320.75	0.035741
321.00	0.038474
321.25	0.036652
321.50	0.036104
321.75	0.031014
322.00	0.033391
322.25	0.038563
322.50	0.032514
322.75	0.034240
323.00	0.028540
323.25	0.029863
323.50	0.028588
323.75	0.033089
324.00	0.023012
324.25	0.030438
324.50	0.031699
324.75	0.026369
325.00	0.027506
325.25	0.024245
325.50	0.030191
325.75	0.024807
326.00	0.024450
326.25	0.019182
326.50	0.024951
326.75	0.023964
327.00	0.025567
327.25	0.023656
327.50	0.021648
327.75	0.022710
328.00	0.020689
328.25	0.025752
328.50	0.023478
328.75	0.024355
329.00	0.026321
329.25	0.021854
329.50	0.020977
329.75	0.024026
330.00	0.021854
330.25	0.021409
330.50	0.021546
330.75	0.021285
331.00	0.020306
331.25	0.016106
331.50	0.018723
331.75	0.016305
332.00	0.020463
332.25	0.019285
332.50	0.021299
332.75	0.017737
333.00	0.020772
333.25	0.020265
333.50	0.022978
333.75	0.020333
334.00	0.019860
334.25	0.016113
334.50	0.017839
334.75	0.019689
335.00	0.015339
335.25	0.016284
335.50	0.017949
335.75	0.016325
336.00	0.015202
336.25	0.019477
336.50	0.018319
336.75	0.017709
337.00	0.015771
337.25	0.021820
337.50	0.015373
337.75	0.020737
338.00	0.018682
338.25	0.016401
338.50	0.017545
338.75	0.017319
339.00	0.015538
339.25	0.014921
339.50	0.014709
339.75	0.014928
340.00	0.017682
340.25	0.017154
340.50	0.016319
340.75	0.017312
341.00	0.015627
341.25	0.016086
341.50	0.015462
341.75	0.015935
342.00	0.016490
342.25	0.018655
342.50	0.017141
342.75	0.016367
343.00	0.017209
343.25	0.015620
343.50	0.015264
343.75	0.012626
344.00	0.017894
344.25	0.015572
344.50	0.015380
344.75	0.014325
345.00	0.014688
345.25	0.016613
345.50	0.019895
345.75	0.018340
346.00	0.015839
346.25	0.014537
346.50	0.016894
346.75	0.015106
347.00	0.019189
347.25	0.014147
347.50	0.014976
347.75	0.015092
348.00	0.017435
348.25	0.013845
348.50	0.016942
348.75	0.014277
349.00	0.011742
349.25	0.013715
349.50	0.016565
349.75	0.011783
350.00	0.014565
350.25	0.014791
350.50	0.014256
350.75	0.013154
351.00	0.013873
351.25	0.015017
351.50	0.013558
351.75	0.014640
352.00	0.014626
352.25	0.013017
352.50	0.015024
352.75	0.013530
353.00	0.012516
353.25	0.016031
353.50	0.012907
353.75	0.020854
354.00	0.012955
354.25	0.012934
354.50	0.014140
354.75	0.017106
355.00	0.015894
355.25	0.013688
355.50	0.012489
355.75	0.017798
356.00	0.015181
356.25	0.014106
356.50	0.014770
356.75	0.015175
357.00	0.012585
357.25	0.016298
357.50	0.014729
357.75	0.012468
358.00	0.014818
358.25	0.015462
358.50	0.014099
358.75	0.014188
359.00	0.016319
359.25	0.013750
359.50	0.016147
359.75	0.014839
360.00	0.014578
360.25	0.016319
360.50	0.016456
360.75	0.014969
361.00	0.017175
361.25	0.015010
361.50	0.015250
361.75	0.014757
362.00	0.014791
362.25	0.015572
362.50	0.013126
362.75	0.013832
363.00	0.017257
363.25	0.018668
363.50	0.016291
363.75	0.016319
364.00	0.017161
364.25	0.015318
364.50	0.016168
364.75	0.016921
365.00	0.015407
365.25	0.015962
365.50	0.017326
365.75	0.017490
366.00	0.016606
366.25	0.015510
366.50	0.017134
366.75	0.014990
367.00	0.017908
367.25	0.016654
367.50	0.017086
367.75	0.014229
368.00	0.015168
368.25	0.015955
368.50	0.016572
368.75	0.012914
369.00	0.014311
369.25	0.016832
369.50	0.015572
369.75	0.014065
370.00	0.014544
370.25	0.014037
370.50	0.013660
370.75	0.016017
371.00	0.015264
371.25	0.014407
371.50	0.015825
371.75	0.014366
372.00	0.014126
372.25	0.017394
372.50	0.015572
372.75	0.016394
373.00	0.014818
373.25	0.015510
373.50	0.015175
373.75	0.017771
374.00	0.015805
374.25	0.016442
374.50	0.016586
374.75	0.016784
375.00	0.016784
375.25	0.018840
375.50	0.015250
375.75	0.015579
376.00	0.018449
376.25	0.017476
376.50	0.018819
376.75	0.016127
377.00	0.017586
377.25	0.018744
377.50	0.017860
377.75	0.016812
378.00	0.019025
378.25	0.016901
378.50	0.017654
378.75	0.016045
379.00	0.017613
379.25	0.019908
379.50	0.017120
379.75	0.019956
380.00	0.019669
380.25	0.019429
380.50	0.019004
380.75	0.021196
381.00	0.021388
381.25	0.017661
381.50	0.019299
381.75	0.018942
382.00	0.018223
382.25	0.019696
382.50	0.018141
382.75	0.020963
383.00	0.019504
383.25	0.018244
383.50	0.018408
383.75	0.019511
384.00	0.020134
384.25	0.020073
384.50	0.018244
384.75	0.019388
385.00	0.019758
385.25	0.019353
385.50	0.021162
385.75	0.018511
386.00	0.019210
386.25	0.019456
386.50	0.017428
386.75	0.018408
387.00	0.018737
387.25	0.018730
387.50	0.017744
387.75	0.018525
388.00	0.018100
388.25	0.018093
388.50	0.019121
388.75	0.019833
389.00	0.015743
389.25	0.018805
389.50	0.015723
389.75	0.016716
390.00	0.017983
390.25	0.016949
390.50	0.014743
390.75	0.017333
391.00	0.016873
391.25	0.015736
391.50	0.016188
391.75	0.015044
392.00	0.016216
392.25	0.015544
392.50	0.016545
392.75	0.013126
393.00	0.015476
393.25	0.016332
393.50	0.014551
393.75	0.015147
394.00	0.015250
394.25	0.015387
394.50	0.013914
394.75	0.013174
395.00	0.015312
395.25	0.014414
395.50	0.014113
395.75	0.013935
396.00	0.014304
396.25	0.015291
396.50	0.015003
396.75	0.012551
397.00	0.013318
397.25	0.013948
397.50	0.012756
397.75	0.012934
398.00	0.013277
398.25	0.016243
398.50	0.014167
398.75	0.013208
399.00	0.012907
399.25	0.013448
399.50	0.013654
399.75	0.012934
400.00	0.012023
400.25	0.013023
400.50	0.013619
400.75	0.013523
401.00	0.011852
401.25	0.013359
401.50	0.012879
401.75	0.014729
402.00	0.012886
402.25	0.012516
402.50	0.012660
402.75	0.013654
403.00	0.012386
403.25	0.011866
403.50	0.013414
403.75	0.014681
404.00	0.014715
404.25	0.015017
404.50	0.012263
404.75	0.013996
405.00	0.014846
405.25	0.013681
405.50	0.015065
405.75	0.013304
406.00	0.014928
406.25	0.012969
406.50	0.013154
406.75	0.012934
407.00	0.014400
407.25	0.011989
407.50	0.012784
407.75	0.013304
408.00	0.014154
408.25	0.015921
408.50	0.014647
408.75	0.011537
409.00	0.013736
409.25	0.013626
409.50	0.014092
409.75	0.014284
410.00	0.016360
410.25	0.015318
410.50	0.015044
410.75	0.013469
411.00	0.015003
411.25	0.016736
411.50	0.015784
411.75	0.017113
412.00	0.014668
412.25	0.014880
412.50	0.015771
412.75	0.014969
413.00	0.015401
413.25	0.014969
413.50	0.017278
413.75	0.015750
414.00	0.015455
414.25	0.016709
414.50	0.016093
414.75	0.015805
415.00	0.015805
415.25	0.014709
415.50	0.015675
415.75	0.015414
416.00	0.016490
416.25	0.015154
416.50	0.015620
416.75	0.014839
417.00	0.016620
417.25	0.015216
417.50	0.015880
417.75	0.018203
418.00	0.014668
418.25	0.016689
418.50	0.015120
418.75	0.015908
419.00	0.017497
419.25	0.016565
419.50	0.017106
419.75	0.017271
420.00	0.017141
420.25	0.017257
420.50	0.017031
420.75	0.017271
421.00	0.018155
421.25	0.017668
421.50	0.017942
421.75	0.018367
422.00	0.018956
422.25	0.018799
422.50	0.016990
422.75	0.017572
423.00	0.018730
423.25	0.016990
423.50	0.017524
423.75	0.018888
424.00	0.017846
424.25	0.017634
424.50	0.018066
424.75	0.018737
425.00	0.018107
425.25	0.018203
425.50	0.016791
425.75	0.015887
426.00	0.018600
426.25	0.019723
426.50	0.019155
426.75	0.018662
427.00	0.019031
427.25	0.018285
427.50	0.019134
427.75	0.018600
428.00	0.019169
428.25	0.020189
428.50	0.018799
428.75	0.020045
429.00	0.019449
429.25	0.020566
429.50	0.018066
429.75	0.020826
430.00	0.019484
430.25	0.021279
430.50	0.020689
430.75	0.020737
431.00	0.021046
431.25	0.020676
431.50	0.022162
431.75	0.019950
432.00	0.022614
432.25	0.020580
432.50	0.021292
432.75	0.020340
433.00	0.021142
433.25	0.021566
433.50	0.020861
433.75	0.020813
434.00	0.021607
434.25	0.020854
434.50	0.021244
434.75	0.022347
435.00	0.021875
435.25	0.021806
435.50	0.022217
435.75	0.021416
436.00	0.022162
436.25	0.022697
436.50	0.021916
436.75	0.022457
437.00	0.022080
437.25	0.021792
437.50	0.020854
437.75	0.021744
438.00	0.021806
438.25	0.021011
438.50	0.021368
438.75	0.022580
439.00	0.023080
439.25	0.021251
439.50	0.022498
439.75	0.021491
440.00	0.022539
440.25	0.023834
440.50	0.022649
440.75	0.021916
441.00	0.021553
441.25	0.022183
441.50	0.023019
441.75	0.020470
442.00	0.022827
442.25	0.021539
442.50	0.022347
442.75	0.023053
443.00	0.021107
443.25	0.021005
443.50	0.022183
443.75	0.021491
444.00	0.021546
444.25	0.022628
444.50	0.021080
444.75	0.022532
445.00	0.020162
445.25	0.020600
445.50	0.022512
445.75	0.020806
446.00	0.020374
446.25	0.023224
446.50	0.020744
446.75	0.019970
447.00	0.020463
447.25	0.020984
447.50	0.019381
447.75	0.020902
448.00	0.019086
