Wavelength (nm)	S10 abs N
366.19	0.27136
366.38	0.27062
366.56	0.26670
366.75	0.26912
366.94	0.26680
367.13	0.26297
367.31	0.26496
367.50	0.25948
367.69	0.26185
367.88	0.25479
368.06	0.25582
368.25	0.25336
368.44	0.25252
368.63	0.24829
368.81	0.25049
369.00	0.24706
369.19	0.24586
369.38	0.24264
369.56	0.24215
369.75	0.24128
369.94	0.23998
370.13	0.23707
370.31	0.23793
370.50	0.23540
370.69	0.23381
370.88	0.23233
371.06	0.23143
371.25	0.22836
371.44	0.22802
371.63	0.22937
371.81	0.22325
372.00	0.22370
372.19	0.22454
372.38	0.22377
372.56	0.22279
372.75	0.22261
372.94	0.22092
373.13	0.21863
373.31	0.22033
373.50	0.22101
373.69	0.21753
373.88	0.21861
374.06	0.21767
374.25	0.21695
374.44	0.21600
374.63	0.21417
374.81	0.21281
375.00	0.21570
375.19	0.21155
375.38	0.20862
375.56	0.20830
375.75	0.20907
375.94	0.20715
376.13	0.20820
376.31	0.20613
376.50	0.20610
376.69	0.20446
376.88	0.20335
377.06	0.20416
377.25	0.20251
377.44	0.20134
377.63	0.19883
377.81	0.19847
378.00	0.19924
378.19	0.20181
378.38	0.19686
378.56	0.19416
378.75	0.19879
378.94	0.19428
379.13	0.19593
379.31	0.19192
379.50	0.19264
379.69	0.19349
379.88	0.19449
380.06	0.19282
380.25	0.19182
380.44	0.19076
380.63	0.18856
380.81	0.18899
381.00	0.19142
381.19	0.18669
381.38	0.19012
381.56	0.18811
381.75	0.18352
381.94	0.18520
382.13	0.18462
382.31	0.18498
382.50	0.18499
382.69	0.18503
382.88	0.18420
383.06	0.18404
383.25	0.18163
383.44	0.18189
383.63	0.17662
383.81	0.18305
384.00	0.18165
384.19	0.17990
384.38	0.17977
384.56	0.18205
384.75	0.17767
384.94	0.17990
385.13	0.17506
385.31	0.17634
385.50	0.17580
385.69	0.17411
385.88	0.17205
386.06	0.17474
386.25	0.17385
386.44	0.17570
386.63	0.17383
386.81	0.17384
387.00	0.17110
387.19	0.17201
387.38	0.16926
387.56	0.17024
387.75	0.17222
387.94	0.17017
388.13	0.16992
388.31	0.16757
388.50	0.16842
388.69	0.16814
388.88	0.16674
389.06	0.16717
389.25	0.16740
389.44	0.16403
389.63	0.16530
389.81	0.16782
390.00	0.16679
390.19	0.16554
390.38	0.16238
390.56	0.16338
390.75	0.16200
390.94	0.16055
391.13	0.15924
391.31	0.16159
391.50	0.15953
391.69	0.16045
391.88	0.16009
392.06	0.16048
392.25	0.15781
392.44	0.15770
392.63	0.15611
392.81	0.15621
393.00	0.15829
393.19	0.15714
393.38	0.15503
393.56	0.15528
393.75	0.15462
393.94	0.15300
394.13	0.15275
394.31	0.15376
394.50	0.15239
394.69	0.15045
394.88	0.15035
395.06	0.14979
395.25	0.15153
395.44	0.14892
395.63	0.14975
395.81	0.14934
396.00	0.14771
396.19	0.15013
396.38	0.14779
396.56	0.14708
396.75	0.14756
396.94	0.14801
397.13	0.14421
397.31	0.14593
397.50	0.14672
397.69	0.14366
397.88	0.14517
398.06	0.14385
398.25	0.14469
398.44	0.14232
398.63	0.14333
398.81	0.14101
399.00	0.14331
399.19	0.14141
399.38	0.14080
399.56	0.14243
399.75	0.13832
399.94	0.14015
400.13	0.13861
400.31	0.14005
400.50	0.14068
400.69	0.13713
400.88	0.13768
401.06	0.13802
401.25	0.13600
401.44	0.13486
401.63	0.13492
401.81	0.13492
402.00	0.13649
402.19	0.13410
402.38	0.13316
402.56	0.13196
402.75	0.13204
402.94	0.13333
403.13	0.13354
403.31	0.13128
403.50	0.13122
403.69	0.13366
403.88	0.13251
404.06	0.12879
404.25	0.13003
404.44	0.12968
404.63	0.12921
404.81	0.12843
405.00	0.12907
405.19	0.12943
405.38	0.12766
405.56	0.12457
405.75	0.12545
405.94	0.12786
406.13	0.12455
406.31	0.12486
406.50	0.12349
406.69	0.12492
406.88	0.12396
407.06	0.12419
407.25	0.12587
407.44	0.12080
407.63	0.12438
407.81	0.12252
408.00	0.12194
408.19	0.12078
408.38	0.12014
408.56	0.12028
408.75	0.11949
408.94	0.11737
409.13	0.11926
409.31	0.11723
409.50	0.11882
409.69	0.11755
409.88	0.11829
410.06	0.11742
410.25	0.11652
410.44	0.11601
410.63	0.11542
410.81	0.11537
411.00	0.11550
411.19	0.11535
411.38	0.11340
411.56	0.11221
411.75	0.11198
411.94	0.11120
412.13	0.11294
412.31	0.11172
412.50	0.11163
412.69	0.11119
412.88	0.11089
413.06	0.11191
413.25	0.10781
413.44	0.10962
413.63	0.10965
413.81	0.11018
414.00	0.10938
414.19	0.11036
414.38	0.10925
414.56	0.10648
414.75	0.10514
414.94	0.10672
415.13	0.10653
415.31	0.10576
415.50	0.10532
415.69	0.10427
415.88	0.10609
416.06	0.10227
416.25	0.10372
416.44	0.10388
416.63	0.10225
416.81	0.10418
417.00	0.10200
417.19	0.10152
417.38	0.10158
417.56	0.099606
417.75	0.10073
417.94	0.10039
418.13	0.099258
418.31	0.099464
418.50	0.097399
418.69	0.098650
418.88	0.096160
419.06	0.096254
419.25	0.095800
419.44	0.094962
419.63	0.095511
419.81	0.097375
420.00	0.094071
420.19	0.093428
420.38	0.092785
420.56	0.094207
420.75	0.092998
420.94	0.092897
421.13	0.093375
421.31	0.092059
421.50	0.091068
421.69	0.092201
421.88	0.093021
422.06	0.089086
422.25	0.090006
422.44	0.090596
422.63	0.087788
422.81	0.088537
423.00	0.086708
423.19	0.086820
423.38	0.088567
423.56	0.087180
423.75	0.084378
423.94	0.087876
424.13	0.086856
424.31	0.085292
424.50	0.084855
424.69	0.084673
424.88	0.085440
425.06	0.083717
425.25	0.084071
425.44	0.082324
425.63	0.082460
425.81	0.082720
426.00	0.082118
426.19	0.083923
426.38	0.081634
426.56	0.081616
426.75	0.078454
426.94	0.081758
427.13	0.079421
427.31	0.078159
427.50	0.078560
427.69	0.078778
427.88	0.076843
428.06	0.076442
428.25	0.077917
428.44	0.076637
428.63	0.077917
428.81	0.077185
429.00	0.075586
429.19	0.075681
429.38	0.075569
429.56	0.074153
429.75	0.074949
429.94	0.074737
430.13	0.073628
430.31	0.072477
430.50	0.071793
430.69	0.072288
430.88	0.071975
431.06	0.073309
431.25	0.072217
431.44	0.070813
431.63	0.070931
431.81	0.070489
432.00	0.070170
432.19	0.069320
432.38	0.069928
432.56	0.068990
432.75	0.068005
432.94	0.068937
433.13	0.068636
433.31	0.067314
433.50	0.067238
433.69	0.066176
433.88	0.067096
434.06	0.067527
434.25	0.066459
434.44	0.064394
434.63	0.064400
434.81	0.063597
435.00	0.065603
435.19	0.062913
435.38	0.063497
435.56	0.062512
435.75	0.062069
435.94	0.062293
436.13	0.062860
436.31	0.061479
436.50	0.062936
436.69	0.061804
436.88	0.059337
437.06	0.061225
437.25	0.058665
437.44	0.059084
437.63	0.058039
437.81	0.057384
438.00	0.057113
438.19	0.057992
438.38	0.059562
438.56	0.058718
438.75	0.058877
438.94	0.057975
439.13	0.055473
439.31	0.054818
439.50	0.054960
439.69	0.054824
439.88	0.054983
440.06	0.055361
440.25	0.054434
440.44	0.053355
440.63	0.052499
440.81	0.052747
441.00	0.052234
441.19	0.052086
441.38	0.052906
441.56	0.053201
441.75	0.051750
441.94	0.051195
442.13	0.052411
442.31	0.051195
442.50	0.051939
442.69	0.050647
442.88	0.050599
443.06	0.049897
443.25	0.049260
443.44	0.049974
443.63	0.048245
443.81	0.048564
444.00	0.049555
444.19	0.047826
444.38	0.047950
444.56	0.047561
444.75	0.048062
444.94	0.048717
445.13	0.047095
445.31	0.048664
445.50	0.045879
445.69	0.047272
445.88	0.045183
446.06	0.044752
446.25	0.046210
446.44	0.046103
446.63	0.044499
446.81	0.044611
447.00	0.044988
447.19	0.045248
447.38	0.043944
447.56	0.044929
447.75	0.045047
447.94	0.044044
448.13	0.045100
448.31	0.042811
448.50	0.043171
448.69	0.041466
448.88	0.042375
449.06	0.042546
449.25	0.042729
449.44	0.042705
449.63	0.043820
449.81	0.042392
450.00	0.041779
