Wavelength (nm)	I14 abs N
548.00	0.12607
549.00	0.13085
550.00	0.13543
551.00	0.14073
552.00	0.14627
553.00	0.15190
554.00	0.15740
555.00	0.16372
556.00	0.17010
557.00	0.17732
558.00	0.18415
559.00	0.19125
560.00	0.19849
561.00	0.20562
562.00	0.21397
563.00	0.22250
564.00	0.23021
565.00	0.23857
566.00	0.24784
567.00	0.25679
568.00	0.26611
569.00	0.27552
570.00	0.28444
571.00	0.29403
572.00	0.30311
573.00	0.31267
574.00	0.32257
575.00	0.33166
576.00	0.34090
577.00	0.35103
578.00	0.35964
579.00	0.36806
580.00	0.37742
581.00	0.38617
582.00	0.39380
583.00	0.40068
584.00	0.40998
585.00	0.41767
586.00	0.42448
587.00	0.43257
588.00	0.44004
589.00	0.44696
590.00	0.45553
591.00	0.46377
592.00	0.47310
593.00	0.48301
594.00	0.49202
595.00	0.50195
596.00	0.51222
597.00	0.52454
598.00	0.53722
599.00	0.54997
600.00	0.56255
601.00	0.57680
602.00	0.59061
603.00	0.60600
604.00	0.61994
605.00	0.63572
606.00	0.65241
607.00	0.66948
608.00	0.68712
609.00	0.70471
610.00	0.72458
611.00	0.74212
612.00	0.76247
613.00	0.78353
614.00	0.80359
615.00	0.82345
616.00	0.84227
617.00	0.86280
618.00	0.88268
619.00	0.90007
620.00	0.92069
621.00	0.93339
622.00	0.95040
623.00	0.96359
624.00	0.97591
625.00	0.98588
626.00	0.99328
627.00	0.99839
628.00	1.00000
629.00	0.99925
630.00	0.99603
631.00	0.98981
632.00	0.97646
633.00	0.95943
634.00	0.93898
635.00	0.91683
636.00	0.89422
637.00	0.86852
638.00	0.84042
639.00	0.80983
640.00	0.77839
641.00	0.74110
642.00	0.70553
643.00	0.66790
644.00	0.62985
645.00	0.58955
646.00	0.54997
647.00	0.51355
648.00	0.47570
649.00	0.44039
650.00	0.40707
651.00	0.37435
652.00	0.34381
653.00	0.31485
654.00	0.28970
655.00	0.25388
656.00	0.23620
657.00	0.23186
658.00	0.20568
659.00	0.18408
660.00	0.16726
661.00	0.15121
662.00	0.13621
663.00	0.12384
664.00	0.11223
665.00	0.10092
666.00	0.091079
667.00	0.082047
668.00	0.074395
669.00	0.066731
670.00	0.060145
671.00	0.054026
672.00	0.048636
673.00	0.044113
674.00	0.039666
675.00	0.035680
676.00	0.032216
677.00	0.028994
678.00	0.026187
679.00	0.023703
680.00	0.021582
681.00	0.019574
682.00	0.017844
683.00	0.016278
684.00	0.014804
685.00	0.013389
686.00	0.012298
687.00	0.011442
688.00	0.010785
689.00	0.0098967
690.00	0.0090144
691.00	0.0085675
692.00	0.0078586
693.00	0.0075082
