Wavelength (nm)	L05 abs N
200.00	0.50546
201.00	0.55603
202.00	0.58276
203.00	0.58964
204.00	0.59448
205.00	0.59658
206.00	0.59635
207.00	0.59475
208.00	0.58972
209.00	0.58110
210.00	0.56873
211.00	0.55107
212.00	0.53041
213.00	0.50549
214.00	0.47680
215.00	0.44502
216.00	0.40962
217.00	0.37327
218.00	0.33651
219.00	0.30209
220.00	0.27060
221.00	0.24326
222.00	0.21972
223.00	0.20051
224.00	0.18454
225.00	0.17213
226.00	0.16238
227.00	0.15487
228.00	0.14923
229.00	0.14542
230.00	0.14280
231.00	0.14144
232.00	0.14110
233.00	0.14208
234.00	0.14401
235.00	0.14705
236.00	0.15134
237.00	0.15658
238.00	0.16249
239.00	0.16918
240.00	0.17652
241.00	0.18418
242.00	0.19161
243.00	0.19888
244.00	0.20570
245.00	0.21107
246.00	0.21510
247.00	0.21730
248.00	0.21751
249.00	0.21561
250.00	0.21138
251.00	0.20550
252.00	0.19815
253.00	0.18957
254.00	0.18071
255.00	0.17192
256.00	0.16331
257.00	0.15539
258.00	0.14798
259.00	0.14134
260.00	0.13550
261.00	0.13042
262.00	0.12595
263.00	0.12209
264.00	0.11890
265.00	0.11623
266.00	0.11389
267.00	0.11237
268.00	0.11127
269.00	0.11061
270.00	0.11026
271.00	0.11040
272.00	0.11087
273.00	0.11204
274.00	0.11339
275.00	0.11555
276.00	0.11827
277.00	0.12129
278.00	0.12470
279.00	0.12856
280.00	0.13284
281.00	0.13748
282.00	0.14274
283.00	0.14817
284.00	0.15398
285.00	0.16012
286.00	0.16691
287.00	0.17399
288.00	0.18153
289.00	0.18943
290.00	0.19763
291.00	0.20605
292.00	0.21439
293.00	0.22275
294.00	0.23087
295.00	0.23818
296.00	0.24505
297.00	0.25096
298.00	0.25587
299.00	0.25976
300.00	0.26206
301.00	0.26274
302.00	0.26237
303.00	0.26009
304.00	0.25625
305.00	0.25133
306.00	0.24420
307.00	0.23548
308.00	0.22592
309.00	0.21531
310.00	0.20379
311.00	0.19213
312.00	0.18079
313.00	0.16989
314.00	0.16023
315.00	0.15093
316.00	0.14281
317.00	0.13592
318.00	0.12984
319.00	0.12403
320.00	0.11926
321.00	0.11530
322.00	0.11228
323.00	0.10950
324.00	0.10769
325.00	0.10671
326.00	0.10586
327.00	0.10571
328.00	0.10573
329.00	0.10600
330.00	0.10594
331.00	0.10583
332.00	0.10559
333.00	0.10513
334.00	0.10475
335.00	0.10427
336.00	0.10382
337.00	0.10308
338.00	0.10248
339.00	0.10220
340.00	0.10181
341.00	0.10177
342.00	0.10177
343.00	0.10169
344.00	0.10174
345.00	0.10169
346.00	0.10124
347.00	0.10116
348.00	0.10059
349.00	0.099892
350.00	0.099340
351.00	0.098370
352.00	0.097135
353.00	0.095741
354.00	0.094111
355.00	0.092195
356.00	0.090235
357.00	0.088128
358.00	0.086039
359.00	0.083669
360.00	0.081109
361.00	0.078343
362.00	0.075593
