Wavelength (nm)	P-7, 11327059, Bis(5-mesityldipyrrinato)zinc.ems
642.50	0.0048900
643.00	0.0047700
643.50	0.0039600
644.00	0.0040700
644.50	0.0039100
645.00	0.0044400
645.50	0.0039600
646.00	0.0033600
646.50	0.0034500
647.00	0.0037800
647.50	0.0032600
648.00	0.0034000
648.50	0.0039800
649.00	0.0030800
649.50	0.0030900
650.00	0.0036500
