Wavelength (nm)	O-1, 1091-85-6, Dansyl glycine, dioxane.ems
490.00	0.99217
490.50	0.99604
491.00	0.99380
491.50	0.99693
492.00	0.99991
492.50	0.99682
493.00	0.99925
493.50	0.99818
494.00	0.99496
494.50	0.99724
495.00	0.99974
495.50	1.0000
496.00	0.99697
496.50	0.99741
497.00	0.99685
497.50	0.99588
498.00	0.99742
498.50	0.99403
499.00	0.99199
499.50	0.99138
500.00	0.99201
500.50	0.98970
501.00	0.98454
501.50	0.98252
502.00	0.98479
502.50	0.98144
503.00	0.97550
503.50	0.97289
504.00	0.97012
504.50	0.96431
505.00	0.96464
505.50	0.96053
506.00	0.95807
506.50	0.95767
507.00	0.95164
507.50	0.94687
508.00	0.94475
508.50	0.94138
509.00	0.93656
509.50	0.93527
510.00	0.92896
510.50	0.92641
511.00	0.92386
511.50	0.91929
512.00	0.91376
512.50	0.91375
513.00	0.90983
513.50	0.89965
514.00	0.90011
514.50	0.89336
515.00	0.89061
515.50	0.88564
516.00	0.88395
516.50	0.87581
517.00	0.87331
517.50	0.86844
518.00	0.86467
518.50	0.85820
519.00	0.85599
519.50	0.84843
520.00	0.84603
520.50	0.84211
521.00	0.83606
521.50	0.82991
522.00	0.82598
522.50	0.81786
523.00	0.81649
523.50	0.81045
524.00	0.80571
524.50	0.80031
525.00	0.79541
525.50	0.78555
526.00	0.78506
526.50	0.77816
527.00	0.77284
527.50	0.76177
528.00	0.76113
528.50	0.75402
529.00	0.74890
529.50	0.74211
530.00	0.73614
530.50	0.73119
531.00	0.72399
531.50	0.71663
532.00	0.71564
532.50	0.70764
533.00	0.70062
533.50	0.69501
534.00	0.69073
534.50	0.68535
535.00	0.68027
535.50	0.67164
536.00	0.66946
536.50	0.66315
537.00	0.65944
537.50	0.65299
538.00	0.64924
538.50	0.64339
539.00	0.63777
539.50	0.63129
540.00	0.62950
540.50	0.62320
541.00	0.61687
541.50	0.61066
542.00	0.60511
542.50	0.59822
543.00	0.59824
543.50	0.59015
544.00	0.58718
544.50	0.57977
545.00	0.57319
545.50	0.56714
546.00	0.56535
546.50	0.55740
547.00	0.55351
547.50	0.54619
548.00	0.54381
548.50	0.53729
549.00	0.53167
549.50	0.52708
550.00	0.52383
550.50	0.51822
551.00	0.51373
551.50	0.50680
552.00	0.50352
552.50	0.49729
553.00	0.49244
553.50	0.48636
554.00	0.48262
554.50	0.47648
555.00	0.47206
555.50	0.46613
556.00	0.46397
556.50	0.45676
557.00	0.45270
557.50	0.44866
558.00	0.44603
558.50	0.43889
559.00	0.43688
559.50	0.43043
560.00	0.42716
560.50	0.42329
561.00	0.41849
561.50	0.41281
562.00	0.41138
562.50	0.40622
563.00	0.40076
563.50	0.39557
564.00	0.39161
564.50	0.38696
565.00	0.38465
565.50	0.37871
566.00	0.37864
566.50	0.37133
567.00	0.36931
567.50	0.36481
568.00	0.36090
568.50	0.35843
569.00	0.35290
569.50	0.34746
570.00	0.34601
570.50	0.33963
571.00	0.33743
571.50	0.33358
572.00	0.33066
572.50	0.32595
573.00	0.32503
573.50	0.31913
574.00	0.31800
574.50	0.31180
575.00	0.30867
575.50	0.30434
576.00	0.30315
576.50	0.29778
577.00	0.29479
577.50	0.29040
578.00	0.28649
578.50	0.28428
579.00	0.28149
579.50	0.27698
580.00	0.27513
580.50	0.27226
581.00	0.26845
581.50	0.26587
582.00	0.26367
582.50	0.25844
583.00	0.25492
583.50	0.25312
584.00	0.25220
584.50	0.24786
585.00	0.24505
585.50	0.24235
586.00	0.23844
586.50	0.23514
587.00	0.23237
587.50	0.22931
588.00	0.22827
588.50	0.22416
589.00	0.22360
589.50	0.22057
590.00	0.21804
590.50	0.21532
591.00	0.21410
591.50	0.20992
592.00	0.20925
592.50	0.20519
593.00	0.20321
593.50	0.19993
594.00	0.19913
594.50	0.19583
595.00	0.19309
