Wavelength (nm)	R05 abs N
603.00	0.19722
604.00	0.19962
605.00	0.20186
606.00	0.20449
607.00	0.20664
608.00	0.20895
609.00	0.21133
610.00	0.21384
611.00	0.21606
612.00	0.21824
613.00	0.22047
614.00	0.22265
615.00	0.22501
616.00	0.22722
617.00	0.22928
618.00	0.23109
619.00	0.23343
620.00	0.23559
621.00	0.23713
622.00	0.23900
623.00	0.24075
624.00	0.24256
625.00	0.24456
626.00	0.24646
627.00	0.24830
628.00	0.24986
629.00	0.25160
630.00	0.25304
631.00	0.25442
632.00	0.25589
633.00	0.25715
634.00	0.25863
635.00	0.26026
636.00	0.26185
637.00	0.26294
638.00	0.26430
639.00	0.26547
640.00	0.26657
641.00	0.26839
642.00	0.26887
643.00	0.27017
644.00	0.27098
645.00	0.27170
646.00	0.27241
647.00	0.27343
648.00	0.27403
649.00	0.27484
650.00	0.27573
651.00	0.27602
652.00	0.27697
653.00	0.27725
654.00	0.27800
655.00	0.27879
656.00	0.27915
657.00	0.27699
658.00	0.27880
659.00	0.27986
660.00	0.28021
661.00	0.28068
662.00	0.28081
663.00	0.28104
664.00	0.28130
665.00	0.28120
666.00	0.28093
667.00	0.28141
668.00	0.28124
669.00	0.28114
670.00	0.28057
671.00	0.28056
672.00	0.28000
673.00	0.27961
674.00	0.27932
675.00	0.27887
676.00	0.27835
677.00	0.27767
678.00	0.27679
679.00	0.27594
680.00	0.27506
681.00	0.27392
682.00	0.27276
683.00	0.27159
684.00	0.27015
685.00	0.26865
686.00	0.26722
687.00	0.26549
688.00	0.26378
689.00	0.26197
690.00	0.25995
691.00	0.25800
692.00	0.25573
693.00	0.25328
694.00	0.25109
695.00	0.24867
696.00	0.24609
697.00	0.24327
698.00	0.24058
699.00	0.23778
700.00	0.23483
701.00	0.23200
702.00	0.22874
703.00	0.22568
704.00	0.22256
705.00	0.21917
706.00	0.21613
707.00	0.21264
708.00	0.20919
709.00	0.20591
710.00	0.20235
711.00	0.19881
712.00	0.19529
713.00	0.19172
714.00	0.18826
715.00	0.18478
716.00	0.18120
717.00	0.17763
718.00	0.17397
719.00	0.17050
720.00	0.16699
721.00	0.16343
722.00	0.15986
723.00	0.15640
724.00	0.15291
725.00	0.14950
726.00	0.14598
727.00	0.14257
728.00	0.13917
729.00	0.13589
730.00	0.13257
731.00	0.12931
732.00	0.12617
733.00	0.12294
734.00	0.11989
735.00	0.11674
736.00	0.11380
737.00	0.11066
738.00	0.10788
739.00	0.10492
740.00	0.10214
741.00	0.099487
742.00	0.096656
743.00	0.094104
744.00	0.091388
745.00	0.089004
746.00	0.086396
747.00	0.083919
748.00	0.081511
749.00	0.079325
750.00	0.076932
751.00	0.074662
752.00	0.072536
753.00	0.070426
754.00	0.068309
755.00	0.066320
756.00	0.064247
757.00	0.062239
758.00	0.060396
759.00	0.058669
760.00	0.056745
761.00	0.055034
762.00	0.053395
763.00	0.051695
764.00	0.050074
765.00	0.048422
766.00	0.047020
767.00	0.045557
768.00	0.044068
769.00	0.042615
770.00	0.041431
771.00	0.039915
772.00	0.038682
773.00	0.037534
774.00	0.036321
775.00	0.035058
776.00	0.033968
777.00	0.032899
778.00	0.031741
779.00	0.030759
780.00	0.029720
781.00	0.028734
782.00	0.027836
783.00	0.026986
784.00	0.026134
785.00	0.025280
786.00	0.024488
787.00	0.023624
788.00	0.022891
789.00	0.022221
790.00	0.021572
791.00	0.020748
792.00	0.020095
793.00	0.019606
794.00	0.018928
795.00	0.018301
796.00	0.017816
797.00	0.017142
798.00	0.016795
799.00	0.016138
800.00	0.015687
801.00	0.015210
802.00	0.014753
803.00	0.014250
804.00	0.013940
805.00	0.013449
806.00	0.013020
807.00	0.012750
808.00	0.012326
809.00	0.012021
810.00	0.011543
811.00	0.011201
812.00	0.011054
813.00	0.010615
814.00	0.010392
815.00	0.010075
816.00	0.0098376
817.00	0.0096434
818.00	0.0094492
819.00	0.0091079
820.00	0.0087879
821.00	0.0087740
822.00	0.0085577
823.00	0.0082605
824.00	0.0080509
825.00	0.0078677
826.00	0.0077199
827.00	0.0075595
828.00	0.0074852
829.00	0.0071800
830.00	0.0069990
831.00	0.0069232
832.00	0.0067496
833.00	0.0065871
834.00	0.0064010
835.00	0.0063032
836.00	0.0061752
837.00	0.0060862
838.00	0.0060729
839.00	0.0058331
840.00	0.0056867
841.00	0.0057309
842.00	0.0055404
843.00	0.0054484
844.00	0.0052741
845.00	0.0052417
846.00	0.0052726
847.00	0.0051733
848.00	0.0049467
849.00	0.0048430
850.00	0.0049416
851.00	0.0048048
852.00	0.0047651
853.00	0.0044826
854.00	0.0045275
855.00	0.0044716
856.00	0.0043980
857.00	0.0043598
858.00	0.0041685
859.00	0.0041928
860.00	0.0041847
861.00	0.0040162
862.00	0.0041715
863.00	0.0040464
864.00	0.0038934
865.00	0.0039243
866.00	0.0039728
867.00	0.0039464
868.00	0.0037183
869.00	0.0038802
870.00	0.0038301
871.00	0.0037926
872.00	0.0037801
873.00	0.0036124
874.00	0.0037036
875.00	0.0036646
876.00	0.0036661
877.00	0.0033991
878.00	0.0034896
879.00	0.0035536
880.00	0.0035793
881.00	0.0034881
882.00	0.0034550
883.00	0.0034969
884.00	0.0034241
885.00	0.0034396
886.00	0.0033564
887.00	0.0033520
888.00	0.0034013
889.00	0.0034499
890.00	0.0033954
891.00	0.0032174
892.00	0.0032490
893.00	0.0034462
894.00	0.0033116
895.00	0.0032571
896.00	0.0031461
897.00	0.0032123
898.00	0.0033505
899.00	0.0032836
900.00	0.0032439
