Wavelength (nm)	I18 ems
726.50	0.071738
727.00	0.070085
727.50	0.069665
728.00	0.068734
728.50	0.067345
729.00	0.066855
729.50	0.065974
730.00	0.064995
730.50	0.063335
731.00	0.061881
731.50	0.062095
732.00	0.060479
732.50	0.060000
733.00	0.058272
733.50	0.057731
734.00	0.057353
734.50	0.055683
735.00	0.055302
735.50	0.054065
736.00	0.053354
736.50	0.052817
737.00	0.053368
737.50	0.051783
738.00	0.051857
738.50	0.050527
739.00	0.049433
739.50	0.048806
740.00	0.048920
740.50	0.049057
741.00	0.048821
741.50	0.047554
742.00	0.046933
742.50	0.046173
743.00	0.045619
743.50	0.045597
744.00	0.044476
744.50	0.044024
745.00	0.043512
745.50	0.043797
746.00	0.042033
746.50	0.041466
747.00	0.040468
747.50	0.041350
748.00	0.039995
748.50	0.039989
749.00	0.039182
749.50	0.039330
750.00	0.039490
750.50	0.038116
751.00	0.038384
751.50	0.038381
752.00	0.037594
752.50	0.036290
753.00	0.035824
753.50	0.035893
754.00	0.035865
754.50	0.035364
755.00	0.034722
755.50	0.035005
756.00	0.034487
756.50	0.034456
757.00	0.033519
757.50	0.032466
758.00	0.033145
758.50	0.032248
759.00	0.031927
759.50	0.031629
760.00	0.030772
760.50	0.030251
761.00	0.031265
761.50	0.030148
762.00	0.030121
762.50	0.029925
763.00	0.030297
763.50	0.029257
764.00	0.028169
764.50	0.028922
765.00	0.028508
765.50	0.026890
766.00	0.027388
766.50	0.028041
767.00	0.026963
767.50	0.026756
768.00	0.026611
768.50	0.026433
769.00	0.025370
769.50	0.025785
770.00	0.024524
770.50	0.024442
771.00	0.024433
771.50	0.024217
772.00	0.024265
772.50	0.024081
773.00	0.023251
773.50	0.022893
774.00	0.023948
774.50	0.022320
775.00	0.022272
775.50	0.022017
776.00	0.021559
776.50	0.021352
777.00	0.020875
777.50	0.020927
778.00	0.020963
778.50	0.020843
779.00	0.019382
779.50	0.019980
780.00	0.020157
780.50	0.019616
781.00	0.019220
781.50	0.020335
782.00	0.019665
782.50	0.018040
783.00	0.018604
783.50	0.017906
784.00	0.017902
784.50	0.017270
785.00	0.016825
785.50	0.016361
786.00	0.016421
786.50	0.016517
787.00	0.015716
787.50	0.016370
788.00	0.015892
788.50	0.015040
789.00	0.015563
789.50	0.015418
790.00	0.015245
790.50	0.015334
791.00	0.014641
791.50	0.014376
792.00	0.014247
792.50	0.014107
793.00	0.013731
793.50	0.014112
794.00	0.014421
794.50	0.013357
795.00	0.013416
795.50	0.013571
796.00	0.012466
796.50	0.013130
797.00	0.013128
797.50	0.012510
798.00	0.012013
798.50	0.012300
799.00	0.011359
799.50	0.011844
800.00	0.012503
