Wavelength (nm)	E11 ems
275.00	0.094143
276.00	0.24543
277.00	0.13514
278.00	0.11469
279.00	0.15804
280.00	0.12877
281.00	0.28298
282.00	0.12235
283.00	0.20166
284.00	0.43711
285.00	0.51065
286.00	0.58639
287.00	0.66529
288.00	0.64986
289.00	0.67138
290.00	0.71831
291.00	0.65155
292.00	0.71202
293.00	0.76284
294.00	0.69377
295.00	0.75317
296.00	0.79615
297.00	0.89755
298.00	0.75782
299.00	0.88201
300.00	0.92933
301.00	1.0000
302.00	0.85015
303.00	0.84733
304.00	0.87728
305.00	0.88906
306.00	0.95781
307.00	0.85345
308.00	0.89627
309.00	0.90371
310.00	0.87657
311.00	0.85288
312.00	0.83124
313.00	0.74649
314.00	0.73285
315.00	0.76035
316.00	0.61985
317.00	0.64610
318.00	0.60309
319.00	0.50894
320.00	0.58581
321.00	0.54285
322.00	0.51994
323.00	0.52649
324.00	0.49326
325.00	0.46731
326.00	0.41058
327.00	0.40920
328.00	0.37966
329.00	0.36239
330.00	0.39611
331.00	0.29619
332.00	0.32418
333.00	0.32305
334.00	0.27953
335.00	0.26096
336.00	0.26274
337.00	0.24477
338.00	0.23192
339.00	0.21490
340.00	0.26158
341.00	0.26002
342.00	0.20622
343.00	0.17065
344.00	0.19060
345.00	0.16475
346.00	0.19712
347.00	0.16312
348.00	0.17990
349.00	0.17038
350.00	0.12237
351.00	0.13067
352.00	0.10823
353.00	0.18018
354.00	0.11844
355.00	0.10703
356.00	0.11162
357.00	0.11485
358.00	0.10361
359.00	0.12683
360.00	0.13379
361.00	0.087624
362.00	0.11249
363.00	0.087809
364.00	0.11233
365.00	0.072460
366.00	0.098400
367.00	0.086807
368.00	0.088898
369.00	0.056309
370.00	0.074749
371.00	0.073804
372.00	0.072463
373.00	0.061168
374.00	0.057517
375.00	0.057055
376.00	0.051886
377.00	0.053009
378.00	0.034717
379.00	0.046716
380.00	0.056277
381.00	0.035293
382.00	0.065866
383.00	0.075338
384.00	0.048857
385.00	0.039511
386.00	0.045595
387.00	0.038572
388.00	0.033090
389.00	0.040228
390.00	0.032570
391.00	0.049556
392.00	0.022560
393.00	0.020888
394.00	0.031185
395.00	0.043920
396.00	0.029599
397.00	0.013607
398.00	0.057602
399.00	0.033463
400.00	0.016591
