Wavelength (nm)	M03 abs N
300.00	0.12226
301.00	0.11962
302.00	0.11690
303.00	0.11423
304.00	0.11158
305.00	0.10886
306.00	0.10607
307.00	0.10362
308.00	0.10124
309.00	0.098795
310.00	0.096918
311.00	0.095203
312.00	0.093500
313.00	0.091983
314.00	0.090547
315.00	0.089108
316.00	0.088247
317.00	0.086937
318.00	0.085895
319.00	0.084660
320.00	0.083662
321.00	0.082766
322.00	0.081919
323.00	0.081069
324.00	0.080172
325.00	0.079201
326.00	0.078203
327.00	0.077182
328.00	0.076352
329.00	0.075591
330.00	0.075214
331.00	0.075347
332.00	0.075971
333.00	0.076905
334.00	0.078061
335.00	0.079141
336.00	0.080475
337.00	0.082055
338.00	0.083564
339.00	0.085214
340.00	0.086276
341.00	0.087060
342.00	0.086841
343.00	0.085796
344.00	0.084005
345.00	0.082314
346.00	0.081060
347.00	0.080204
348.00	0.080049
349.00	0.080108
350.00	0.080451
351.00	0.081270
352.00	0.082172
353.00	0.082943
354.00	0.083685
355.00	0.084404
356.00	0.084737
357.00	0.084511
358.00	0.083970
359.00	0.082311
360.00	0.079449
361.00	0.075241
362.00	0.069835
363.00	0.064198
364.00	0.059168
365.00	0.055307
366.00	0.052083
367.00	0.050409
368.00	0.049647
369.00	0.048984
370.00	0.047550
371.00	0.045571
372.00	0.043634
373.00	0.042351
374.00	0.041647
375.00	0.040376
376.00	0.039144
377.00	0.037357
378.00	0.035194
379.00	0.032922
380.00	0.031729
381.00	0.030947
382.00	0.031043
383.00	0.031789
384.00	0.033321
385.00	0.034694
386.00	0.035494
387.00	0.035588
388.00	0.035224
389.00	0.034787
390.00	0.034469
391.00	0.034200
392.00	0.033625
393.00	0.033204
394.00	0.032783
395.00	0.032134
396.00	0.031057
397.00	0.029986
398.00	0.029267
399.00	0.028933
400.00	0.029349
401.00	0.030320
402.00	0.031417
403.00	0.032579
404.00	0.033856
405.00	0.035468
406.00	0.037619
407.00	0.039941
408.00	0.042654
409.00	0.045665
410.00	0.048964
411.00	0.052318
412.00	0.055272
413.00	0.057987
414.00	0.060309
415.00	0.062391
416.00	0.064176
417.00	0.065947
418.00	0.067949
419.00	0.070437
420.00	0.073250
421.00	0.076481
422.00	0.079602
423.00	0.083230
424.00	0.087040
425.00	0.091565
426.00	0.096006
427.00	0.10079
428.00	0.10572
429.00	0.11093
430.00	0.11657
431.00	0.12217
432.00	0.12779
433.00	0.13417
434.00	0.14081
435.00	0.14786
436.00	0.15512
437.00	0.16249
438.00	0.17048
439.00	0.17875
440.00	0.18726
441.00	0.19649
442.00	0.20522
443.00	0.21438
444.00	0.22373
445.00	0.23361
446.00	0.24365
447.00	0.25339
448.00	0.26320
449.00	0.27355
450.00	0.28428
451.00	0.29460
452.00	0.30502
453.00	0.31556
454.00	0.32659
455.00	0.33753
456.00	0.34874
457.00	0.36098
458.00	0.37295
459.00	0.38521
460.00	0.39794
461.00	0.41140
462.00	0.42513
463.00	0.43962
464.00	0.45522
465.00	0.47026
466.00	0.48494
467.00	0.50035
468.00	0.51679
469.00	0.53227
470.00	0.54863
471.00	0.56530
472.00	0.58096
473.00	0.59686
474.00	0.61136
475.00	0.62662
476.00	0.64099
477.00	0.65391
478.00	0.66668
479.00	0.67889
480.00	0.69113
481.00	0.70259
482.00	0.71381
483.00	0.72363
484.00	0.73326
485.00	0.74545
486.00	0.75680
487.00	0.76444
488.00	0.77663
489.00	0.78841
490.00	0.80034
491.00	0.81459
492.00	0.82794
493.00	0.84133
494.00	0.85607
495.00	0.86904
496.00	0.88553
497.00	0.89975
498.00	0.91403
499.00	0.92794
500.00	0.94271
501.00	0.95624
502.00	0.96665
503.00	0.97497
504.00	0.98390
505.00	0.99065
506.00	0.99698
507.00	1.0000
508.00	0.99955
509.00	0.99967
510.00	0.99543
511.00	0.99010
512.00	0.98348
513.00	0.97565
514.00	0.96624
515.00	0.95549
516.00	0.94298
517.00	0.93257
518.00	0.92242
519.00	0.90920
520.00	0.89883
521.00	0.88909
522.00	0.87945
523.00	0.87074
524.00	0.86300
525.00	0.85599
526.00	0.85041
527.00	0.84608
528.00	0.84110
529.00	0.83637
530.00	0.83326
531.00	0.82955
532.00	0.82718
533.00	0.82215
534.00	0.81772
535.00	0.81050
536.00	0.80414
537.00	0.79460
538.00	0.78398
539.00	0.77044
540.00	0.75516
541.00	0.73808
542.00	0.71811
543.00	0.69606
544.00	0.67086
545.00	0.64422
546.00	0.61553
547.00	0.58530
548.00	0.55439
549.00	0.52238
550.00	0.48940
551.00	0.45606
552.00	0.42253
553.00	0.38963
554.00	0.35781
555.00	0.32645
556.00	0.29615
557.00	0.26796
558.00	0.24147
559.00	0.21571
560.00	0.19169
561.00	0.17033
562.00	0.15068
563.00	0.13246
564.00	0.11575
565.00	0.10115
566.00	0.088105
567.00	0.076277
568.00	0.065751
569.00	0.056307
570.00	0.048597
571.00	0.041710
572.00	0.035687
573.00	0.030792
574.00	0.025782
