Wavelength (nm)	E20 abs N
308.25	0.16392
308.50	0.16446
308.75	0.15871
309.00	0.15942
309.25	0.15633
309.50	0.15361
309.75	0.15981
310.00	0.15920
310.25	0.15836
310.50	0.15905
310.75	0.15253
311.00	0.15226
311.25	0.15349
311.50	0.15744
311.75	0.15179
312.00	0.14885
312.25	0.15242
312.50	0.14980
312.75	0.14361
313.00	0.14144
313.25	0.14692
313.50	0.13968
313.75	0.14118
314.00	0.13842
314.25	0.14225
314.50	0.13738
314.75	0.13455
315.00	0.13577
315.25	0.13473
315.50	0.13325
315.75	0.13978
316.00	0.13450
316.25	0.13173
316.50	0.13410
316.75	0.12731
317.00	0.13704
317.25	0.12994
317.50	0.12795
317.75	0.12762
318.00	0.13703
318.25	0.13097
318.50	0.12896
318.75	0.12118
319.00	0.13109
319.25	0.12884
319.50	0.12078
319.75	0.12480
320.00	0.12755
320.25	0.12721
320.50	0.12482
320.75	0.11844
321.00	0.12591
321.25	0.12304
321.50	0.12462
321.75	0.12127
322.00	0.12217
322.25	0.12215
322.50	0.12265
322.75	0.11879
323.00	0.11723
323.25	0.12041
323.50	0.11929
323.75	0.11837
324.00	0.11876
324.25	0.11804
324.50	0.11192
324.75	0.11559
325.00	0.11636
325.25	0.11273
325.50	0.11766
325.75	0.11688
326.00	0.11021
326.25	0.11032
326.50	0.10787
326.75	0.11086
327.00	0.10938
327.25	0.10657
327.50	0.10868
327.75	0.10816
328.00	0.10281
328.25	0.10487
328.50	0.10245
328.75	0.10379
329.00	0.10018
329.25	0.10342
329.50	0.10298
329.75	0.10517
330.00	0.099959
330.25	0.094681
330.50	0.098955
330.75	0.097622
331.00	0.098626
331.25	0.097041
331.50	0.096137
331.75	0.094387
332.00	0.096788
332.25	0.091616
332.50	0.091786
332.75	0.091651
333.00	0.093383
333.25	0.091904
333.50	0.086561
333.75	0.091487
334.00	0.088833
334.25	0.087870
334.50	0.089162
334.75	0.091446
335.00	0.087377
335.25	0.090841
335.50	0.087852
335.75	0.085058
336.00	0.086590
336.25	0.085522
336.50	0.087025
336.75	0.084154
337.00	0.084265
337.25	0.086796
337.50	0.084095
337.75	0.082445
338.00	0.082140
338.25	0.082152
338.50	0.082052
338.75	0.082750
339.00	0.085827
339.25	0.082909
339.50	0.078071
339.75	0.079944
340.00	0.082539
340.25	0.078870
340.50	0.079169
340.75	0.080208
341.00	0.078594
341.25	0.074971
341.50	0.075981
341.75	0.080977
342.00	0.078611
342.25	0.076920
342.50	0.078376
342.75	0.077161
343.00	0.077631
343.25	0.077320
343.50	0.074678
343.75	0.074237
344.00	0.076944
344.25	0.075100
344.50	0.074965
344.75	0.075335
345.00	0.078488
345.25	0.074813
345.50	0.072494
345.75	0.071848
346.00	0.075059
346.25	0.072910
346.50	0.073092
346.75	0.074314
347.00	0.074249
347.25	0.073480
347.50	0.072499
347.75	0.073897
348.00	0.074196
348.25	0.072247
348.50	0.072323
348.75	0.072253
349.00	0.071777
349.25	0.072036
349.50	0.073016
349.75	0.072288
350.00	0.069946
350.25	0.071490
350.50	0.071654
350.75	0.073521
351.00	0.070227
351.25	0.069764
351.50	0.074942
351.75	0.069552
352.00	0.068736
352.25	0.068771
352.50	0.071407
352.75	0.071202
353.00	0.067521
353.25	0.068818
353.50	0.071683
353.75	0.068660
354.00	0.069910
354.25	0.068413
354.50	0.069887
354.75	0.068413
355.00	0.068613
355.25	0.068971
355.50	0.064004
355.75	0.067814
356.00	0.065460
356.25	0.065842
356.50	0.063904
356.75	0.064374
357.00	0.064885
357.25	0.064779
357.50	0.063570
357.75	0.061996
358.00	0.063440
358.25	0.061937
358.50	0.060493
358.75	0.060634
359.00	0.057904
359.25	0.059841
359.50	0.060064
359.75	0.060616
360.00	0.056970
360.25	0.054722
360.50	0.058338
360.75	0.056066
361.00	0.055444
361.25	0.054980
361.50	0.053718
