Wavelength (nm)	B04 ems
330.00	0.0072824
331.00	0.0069011
332.00	0.0079980
333.00	0.0080725
334.00	0.0089446
335.00	0.010070
336.00	0.011180
337.00	0.013118
338.00	0.014830
339.00	0.017922
340.00	0.020601
341.00	0.025103
342.00	0.030969
343.00	0.037515
344.00	0.045836
345.00	0.054223
346.00	0.064035
347.00	0.075272
348.00	0.090372
349.00	0.10604
350.00	0.12228
351.00	0.14376
352.00	0.16583
353.00	0.19093
354.00	0.21990
355.00	0.25114
356.00	0.28935
357.00	0.33340
358.00	0.37720
359.00	0.43285
360.00	0.49295
361.00	0.55770
362.00	0.62141
363.00	0.69115
364.00	0.75285
365.00	0.81430
366.00	0.86771
367.00	0.91430
368.00	0.94272
369.00	0.96791
370.00	0.97384
371.00	0.97449
372.00	0.96783
373.00	0.95337
374.00	0.93487
375.00	0.92085
376.00	0.90708
377.00	0.89958
378.00	0.89751
379.00	0.89812
380.00	0.90935
381.00	0.91930
382.00	0.94271
383.00	0.95800
384.00	0.97197
385.00	0.98415
386.00	0.99457
387.00	0.99892
388.00	1.0000
389.00	0.99367
390.00	0.97840
391.00	0.96027
392.00	0.93483
393.00	0.90435
394.00	0.87786
395.00	0.84493
396.00	0.81166
397.00	0.78272
398.00	0.75239
399.00	0.72017
400.00	0.69592
401.00	0.67327
402.00	0.65540
403.00	0.63637
404.00	0.62021
405.00	0.60962
406.00	0.59278
407.00	0.58375
408.00	0.57271
409.00	0.55976
410.00	0.54552
411.00	0.53299
412.00	0.51614
413.00	0.49984
414.00	0.48137
415.00	0.46306
416.00	0.44343
417.00	0.42498
418.00	0.40813
419.00	0.38642
420.00	0.37004
421.00	0.35012
422.00	0.33600
423.00	0.31904
424.00	0.30169
425.00	0.28864
426.00	0.27612
427.00	0.26280
428.00	0.25145
429.00	0.23978
430.00	0.23204
431.00	0.22037
432.00	0.21312
433.00	0.20460
434.00	0.19886
435.00	0.19094
436.00	0.18219
437.00	0.17459
438.00	0.16907
439.00	0.16053
440.00	0.15408
441.00	0.14685
442.00	0.14108
443.00	0.13486
444.00	0.12833
445.00	0.12312
446.00	0.11746
447.00	0.11168
448.00	0.10669
449.00	0.10073
450.00	0.096090
451.00	0.090967
452.00	0.086802
453.00	0.083625
454.00	0.078779
455.00	0.075707
456.00	0.071776
457.00	0.068252
458.00	0.065314
459.00	0.062217
460.00	0.060692
461.00	0.057569
462.00	0.054838
463.00	0.053015
464.00	0.050561
465.00	0.049777
466.00	0.046724
467.00	0.044250
468.00	0.042963
469.00	0.041226
470.00	0.039285
471.00	0.038042
472.00	0.036135
473.00	0.034643
474.00	0.032688
475.00	0.031678
476.00	0.030254
477.00	0.028978
478.00	0.027335
479.00	0.026293
480.00	0.025417
481.00	0.024701
482.00	0.023572
483.00	0.022565
484.00	0.021769
485.00	0.020811
486.00	0.019943
487.00	0.018957
488.00	0.018070
489.00	0.017180
490.00	0.016650
491.00	0.015925
492.00	0.015579
493.00	0.014851
494.00	0.014671
495.00	0.013666
496.00	0.013323
497.00	0.012927
498.00	0.012294
499.00	0.012087
500.00	0.011807
501.00	0.011213
502.00	0.010992
503.00	0.010630
504.00	0.010646
505.00	0.010172
506.00	0.0098437
507.00	0.0094724
508.00	0.0090302
509.00	0.0088162
510.00	0.0084976
511.00	0.0084393
512.00	0.0081172
513.00	0.0078503
514.00	0.0077025
515.00	0.0073426
516.00	0.0072712
517.00	0.0069563
518.00	0.0068646
519.00	0.0066853
520.00	0.0066921
521.00	0.0063798
522.00	0.0063149
523.00	0.0062452
524.00	0.0059877
525.00	0.0057963
526.00	0.0055112
527.00	0.0058926
528.00	0.0055830
529.00	0.0054824
530.00	0.0054755
531.00	0.0051614
532.00	0.0051676
533.00	0.0050163
534.00	0.0051046
535.00	0.0051355
536.00	0.0048712
537.00	0.0048693
538.00	0.0048429
539.00	0.0047428
540.00	0.0047148
541.00	0.0046299
542.00	0.0047202
543.00	0.0049139
544.00	0.0047353
545.00	0.0045877
546.00	0.0045385
547.00	0.0044563
548.00	0.0044365
549.00	0.0043014
550.00	0.0044216
