Wavelength (nm)	J14 abs N
631.00	0.0048726
632.00	0.0050598
633.00	0.0052265
634.00	0.0052798
635.00	0.0052875
636.00	0.0052227
637.00	0.0049199
638.00	0.0045570
639.00	0.0042171
640.00	0.0037962
641.00	0.0037847
642.00	0.0036402
643.00	0.0036342
644.00	0.0032401
645.00	0.0033173
646.00	0.0033297
647.00	0.0030934
648.00	0.0032636
649.00	0.0027612
650.00	0.0029199
651.00	0.0028747
652.00	0.0026337
653.00	0.0023293
654.00	0.0022030
655.00	0.0025360
656.00	0.0023137
657.00	0.0020108
658.00	0.0021523
659.00	0.0023135
660.00	0.0022111
661.00	0.0020845
662.00	0.0021028
663.00	0.0018636
664.00	0.0020205
665.00	0.0018555
666.00	0.0021681
667.00	0.0017267
668.00	0.0018981
669.00	0.0019437
670.00	0.0017885
671.00	0.0018026
672.00	0.0018175
673.00	0.0016333
674.00	0.0016022
675.00	0.0015680
676.00	0.0017591
677.00	0.0015442
678.00	0.0015732
679.00	0.0016457
680.00	0.0015685
681.00	0.0014056
682.00	0.0013680
683.00	0.0013923
684.00	0.0013361
685.00	0.0013587
686.00	0.0014930
687.00	0.0012746
688.00	0.0012000
689.00	0.0013271
690.00	0.0011970
691.00	0.0012290
692.00	0.0011361
693.00	0.0013062
694.00	0.0013864
695.00	0.0014056
696.00	0.0013181
697.00	0.0012725
698.00	0.0010418
699.00	0.0012073
700.00	0.0012286
