Wavelength (nm)	D08 ems
430.00	0.0085044
431.00	0.0081115
432.00	0.0081799
433.00	0.0084906
434.00	0.0083691
435.00	0.0085599
436.00	0.0087053
437.00	0.0091647
438.00	0.0094739
439.00	0.010821
440.00	0.011045
441.00	0.011541
442.00	0.013025
443.00	0.014518
444.00	0.016196
445.00	0.018460
446.00	0.020221
447.00	0.022979
448.00	0.024430
449.00	0.027672
450.00	0.030471
451.00	0.034379
452.00	0.036708
453.00	0.039855
454.00	0.043256
455.00	0.047772
456.00	0.051010
457.00	0.056396
458.00	0.059440
459.00	0.065228
460.00	0.068911
461.00	0.075043
462.00	0.080740
463.00	0.084461
464.00	0.091319
465.00	0.097357
466.00	0.10396
467.00	0.11252
468.00	0.11908
469.00	0.12562
470.00	0.13467
471.00	0.14232
472.00	0.15330
473.00	0.16238
474.00	0.17395
475.00	0.18483
476.00	0.19642
477.00	0.20947
478.00	0.22246
479.00	0.23356
480.00	0.24486
481.00	0.25734
482.00	0.27270
483.00	0.28881
484.00	0.30513
485.00	0.31495
486.00	0.32941
487.00	0.34548
488.00	0.35817
489.00	0.37478
490.00	0.38596
491.00	0.40294
492.00	0.41911
493.00	0.43830
494.00	0.45292
495.00	0.46912
496.00	0.48497
497.00	0.50501
498.00	0.52106
499.00	0.53970
500.00	0.55793
501.00	0.57104
502.00	0.58942
503.00	0.60862
504.00	0.62316
505.00	0.63814
506.00	0.65352
507.00	0.67473
508.00	0.69150
509.00	0.71102
510.00	0.72297
511.00	0.73623
512.00	0.75575
513.00	0.76677
514.00	0.78102
515.00	0.79304
516.00	0.80743
517.00	0.82723
518.00	0.83764
519.00	0.85241
520.00	0.86332
521.00	0.87339
522.00	0.89196
523.00	0.89607
524.00	0.91312
525.00	0.91669
526.00	0.92505
527.00	0.93398
528.00	0.93974
529.00	0.95349
530.00	0.95773
531.00	0.96444
532.00	0.97503
533.00	0.97588
534.00	0.97639
535.00	0.98537
536.00	0.98796
537.00	0.99429
538.00	0.99183
539.00	0.99675
540.00	0.99563
541.00	0.99801
542.00	1.0000
543.00	0.99813
544.00	0.99559
545.00	0.99325
546.00	0.99047
547.00	0.99017
548.00	0.98608
549.00	0.98233
550.00	0.98343
551.00	0.97702
552.00	0.97805
553.00	0.97381
554.00	0.96525
555.00	0.96516
556.00	0.95934
557.00	0.96030
558.00	0.95145
559.00	0.94808
560.00	0.94262
561.00	0.94153
562.00	0.93160
563.00	0.92841
564.00	0.92433
565.00	0.91834
566.00	0.90972
567.00	0.90261
568.00	0.89896
569.00	0.88857
570.00	0.88183
571.00	0.87231
572.00	0.86974
573.00	0.85873
574.00	0.85464
575.00	0.84483
576.00	0.83417
577.00	0.82883
578.00	0.82027
579.00	0.81182
580.00	0.79918
581.00	0.79253
582.00	0.78132
583.00	0.77408
584.00	0.76407
585.00	0.75211
586.00	0.74212
587.00	0.73212
588.00	0.72664
589.00	0.71350
590.00	0.70531
591.00	0.69441
592.00	0.68533
593.00	0.67016
594.00	0.66540
595.00	0.65461
596.00	0.64480
597.00	0.63375
598.00	0.62405
599.00	0.61607
600.00	0.60426
601.00	0.59767
602.00	0.58372
603.00	0.57558
604.00	0.56582
605.00	0.55999
606.00	0.55212
607.00	0.53850
608.00	0.53146
609.00	0.51732
610.00	0.50880
611.00	0.50169
612.00	0.48911
613.00	0.48125
614.00	0.47006
615.00	0.46364
616.00	0.45448
617.00	0.44593
618.00	0.43460
619.00	0.42574
620.00	0.41933
621.00	0.41189
622.00	0.40246
623.00	0.39597
624.00	0.38581
625.00	0.37927
626.00	0.36802
627.00	0.36919
628.00	0.36189
629.00	0.35304
630.00	0.34384
631.00	0.33656
632.00	0.32827
633.00	0.32266
634.00	0.31616
635.00	0.30681
636.00	0.30136
637.00	0.29315
638.00	0.28913
639.00	0.28031
640.00	0.27579
641.00	0.27271
642.00	0.26784
643.00	0.26098
644.00	0.25373
645.00	0.24802
646.00	0.24383
647.00	0.23799
648.00	0.23210
649.00	0.22847
650.00	0.22601
651.00	0.21735
652.00	0.21430
653.00	0.20999
654.00	0.20616
655.00	0.20211
656.00	0.19713
657.00	0.19407
658.00	0.18703
659.00	0.18270
660.00	0.18124
661.00	0.17879
662.00	0.17337
663.00	0.16925
664.00	0.16306
665.00	0.16580
666.00	0.16059
667.00	0.15514
668.00	0.15209
669.00	0.14907
670.00	0.14772
671.00	0.14630
672.00	0.14092
673.00	0.13766
674.00	0.13261
675.00	0.13156
676.00	0.12838
677.00	0.12798
678.00	0.12458
679.00	0.12259
680.00	0.11669
681.00	0.11702
682.00	0.11475
683.00	0.11324
684.00	0.10767
685.00	0.10737
686.00	0.10609
687.00	0.10322
688.00	0.10216
689.00	0.098495
690.00	0.097039
691.00	0.095954
692.00	0.094195
693.00	0.094593
694.00	0.090258
695.00	0.091077
696.00	0.087469
697.00	0.086676
698.00	0.083266
699.00	0.084739
700.00	0.080406
701.00	0.079003
702.00	0.079403
703.00	0.077399
704.00	0.077350
705.00	0.075518
706.00	0.072804
707.00	0.071295
708.00	0.071674
709.00	0.070107
710.00	0.068921
711.00	0.066640
712.00	0.065903
713.00	0.066206
714.00	0.064290
715.00	0.062936
716.00	0.060742
717.00	0.060781
718.00	0.058318
719.00	0.057150
720.00	0.055079
721.00	0.055328
722.00	0.055240
723.00	0.053070
724.00	0.053339
725.00	0.050139
726.00	0.053505
727.00	0.049831
728.00	0.048864
729.00	0.048840
730.00	0.047074
731.00	0.047674
732.00	0.044604
733.00	0.046434
734.00	0.044718
735.00	0.043218
736.00	0.041815
737.00	0.043232
738.00	0.040336
739.00	0.041655
740.00	0.041349
741.00	0.041486
742.00	0.041060
743.00	0.040566
744.00	0.039127
745.00	0.039867
746.00	0.039478
747.00	0.039973
748.00	0.036786
749.00	0.037843
750.00	0.037575
751.00	0.036391
752.00	0.036825
753.00	0.034849
754.00	0.035466
755.00	0.035338
756.00	0.037204
757.00	0.036471
758.00	0.033385
759.00	0.035041
760.00	0.033893
761.00	0.033677
762.00	0.032322
763.00	0.034379
764.00	0.033225
765.00	0.032726
766.00	0.033625
767.00	0.030066
768.00	0.034383
769.00	0.032702
770.00	0.032797
771.00	0.030989
772.00	0.031980
773.00	0.031113
774.00	0.029080
775.00	0.032434
776.00	0.031925
777.00	0.031600
778.00	0.032654
779.00	0.030983
780.00	0.030587
781.00	0.030666
782.00	0.032356
783.00	0.030607
784.00	0.032776
785.00	0.032503
786.00	0.033087
787.00	0.030083
788.00	0.030946
789.00	0.029536
790.00	0.030845
791.00	0.032542
792.00	0.033850
793.00	0.032011
794.00	0.030514
795.00	0.031044
796.00	0.031972
797.00	0.029897
798.00	0.032262
799.00	0.035514
800.00	0.031642
