Wavelength (nm)	T07 abs N
653.00	0.063942
654.00	0.062677
655.00	0.061705
656.00	0.062305
657.00	0.058996
658.00	0.059702
659.00	0.057816
660.00	0.057990
661.00	0.057723
662.00	0.057500
663.00	0.056083
664.00	0.055980
665.00	0.056300
666.00	0.056004
667.00	0.056171
668.00	0.055910
669.00	0.055480
670.00	0.055480
671.00	0.055771
672.00	0.056072
673.00	0.056983
674.00	0.058690
675.00	0.059952
676.00	0.062321
677.00	0.065187
678.00	0.069190
679.00	0.074169
680.00	0.079547
681.00	0.087068
682.00	0.095699
683.00	0.10639
684.00	0.11894
685.00	0.13330
686.00	0.14822
687.00	0.16693
688.00	0.18712
689.00	0.21078
690.00	0.23606
691.00	0.26337
692.00	0.29054
693.00	0.32116
694.00	0.35041
695.00	0.38094
696.00	0.40783
697.00	0.43665
698.00	0.45881
699.00	0.47689
700.00	0.49076
701.00	0.49727
702.00	0.50214
703.00	0.49820
704.00	0.48759
705.00	0.47266
706.00	0.45221
707.00	0.42873
708.00	0.40006
709.00	0.36861
710.00	0.33563
711.00	0.30279
712.00	0.26916
713.00	0.23690
714.00	0.20776
715.00	0.17981
716.00	0.15552
717.00	0.13259
718.00	0.11215
719.00	0.094752
720.00	0.079595
721.00	0.066705
722.00	0.056441
723.00	0.047263
724.00	0.039758
725.00	0.033000
726.00	0.027955
727.00	0.023922
728.00	0.019996
729.00	0.017318
730.00	0.015735
731.00	0.013376
732.00	0.012035
733.00	0.010609
734.00	0.0094888
735.00	0.0085622
736.00	0.0077159
737.00	0.0071301
738.00	0.0070259
739.00	0.0063345
740.00	0.0058330
741.00	0.0057081
742.00	0.0052667
743.00	0.0047797
744.00	0.0046724
745.00	0.0044032
746.00	0.0039997
747.00	0.0043378
748.00	0.0041392
749.00	0.0035922
750.00	0.0040292
751.00	0.0034783
752.00	0.0035388
753.00	0.0036010
754.00	0.0032514
755.00	0.0032191
756.00	0.0030496
757.00	0.0028179
758.00	0.0028232
759.00	0.0029092
760.00	0.0025698
761.00	0.0027018
762.00	0.0026311
763.00	0.0026779
764.00	0.0024629
765.00	0.0025517
766.00	0.0024408
767.00	0.0022819
768.00	0.0019932
769.00	0.0022214
770.00	0.0025102
771.00	0.0024046
772.00	0.0023760
773.00	0.0020841
774.00	0.0019080
775.00	0.0018590
776.00	0.0020956
777.00	0.0019817
778.00	0.0020245
779.00	0.0013866
780.00	0.0017332
781.00	0.0018594
782.00	0.0020532
783.00	0.0016952
784.00	0.0019142
785.00	0.0012776
786.00	0.0019539
787.00	0.0016400
788.00	0.0017734
789.00	0.0014913
790.00	0.0017076
791.00	0.0015027
792.00	0.0013266
793.00	0.0016837
794.00	0.0013963
795.00	0.0016617
796.00	0.0020674
797.00	0.0012696
798.00	0.0016970
799.00	0.0016105
800.00	0.0016935
