Wavelength (nm)	I-19, 7385-67-3, Nile Red.ems
562.00	0.70082
562.50	0.71518
563.00	0.73038
563.50	0.74980
564.00	0.76167
564.50	0.77555
565.00	0.78949
565.50	0.80452
566.00	0.81415
566.50	0.82848
567.00	0.83883
567.50	0.85453
568.00	0.86281
568.50	0.87646
569.00	0.88726
569.50	0.89957
570.00	0.90705
570.50	0.91462
571.00	0.92398
571.50	0.93610
572.00	0.94173
572.50	0.94823
573.00	0.95545
573.50	0.96117
574.00	0.96912
574.50	0.97366
575.00	0.97809
575.50	0.98470
576.00	0.98602
576.50	0.99248
577.00	0.99365
577.50	0.99589
578.00	0.99809
578.50	0.99878
579.00	0.99990
579.50	0.99804
580.00	1.00000
580.50	0.99857
581.00	0.99895
581.50	0.99497
582.00	0.99828
582.50	0.99716
583.00	0.99258
583.50	0.98958
584.00	0.98853
584.50	0.98617
585.00	0.98304
585.50	0.97751
586.00	0.97509
586.50	0.97037
587.00	0.96896
587.50	0.95941
588.00	0.95931
588.50	0.95200
589.00	0.95088
589.50	0.94398
590.00	0.94117
590.50	0.93360
591.00	0.93061
591.50	0.92449
592.00	0.92182
592.50	0.91525
593.00	0.91006
593.50	0.90512
594.00	0.90256
594.50	0.89520
595.00	0.89360
595.50	0.88740
596.00	0.88335
596.50	0.87600
597.00	0.87393
597.50	0.86524
598.00	0.86357
598.50	0.85734
599.00	0.85350
599.50	0.84574
600.00	0.84319
600.50	0.83761
601.00	0.83306
601.50	0.82722
602.00	0.82388
602.50	0.82016
603.00	0.81686
603.50	0.80901
604.00	0.80947
604.50	0.80490
605.00	0.79945
605.50	0.79552
606.00	0.79190
606.50	0.78800
607.00	0.78572
607.50	0.77993
608.00	0.77992
608.50	0.77490
609.00	0.77253
609.50	0.76583
610.00	0.76399
610.50	0.75912
611.00	0.75626
611.50	0.75004
612.00	0.75056
612.50	0.74406
613.00	0.74126
613.50	0.73557
614.00	0.73172
614.50	0.72923
615.00	0.72683
615.50	0.71975
616.00	0.71704
616.50	0.71332
617.00	0.71078
617.50	0.70362
618.00	0.70207
618.50	0.70035
619.00	0.69461
619.50	0.68806
620.00	0.68713
620.50	0.68316
621.00	0.67750
621.50	0.67186
622.00	0.67073
622.50	0.66763
623.00	0.66050
623.50	0.65488
624.00	0.65094
624.50	0.64216
625.00	0.63850
625.50	0.62928
626.00	0.62516
626.50	0.61817
627.00	0.61157
627.50	0.60518
628.00	0.60235
628.50	0.59642
629.00	0.59103
629.50	0.58456
630.00	0.58279
630.50	0.57936
631.00	0.57300
631.50	0.56522
632.00	0.56317
632.50	0.55581
633.00	0.55271
633.50	0.54446
634.00	0.54022
634.50	0.53541
635.00	0.53165
635.50	0.52325
636.00	0.51804
636.50	0.51195
637.00	0.50720
637.50	0.49927
638.00	0.49488
638.50	0.48953
639.00	0.48279
639.50	0.47703
640.00	0.47240
640.50	0.46701
641.00	0.46408
641.50	0.45481
642.00	0.45197
642.50	0.44616
643.00	0.44223
643.50	0.43479
644.00	0.43061
644.50	0.42547
645.00	0.42053
645.50	0.41477
646.00	0.41195
646.50	0.40300
647.00	0.40082
647.50	0.39381
648.00	0.38923
648.50	0.38614
649.00	0.37936
649.50	0.37332
650.00	0.37058
650.50	0.36532
651.00	0.36181
651.50	0.35627
652.00	0.35367
652.50	0.34845
653.00	0.34438
653.50	0.33914
654.00	0.33675
654.50	0.33178
655.00	0.32900
655.50	0.32376
656.00	0.32094
656.50	0.31647
657.00	0.31489
657.50	0.31153
658.00	0.30779
658.50	0.30190
659.00	0.29885
659.50	0.29491
660.00	0.29202
660.50	0.28807
661.00	0.28447
661.50	0.28117
662.00	0.27917
662.50	0.27433
663.00	0.27214
663.50	0.26915
664.00	0.26791
664.50	0.26330
665.00	0.26119
665.50	0.25658
666.00	0.25536
666.50	0.25247
667.00	0.24997
667.50	0.24594
668.00	0.24383
668.50	0.24249
669.00	0.24153
669.50	0.23792
670.00	0.23505
670.50	0.23234
671.00	0.23003
671.50	0.22563
672.00	0.22474
672.50	0.22300
673.00	0.21972
673.50	0.21607
674.00	0.21643
674.50	0.21290
675.00	0.20996
675.50	0.20592
676.00	0.20546
676.50	0.20387
677.00	0.20089
677.50	0.19839
678.00	0.19708
678.50	0.19558
679.00	0.19257
679.50	0.18886
680.00	0.18824
680.50	0.18608
681.00	0.18521
681.50	0.18125
682.00	0.18035
682.50	0.17878
683.00	0.17573
683.50	0.17248
684.00	0.16995
684.50	0.16856
685.00	0.16669
685.50	0.16461
686.00	0.16288
686.50	0.16126
687.00	0.15863
687.50	0.15780
688.00	0.15644
688.50	0.15403
689.00	0.15293
689.50	0.14913
690.00	0.14934
690.50	0.14708
691.00	0.14472
691.50	0.14417
692.00	0.14311
692.50	0.14085
693.00	0.13953
693.50	0.13664
694.00	0.13593
694.50	0.13349
695.00	0.13292
695.50	0.13035
696.00	0.13045
696.50	0.12749
697.00	0.12536
697.50	0.12363
698.00	0.12271
698.50	0.12044
699.00	0.12037
699.50	0.11730
700.00	0.11701
700.50	0.11512
701.00	0.11296
701.50	0.11178
702.00	0.11106
702.50	0.10891
703.00	0.10837
703.50	0.10661
704.00	0.10540
704.50	0.10430
705.00	0.10257
705.50	0.10087
706.00	0.099574
706.50	0.098508
707.00	0.096298
707.50	0.095950
708.00	0.094492
708.50	0.093149
709.00	0.092384
709.50	0.091005
710.00	0.090695
710.50	0.089084
711.00	0.086581
711.50	0.087343
712.00	0.085342
712.50	0.084919
713.00	0.082857
713.50	0.081270
714.00	0.080700
714.50	0.080009
715.00	0.079569
715.50	0.077570
716.00	0.076451
716.50	0.075719
717.00	0.075435
717.50	0.073873
718.00	0.074496
718.50	0.071806
719.00	0.071478
719.50	0.068830
720.00	0.069468
720.50	0.068290
721.00	0.067759
721.50	0.066153
722.00	0.066131
722.50	0.065134
723.00	0.064913
723.50	0.063207
724.00	0.062696
724.50	0.061244
725.00	0.060752
725.50	0.060186
726.00	0.060049
726.50	0.058354
727.00	0.058173
727.50	0.056878
728.00	0.056554
728.50	0.056496
729.00	0.055374
729.50	0.054047
730.00	0.054223
730.50	0.052475
731.00	0.051978
731.50	0.052587
732.00	0.052283
732.50	0.051275
733.00	0.050244
733.50	0.049456
734.00	0.049249
734.50	0.048325
735.00	0.046947
735.50	0.046831
736.00	0.047226
736.50	0.046715
737.00	0.045596
737.50	0.044946
738.00	0.045386
738.50	0.044630
739.00	0.044140
739.50	0.042639
740.00	0.043679
740.50	0.042439
741.00	0.042151
741.50	0.041771
742.00	0.040699
742.50	0.040634
743.00	0.040054
743.50	0.039992
744.00	0.039147
744.50	0.038659
745.00	0.037795
745.50	0.037679
746.00	0.037306
746.50	0.037099
747.00	0.036988
747.50	0.035770
748.00	0.035446
748.50	0.035942
749.00	0.034990
749.50	0.034758
750.00	0.033618
750.50	0.033601
751.00	0.033653
751.50	0.033058
752.00	0.032454
752.50	0.032189
753.00	0.031869
753.50	0.031737
754.00	0.030759
754.50	0.030730
755.00	0.030720
755.50	0.029884
756.00	0.029341
756.50	0.029665
757.00	0.028569
757.50	0.028699
758.00	0.028168
758.50	0.028922
759.00	0.026953
759.50	0.026378
760.00	0.027268
760.50	0.027165
761.00	0.025790
761.50	0.026361
762.00	0.025816
762.50	0.025551
763.00	0.024862
763.50	0.025133
764.00	0.024427
764.50	0.025315
765.00	0.024045
765.50	0.024108
766.00	0.023447
766.50	0.023420
767.00	0.023239
767.50	0.022718
768.00	0.022293
768.50	0.021822
769.00	0.021710
769.50	0.021951
770.00	0.021907
770.50	0.021363
771.00	0.021162
771.50	0.020611
772.00	0.020826
772.50	0.020150
773.00	0.020338
773.50	0.020557
774.00	0.019829
774.50	0.018797
775.00	0.019088
775.50	0.018817
776.00	0.018887
776.50	0.019547
777.00	0.018102
777.50	0.018286
778.00	0.018152
778.50	0.018227
779.00	0.017677
779.50	0.017178
780.00	0.017794
780.50	0.016811
