Wavelength (nm)	L09 abs N
553.00	0.95354
554.00	0.96870
555.00	0.97693
556.00	0.98952
557.00	0.99742
558.00	1.00000
559.00	0.99810
560.00	0.99994
561.00	0.99088
562.00	0.97825
563.00	0.96269
564.00	0.94179
565.00	0.91189
566.00	0.88127
567.00	0.85162
568.00	0.81723
569.00	0.77599
570.00	0.73981
571.00	0.69779
572.00	0.65801
573.00	0.61495
574.00	0.57156
575.00	0.53195
576.00	0.49105
577.00	0.44919
578.00	0.41483
579.00	0.37977
580.00	0.34453
581.00	0.31194
582.00	0.28653
583.00	0.26211
584.00	0.23219
585.00	0.20984
586.00	0.19169
587.00	0.17040
588.00	0.15365
589.00	0.13945
590.00	0.12445
591.00	0.11171
592.00	0.099365
593.00	0.089121
594.00	0.080396
595.00	0.071947
596.00	0.065338
597.00	0.058400
598.00	0.051997
599.00	0.046608
600.00	0.042171
601.00	0.037647
602.00	0.033921
603.00	0.030454
604.00	0.027811
605.00	0.024887
606.00	0.022501
607.00	0.020277
608.00	0.018476
609.00	0.016668
610.00	0.015095
611.00	0.013720
612.00	0.012582
613.00	0.011294
614.00	0.010358
615.00	0.0093825
616.00	0.0085818
617.00	0.0078536
618.00	0.0072135
619.00	0.0066656
620.00	0.0061675
621.00	0.0059462
622.00	0.0054522
623.00	0.0048329
624.00	0.0045398
625.00	0.0040847
626.00	0.0038537
627.00	0.0040898
628.00	0.0035968
629.00	0.0034789
630.00	0.0033189
631.00	0.0029798
632.00	0.0029283
633.00	0.0030476
634.00	0.0030601
635.00	0.0028759
636.00	0.0025573
637.00	0.0026741
638.00	0.0025874
639.00	0.0027154
640.00	0.0023341
641.00	0.0018355
642.00	0.0019909
643.00	0.0012691
644.00	0.0013573
645.00	0.0022483
646.00	0.0015836
647.00	0.0017084
648.00	0.0015150
649.00	0.0014264
650.00	0.0021593
651.00	0.0018373
652.00	0.0010961
653.00	0.00092679
654.00	0.0013758
655.00	0.0013651
656.00	0.0011685
657.00	0.00089107
658.00	0.0011559
659.00	0.0012478
660.00	0.0012700
661.00	0.0013341
662.00	0.0012227
663.00	0.00093468
664.00	0.0013211
665.00	0.0013535
666.00	0.00062064
667.00	0.00084840
668.00	0.0011643
669.00	0.00041840
670.00	0.00082752
671.00	0.0010047
672.00	0.00099822
673.00	0.00086602
674.00	0.00080387
675.00	0.00060626
676.00	0.0010140
677.00	0.0010831
678.00	0.00084701
679.00	0.00064105
680.00	0.00080016
681.00	0.00093236
682.00	0.00063502
683.00	0.00097689
684.00	0.00084793
685.00	0.0010539
686.00	0.00098987
687.00	0.00073568
688.00	0.00074542
689.00	0.00073290
690.00	0.00054225
691.00	0.00064198
692.00	0.00063085
693.00	0.00092911
694.00	0.00094024
695.00	0.00079691
696.00	0.00047267
697.00	0.00066332
698.00	0.00068929
699.00	0.00053297
700.00	0.00038825
