Wavelength (nm)	N09 abs N
235.00	0.82886
236.00	0.89358
237.00	0.89169
238.00	0.96520
239.00	0.95953
240.00	0.98085
241.00	0.98513
242.00	0.98473
243.00	0.96624
244.00	0.94323
245.00	0.92977
246.00	0.92117
247.00	0.91626
248.00	0.91335
249.00	0.91253
250.00	0.91555
251.00	0.92146
252.00	0.92876
253.00	0.93787
254.00	0.94902
255.00	0.95853
256.00	0.96711
257.00	0.97449
258.00	0.98184
259.00	0.99028
260.00	0.99784
261.00	1.0000
262.00	0.99761
263.00	0.98953
264.00	0.97925
265.00	0.96969
266.00	0.95892
267.00	0.94476
268.00	0.92632
269.00	0.90398
270.00	0.88361
271.00	0.86927
272.00	0.86206
273.00	0.86075
274.00	0.85837
275.00	0.85121
276.00	0.83997
277.00	0.82923
278.00	0.81957
279.00	0.81228
280.00	0.80590
281.00	0.79992
282.00	0.79427
283.00	0.78729
284.00	0.78019
285.00	0.77211
286.00	0.76263
287.00	0.75101
288.00	0.73913
289.00	0.72612
290.00	0.71191
291.00	0.69678
292.00	0.68156
293.00	0.66569
294.00	0.64989
295.00	0.63312
296.00	0.61648
297.00	0.59849
298.00	0.57976
299.00	0.56124
300.00	0.54201
301.00	0.52232
302.00	0.50230
303.00	0.48119
304.00	0.45954
305.00	0.43651
306.00	0.41112
307.00	0.38244
308.00	0.35168
309.00	0.31852
310.00	0.28466
311.00	0.25072
312.00	0.21847
313.00	0.18891
314.00	0.16243
315.00	0.13903
316.00	0.11848
317.00	0.10130
318.00	0.086945
319.00	0.074648
320.00	0.064422
321.00	0.055508
322.00	0.047899
323.00	0.041702
324.00	0.036281
325.00	0.031882
326.00	0.027842
327.00	0.024459
328.00	0.021349
329.00	0.018874
330.00	0.016425
331.00	0.014501
332.00	0.013029
333.00	0.011605
334.00	0.010224
335.00	0.0091471
336.00	0.0082009
337.00	0.0073353
338.00	0.0067887
339.00	0.0060610
340.00	0.0058487
341.00	0.0053713
342.00	0.0050206
343.00	0.0046862
344.00	0.0039665
345.00	0.0038206
346.00	0.0038825
347.00	0.0039574
348.00	0.0037696
349.00	0.0035527
350.00	0.0033177
351.00	0.0031713
352.00	0.0033070
353.00	0.0033637
354.00	0.0030635
355.00	0.0029806
356.00	0.0030453
357.00	0.0028183
358.00	0.0029443
359.00	0.0027354
360.00	0.0029006
361.00	0.0031276
362.00	0.0027910
363.00	0.0025282
364.00	0.0027030
365.00	0.0029772
366.00	0.0023500
367.00	0.0024941
368.00	0.0026031
369.00	0.0023659
370.00	0.0025186
371.00	0.0020747
372.00	0.0023091
373.00	0.0021224
374.00	0.0021144
375.00	0.0021456
376.00	0.0023335
377.00	0.0020775
378.00	0.0023852
379.00	0.0022262
380.00	0.0023687
381.00	0.0020179
382.00	0.0019964
383.00	0.0021979
384.00	0.0020100
385.00	0.0022637
386.00	0.0022257
387.00	0.0024272
388.00	0.0017375
389.00	0.0021848
390.00	0.0015423
391.00	0.0021377
392.00	0.0018437
393.00	0.0021326
394.00	0.0019498
395.00	0.0015973
396.00	0.0015848
397.00	0.0013896
398.00	0.0016127
399.00	0.0017909
400.00	0.0018295
