Wavelength (nm)	A11 abs2 N
205.00	0.63572
206.00	0.63074
207.00	0.63755
208.00	0.65105
209.00	0.66740
210.00	0.69610
211.00	0.72895
212.00	0.75593
213.00	0.78619
214.00	0.81473
215.00	0.84726
216.00	0.88547
217.00	0.90914
218.00	0.93496
219.00	0.96721
220.00	1.0000
221.00	0.99568
222.00	0.93767
223.00	0.86220
224.00	0.81077
225.00	0.76052
226.00	0.64075
227.00	0.46091
228.00	0.29134
229.00	0.17451
230.00	0.10165
231.00	0.058909
232.00	0.034862
233.00	0.021363
234.00	0.013890
235.00	0.0096887
236.00	0.0078645
237.00	0.0072867
238.00	0.0074398
239.00	0.0080364
240.00	0.0088140
241.00	0.010155
242.00	0.011687
243.00	0.013604
244.00	0.015925
245.00	0.018429
246.00	0.021090
247.00	0.023851
248.00	0.027278
249.00	0.031794
250.00	0.037348
251.00	0.042472
252.00	0.047222
253.00	0.052289
254.00	0.058347
255.00	0.067575
256.00	0.077747
257.00	0.087213
258.00	0.096822
259.00	0.10542
260.00	0.11298
261.00	0.12328
262.00	0.13490
263.00	0.15099
264.00	0.17447
265.00	0.18854
266.00	0.18584
267.00	0.18049
268.00	0.18065
269.00	0.19028
270.00	0.23225
271.00	0.27743
272.00	0.26397
273.00	0.21360
274.00	0.16622
275.00	0.13711
276.00	0.13905
277.00	0.20961
278.00	0.26324
279.00	0.20817
280.00	0.12526
281.00	0.070118
282.00	0.039100
283.00	0.022809
284.00	0.014219
285.00	0.0092406
286.00	0.0063750
287.00	0.0043249
288.00	0.0029731
289.00	0.0021589
290.00	0.0016382
291.00	0.0012719
292.00	0.0010501
293.00	0.0010122
294.00	0.00076087
295.00	0.00075347
296.00	0.00072253
297.00	0.00069922
298.00	0.00076397
299.00	0.00053682
300.00	0.00061010
