Wavelength (nm)	N-10, 62669-70-9, Rhodamine 123.ems
602.50	0.11202
603.00	0.10931
603.50	0.10756
604.00	0.10543
604.50	0.10334
605.00	0.10098
605.50	0.099095
606.00	0.097449
606.50	0.095679
607.00	0.094203
607.50	0.092400
608.00	0.090532
608.50	0.088596
609.00	0.086751
609.50	0.085477
610.00	0.083861
610.50	0.082302
611.00	0.080813
611.50	0.079821
612.00	0.077874
612.50	0.076754
613.00	0.075255
613.50	0.073881
614.00	0.072514
614.50	0.071430
615.00	0.070004
615.50	0.069233
616.00	0.067959
616.50	0.067102
617.00	0.065640
617.50	0.065120
618.00	0.064130
618.50	0.062987
619.00	0.061733
619.50	0.061164
620.00	0.060024
620.50	0.059577
621.00	0.058545
621.50	0.057610
622.00	0.056812
622.50	0.056201
623.00	0.055399
623.50	0.054647
624.00	0.053938
624.50	0.052629
625.00	0.052324
625.50	0.051484
626.00	0.050438
626.50	0.049604
627.00	0.048695
627.50	0.048121
628.00	0.047345
628.50	0.046308
629.00	0.045628
629.50	0.044721
630.00	0.044420
630.50	0.043685
631.00	0.042851
631.50	0.042602
632.00	0.042011
632.50	0.041106
633.00	0.040685
633.50	0.040096
634.00	0.039466
634.50	0.039157
635.00	0.038269
635.50	0.037880
636.00	0.037269
636.50	0.036427
637.00	0.035813
637.50	0.035388
638.00	0.035007
638.50	0.034324
639.00	0.033723
639.50	0.033484
640.00	0.032752
640.50	0.032171
641.00	0.031739
641.50	0.031471
642.00	0.030800
642.50	0.030328
643.00	0.029824
643.50	0.029365
644.00	0.028730
644.50	0.028425
645.00	0.027871
645.50	0.027474
646.00	0.027248
646.50	0.026468
647.00	0.026075
647.50	0.025709
648.00	0.025394
648.50	0.024850
649.00	0.024285
649.50	0.024097
650.00	0.023759
650.50	0.022997
651.00	0.022679
651.50	0.022513
652.00	0.021883
652.50	0.021762
653.00	0.021119
653.50	0.020714
654.00	0.020568
654.50	0.020362
655.00	0.019840
655.50	0.019534
656.00	0.019267
656.50	0.018920
657.00	0.018586
657.50	0.018117
658.00	0.018134
658.50	0.017495
659.00	0.017330
659.50	0.017016
660.00	0.016711
660.50	0.016482
661.00	0.016216
661.50	0.015893
662.00	0.015667
662.50	0.015405
663.00	0.015164
663.50	0.015040
664.00	0.014639
664.50	0.014534
665.00	0.014273
665.50	0.014000
666.00	0.013879
666.50	0.013607
667.00	0.013215
667.50	0.013281
668.00	0.013034
668.50	0.012810
669.00	0.012495
669.50	0.012504
670.00	0.012231
670.50	0.011994
671.00	0.011611
671.50	0.011592
672.00	0.011395
672.50	0.011468
673.00	0.011332
673.50	0.011164
674.00	0.010688
674.50	0.010677
675.00	0.010452
675.50	0.010346
676.00	0.010175
676.50	0.0099704
677.00	0.0098840
677.50	0.0097537
678.00	0.0096051
678.50	0.0095312
679.00	0.0094175
679.50	0.0092956
680.00	0.0092638
680.50	0.0089216
681.00	0.0089636
681.50	0.0089585
682.00	0.0087023
682.50	0.0086125
683.00	0.0085697
683.50	0.0083757
684.00	0.0083491
684.50	0.0081815
685.00	0.0081239
685.50	0.0079410
686.00	0.0077749
686.50	0.0077209
687.00	0.0076524
687.50	0.0076523
688.00	0.0076515
688.50	0.0075549
689.00	0.0073844
689.50	0.0071564
690.00	0.0073034
690.50	0.0071161
691.00	0.0072943
691.50	0.0071288
692.00	0.0070204
692.50	0.0068444
693.00	0.0067415
693.50	0.0068057
694.00	0.0068603
694.50	0.0067218
695.00	0.0067145
695.50	0.0065862
696.00	0.0063420
696.50	0.0063874
697.00	0.0064580
697.50	0.0062890
698.00	0.0062652
698.50	0.0060498
699.00	0.0061073
699.50	0.0060791
700.00	0.0060358
700.50	0.0059262
701.00	0.0058348
701.50	0.0058747
702.00	0.0058438
702.50	0.0055444
703.00	0.0056469
703.50	0.0055475
704.00	0.0056378
704.50	0.0057012
705.00	0.0055172
705.50	0.0055064
706.00	0.0055154
706.50	0.0053064
707.00	0.0052662
707.50	0.0053013
708.00	0.0051975
708.50	0.0051638
709.00	0.0050086
709.50	0.0051543
710.00	0.0049392
710.50	0.0050164
711.00	0.0049016
711.50	0.0049551
712.00	0.0050131
712.50	0.0048722
713.00	0.0046937
713.50	0.0047371
714.00	0.0046175
714.50	0.0046184
715.00	0.0045653
715.50	0.0045314
716.00	0.0046669
716.50	0.0046119
717.00	0.0045201
717.50	0.0045524
718.00	0.0044735
718.50	0.0044386
719.00	0.0043955
719.50	0.0043422
720.00	0.0043096
720.50	0.0043534
721.00	0.0043223
721.50	0.0044492
722.00	0.0042055
722.50	0.0042210
723.00	0.0039268
723.50	0.0041385
724.00	0.0041105
724.50	0.0039657
725.00	0.0041281
725.50	0.0040680
726.00	0.0040216
726.50	0.0041188
727.00	0.0038121
727.50	0.0041472
728.00	0.0038873
728.50	0.0038256
729.00	0.0039282
729.50	0.0038074
730.00	0.0039052
730.50	0.0037833
731.00	0.0038454
731.50	0.0037963
732.00	0.0038023
732.50	0.0037077
733.00	0.0037622
733.50	0.0037023
734.00	0.0037307
734.50	0.0038342
735.00	0.0036046
735.50	0.0035647
736.00	0.0037916
736.50	0.0036075
