Wavelength (nm)	A07 ems
265.00	0.0088651
266.00	0.013557
267.00	0.014505
268.00	0.011521
269.00	0.010916
270.00	0.014516
271.00	0.011467
272.00	0.014146
273.00	0.015725
274.00	0.017549
275.00	0.029372
276.00	0.046492
277.00	0.078707
278.00	0.13614
279.00	0.20338
280.00	0.29420
281.00	0.38714
282.00	0.43313
283.00	0.49286
284.00	0.52378
285.00	0.57408
286.00	0.63675
287.00	0.69420
288.00	0.74691
289.00	0.79282
290.00	0.85993
291.00	0.89472
292.00	0.95647
293.00	0.97043
294.00	0.99042
295.00	1.0000
296.00	0.97466
297.00	0.92867
298.00	0.87611
299.00	0.82303
300.00	0.78026
301.00	0.74210
302.00	0.69534
303.00	0.66101
304.00	0.60216
305.00	0.57795
306.00	0.52367
307.00	0.49108
308.00	0.44756
309.00	0.41614
310.00	0.38665
311.00	0.35794
312.00	0.32711
313.00	0.29443
314.00	0.27030
315.00	0.24415
316.00	0.21295
317.00	0.20326
318.00	0.18522
319.00	0.15833
320.00	0.14457
321.00	0.13226
322.00	0.12130
323.00	0.10970
324.00	0.098709
325.00	0.091081
326.00	0.085608
327.00	0.076259
328.00	0.067180
329.00	0.058933
330.00	0.052903
331.00	0.049725
332.00	0.047302
333.00	0.041753
334.00	0.037059
335.00	0.033138
336.00	0.028120
337.00	0.026423
338.00	0.023921
339.00	0.020240
340.00	0.017952
341.00	0.017100
342.00	0.013023
343.00	0.013738
344.00	0.011317
345.00	0.0097373
346.00	0.0090013
347.00	0.0074962
348.00	0.0069343
349.00	0.0056555
350.00	0.0043192
