Wavelength (nm)	A26 ems
275.00	0.051621
276.00	0.051203
277.00	0.069820
278.00	0.10043
279.00	0.15541
280.00	0.23586
281.00	0.30264
282.00	0.38384
283.00	0.43230
284.00	0.50432
285.00	0.50874
286.00	0.57899
287.00	0.62443
288.00	0.66091
289.00	0.71805
290.00	0.79727
291.00	0.85895
292.00	0.89078
293.00	0.94601
294.00	0.97606
295.00	1.0000
296.00	0.92114
297.00	0.92129
298.00	0.86428
299.00	0.81949
300.00	0.83632
301.00	0.76809
302.00	0.73241
303.00	0.70099
304.00	0.66677
305.00	0.61417
306.00	0.58658
307.00	0.54723
308.00	0.50084
309.00	0.49170
310.00	0.45528
311.00	0.42152
312.00	0.39569
313.00	0.36989
314.00	0.33570
315.00	0.31360
316.00	0.29435
317.00	0.26339
318.00	0.23767
319.00	0.22146
320.00	0.19791
321.00	0.18820
322.00	0.17418
323.00	0.16762
324.00	0.15407
325.00	0.13882
326.00	0.12843
327.00	0.12089
328.00	0.11426
329.00	0.10545
330.00	0.098048
331.00	0.088731
332.00	0.086454
333.00	0.077524
334.00	0.072953
335.00	0.066922
336.00	0.062497
337.00	0.058065
338.00	0.052799
339.00	0.051876
340.00	0.042537
341.00	0.042064
342.00	0.039297
343.00	0.038115
344.00	0.032715
345.00	0.032722
346.00	0.028909
347.00	0.028629
348.00	0.028144
349.00	0.023818
350.00	0.022971
351.00	0.021696
352.00	0.020301
353.00	0.018656
354.00	0.018334
355.00	0.016687
356.00	0.016893
357.00	0.014033
358.00	0.014300
359.00	0.014207
360.00	0.013252
361.00	0.011532
362.00	0.011860
363.00	0.010989
364.00	0.0094120
365.00	0.0087622
366.00	0.0087778
367.00	0.0085258
368.00	0.0063769
369.00	0.0072884
370.00	0.0064554
371.00	0.0063795
372.00	0.0062568
373.00	0.0062283
374.00	0.0059906
375.00	0.0058703
376.00	0.0053602
377.00	0.0049464
378.00	0.0044456
379.00	0.0044923
380.00	0.0040884
381.00	0.0029154
382.00	0.0030006
383.00	0.0042399
384.00	0.0036550
385.00	0.0031406
386.00	0.0028935
387.00	0.0028012
388.00	0.0027964
389.00	0.0021414
390.00	0.0027217
391.00	0.0035553
392.00	0.0017921
393.00	0.0025370
394.00	0.0019383
395.00	0.0021476
396.00	0.0011341
397.00	0.0020363
398.00	0.0011567
399.00	0.0027367
400.00	0.00051603
