Wavelength (nm)	P06 abs N
300.00	0.090230
300.50	0.091020
301.00	0.091320
301.50	0.092250
302.00	0.093250
302.50	0.094000
303.00	0.094800
303.50	0.096340
304.00	0.096770
304.50	0.097310
305.00	0.098450
305.50	0.098910
306.00	0.10025
306.50	0.10155
307.00	0.10269
307.50	0.10337
308.00	0.10413
308.50	0.10571
309.00	0.10707
309.50	0.10831
310.00	0.10927
310.50	0.10975
311.00	0.11127
311.50	0.11240
312.00	0.11276
312.50	0.11411
313.00	0.11482
313.50	0.11578
314.00	0.11651
314.50	0.11782
315.00	0.11846
315.50	0.11828
316.00	0.11983
316.50	0.12022
317.00	0.12067
317.50	0.12124
318.00	0.12176
318.50	0.12178
319.00	0.12209
319.50	0.12257
320.00	0.12256
320.50	0.12352
321.00	0.12249
321.50	0.12285
322.00	0.12230
322.50	0.12226
323.00	0.12187
323.50	0.12110
324.00	0.12115
324.50	0.12003
325.00	0.11930
325.50	0.11845
326.00	0.11729
326.50	0.11638
327.00	0.11546
327.50	0.11421
328.00	0.11320
328.50	0.11180
329.00	0.11038
329.50	0.10917
330.00	0.10795
330.50	0.10697
331.00	0.10487
331.50	0.10381
332.00	0.10261
332.50	0.10100
333.00	0.10008
333.50	0.098580
334.00	0.097310
334.50	0.095800
335.00	0.094830
335.50	0.093440
336.00	0.092650
336.50	0.090850
337.00	0.090350
337.50	0.089570
338.00	0.088250
338.50	0.087140
339.00	0.086360
339.50	0.085360
340.00	0.084910
340.50	0.083850
341.00	0.082760
341.50	0.082420
342.00	0.081520
342.50	0.080930
343.00	0.080570
343.50	0.079670
344.00	0.079430
344.50	0.078980
345.00	0.078040
345.50	0.078020
346.00	0.077360
346.50	0.077120
347.00	0.076550
347.50	0.076760
348.00	0.076500
348.50	0.075610
349.00	0.075790
349.50	0.074750
350.00	0.075040
350.50	0.075200
351.00	0.075140
351.50	0.074640
352.00	0.074000
352.50	0.074430
353.00	0.074500
353.50	0.073680
354.00	0.073000
354.50	0.074040
355.00	0.073790
355.50	0.073130
356.00	0.072560
356.50	0.072790
357.00	0.072220
357.50	0.071760
358.00	0.071250
358.50	0.070500
359.00	0.069720
359.50	0.069810
360.00	0.069140
360.50	0.068670
361.00	0.068120
361.50	0.067640
362.00	0.066340
362.50	0.066140
363.00	0.065830
363.50	0.064850
364.00	0.063980
364.50	0.063480
365.00	0.062820
365.50	0.062010
366.00	0.061620
366.50	0.060830
367.00	0.060070
367.50	0.059580
368.00	0.059070
368.50	0.058210
369.00	0.057760
369.50	0.056880
370.00	0.056680
370.50	0.056260
371.00	0.055150
371.50	0.055080
372.00	0.054530
372.50	0.053880
373.00	0.053520
373.50	0.052560
374.00	0.052580
374.50	0.051540
375.00	0.051260
375.50	0.051070
376.00	0.049870
376.50	0.049530
377.00	0.049080
377.50	0.048380
378.00	0.047920
378.50	0.047570
379.00	0.046730
379.50	0.045830
380.00	0.045630
380.50	0.044960
381.00	0.044200
381.50	0.043420
382.00	0.042780
382.50	0.041810
383.00	0.040850
383.50	0.040600
384.00	0.039470
384.50	0.038350
385.00	0.037960
385.50	0.036940
386.00	0.036030
386.50	0.035090
387.00	0.034280
387.50	0.033460
388.00	0.032720
388.50	0.032030
389.00	0.031120
389.50	0.029940
390.00	0.029310
390.50	0.028440
391.00	0.027630
391.50	0.026690
392.00	0.026120
392.50	0.025230
393.00	0.024390
393.50	0.024020
394.00	0.023240
394.50	0.022480
395.00	0.022460
395.50	0.021770
396.00	0.021090
396.50	0.021110
397.00	0.020830
397.50	0.020010
398.00	0.019520
398.50	0.019470
399.00	0.019360
399.50	0.019050
400.00	0.018890
400.50	0.018700
401.00	0.018070
401.50	0.018470
402.00	0.018470
402.50	0.018210
403.00	0.018090
403.50	0.018560
404.00	0.018580
404.50	0.018170
405.00	0.018530
405.50	0.018810
406.00	0.018570
406.50	0.019190
407.00	0.019510
407.50	0.019360
408.00	0.019760
408.50	0.020400
409.00	0.020600
409.50	0.020590
410.00	0.021070
410.50	0.021490
411.00	0.021900
411.50	0.022050
412.00	0.022850
412.50	0.023110
413.00	0.023630
413.50	0.024070
414.00	0.024620
414.50	0.024910
415.00	0.025590
415.50	0.026440
416.00	0.026940
416.50	0.027570
417.00	0.028400
417.50	0.028890
418.00	0.029430
418.50	0.030610
419.00	0.031370
419.50	0.032010
420.00	0.033440
420.50	0.034210
421.00	0.035060
421.50	0.036200
422.00	0.037460
422.50	0.038430
423.00	0.039580
423.50	0.041370
424.00	0.042320
424.50	0.043720
425.00	0.045730
425.50	0.046930
426.00	0.048440
426.50	0.050330
427.00	0.052480
427.50	0.053870
428.00	0.055910
428.50	0.058000
429.00	0.060000
429.50	0.062280
430.00	0.064430
430.50	0.066800
431.00	0.069120
431.50	0.071840
432.00	0.074420
432.50	0.076760
433.00	0.079610
433.50	0.082560
434.00	0.085260
434.50	0.087820
435.00	0.090860
435.50	0.094070
436.00	0.096680
436.50	0.099820
437.00	0.10318
437.50	0.10566
438.00	0.10867
438.50	0.11243
439.00	0.11542
439.50	0.11815
440.00	0.12192
440.50	0.12515
441.00	0.12801
441.50	0.13169
442.00	0.13541
442.50	0.13849
443.00	0.14239
443.50	0.14624
444.00	0.15012
444.50	0.15458
445.00	0.15919
445.50	0.16381
446.00	0.16881
446.50	0.17458
447.00	0.18007
447.50	0.18594
448.00	0.19246
448.50	0.19994
449.00	0.20653
449.50	0.21491
450.00	0.22335
450.50	0.23236
451.00	0.24146
451.50	0.25204
452.00	0.26247
452.50	0.27373
453.00	0.28548
453.50	0.29848
454.00	0.31127
454.50	0.32515
455.00	0.33909
455.50	0.35423
456.00	0.36890
456.50	0.38465
457.00	0.39997
457.50	0.41557
458.00	0.43088
458.50	0.44615
459.00	0.46065
459.50	0.47475
460.00	0.48807
460.50	0.50081
461.00	0.51146
461.50	0.52228
462.00	0.53089
462.50	0.53851
463.00	0.54496
463.50	0.55060
464.00	0.55428
464.50	0.55801
465.00	0.56050
465.50	0.56246
466.00	0.56354
466.50	0.56500
467.00	0.56544
467.50	0.56588
468.00	0.56699
468.50	0.56835
469.00	0.56931
469.50	0.57109
470.00	0.57429
470.50	0.57770
471.00	0.58178
471.50	0.58800
472.00	0.59522
472.50	0.60382
473.00	0.61384
473.50	0.62591
474.00	0.63901
474.50	0.65470
475.00	0.67158
475.50	0.69069
476.00	0.71064
476.50	0.73294
477.00	0.75511
477.50	0.77887
478.00	0.80279
478.50	0.82727
479.00	0.85043
479.50	0.87427
480.00	0.89614
480.50	0.91715
481.00	0.93490
481.50	0.95232
482.00	0.96666
