Wavelength (nm)	O05 abs N
550.00	0.013202
551.00	0.012432
552.00	0.011481
553.00	0.010599
554.00	0.0094827
555.00	0.0093655
556.00	0.0088396
557.00	0.0088958
558.00	0.0082105
559.00	0.0074231
560.00	0.0059624
561.00	0.0058806
562.00	0.0053218
563.00	0.0055478
564.00	0.0052500
565.00	0.0047683
566.00	0.0039408
567.00	0.0040022
568.00	0.0036710
569.00	0.0036741
570.00	0.0033409
571.00	0.0030649
572.00	0.0025868
573.00	0.0023311
574.00	0.0022785
575.00	0.0023259
576.00	0.0020410
577.00	0.0019468
578.00	0.0017010
579.00	0.0016828
580.00	0.0014005
581.00	0.0014338
582.00	0.0014578
583.00	0.0015135
584.00	0.0011115
585.00	0.0011266
586.00	0.0010355
587.00	0.00096932
588.00	0.0010053
589.00	0.0011323
590.00	0.00086725
591.00	0.00058761
592.00	0.00055740
593.00	0.00077300
594.00	0.00089537
595.00	0.00081205
596.00	0.00084538
597.00	0.00047720
598.00	0.00055324
599.00	0.00034285
600.00	0.00064020
