Wavelength (nm)	H04 ems
350.00	0.015450
351.00	0.015079
352.00	0.015337
353.00	0.014282
354.00	0.015368
355.00	0.015331
356.00	0.015846
357.00	0.014175
358.00	0.013899
359.00	0.013504
360.00	0.016521
361.00	0.016754
362.00	0.018824
363.00	0.019941
364.00	0.021882
365.00	0.025834
366.00	0.028923
367.00	0.035570
368.00	0.040032
369.00	0.047304
370.00	0.051903
371.00	0.064842
372.00	0.079021
373.00	0.097342
374.00	0.11659
375.00	0.13099
376.00	0.14084
377.00	0.15213
378.00	0.17158
379.00	0.18858
380.00	0.21253
381.00	0.23805
382.00	0.26006
383.00	0.28578
384.00	0.31209
385.00	0.33503
386.00	0.37190
387.00	0.39689
388.00	0.42495
389.00	0.45463
390.00	0.48539
391.00	0.51551
392.00	0.53714
393.00	0.57350
394.00	0.59978
395.00	0.63378
396.00	0.66026
397.00	0.68221
398.00	0.70389
399.00	0.73904
400.00	0.75637
401.00	0.77477
402.00	0.82080
403.00	0.83628
404.00	0.84513
405.00	0.87439
406.00	0.88432
407.00	0.90072
408.00	0.92153
409.00	0.93193
410.00	0.94465
411.00	0.95964
412.00	0.96359
413.00	0.97471
414.00	0.98270
415.00	0.98142
416.00	0.99320
417.00	0.98823
418.00	0.99148
419.00	0.99724
420.00	1.0000
421.00	0.99501
422.00	0.98356
423.00	0.97867
424.00	0.97770
425.00	0.96357
426.00	0.96114
427.00	0.96253
428.00	0.94574
429.00	0.94341
430.00	0.92796
431.00	0.92550
432.00	0.91931
433.00	0.90412
434.00	0.89250
435.00	0.87551
436.00	0.86846
437.00	0.85109
438.00	0.83713
439.00	0.83132
440.00	0.81343
441.00	0.79888
442.00	0.78486
443.00	0.77781
444.00	0.76105
445.00	0.74638
446.00	0.73986
447.00	0.72249
448.00	0.71490
449.00	0.70695
450.00	0.70088
451.00	0.67818
452.00	0.67576
453.00	0.66503
454.00	0.65585
455.00	0.64890
456.00	0.64611
457.00	0.63633
458.00	0.63487
459.00	0.62590
460.00	0.62672
461.00	0.61839
462.00	0.62417
463.00	0.61746
464.00	0.61673
465.00	0.62107
466.00	0.61475
467.00	0.62499
468.00	0.62977
469.00	0.62802
470.00	0.62655
471.00	0.63536
472.00	0.64570
473.00	0.64845
474.00	0.65136
475.00	0.65548
476.00	0.66549
477.00	0.66967
478.00	0.67424
479.00	0.68762
480.00	0.69305
481.00	0.70489
482.00	0.72197
483.00	0.73265
484.00	0.74081
485.00	0.74472
486.00	0.74544
487.00	0.74593
488.00	0.74493
489.00	0.74852
490.00	0.75512
491.00	0.75351
492.00	0.76189
493.00	0.76923
494.00	0.76765
495.00	0.77041
496.00	0.76996
497.00	0.76823
498.00	0.77477
499.00	0.76932
500.00	0.77289
501.00	0.77136
502.00	0.76470
503.00	0.76542
504.00	0.75627
505.00	0.75301
506.00	0.75073
507.00	0.74328
508.00	0.74096
509.00	0.74029
510.00	0.73570
511.00	0.72736
512.00	0.72084
513.00	0.71616
514.00	0.70897
515.00	0.71032
516.00	0.70281
517.00	0.69978
518.00	0.70031
519.00	0.69677
520.00	0.69504
521.00	0.68548
522.00	0.68814
523.00	0.68426
524.00	0.68308
525.00	0.68150
526.00	0.69314
527.00	0.67162
528.00	0.67167
529.00	0.66816
530.00	0.67441
531.00	0.66652
532.00	0.66036
533.00	0.65352
534.00	0.64936
535.00	0.64252
536.00	0.64029
537.00	0.62743
538.00	0.62598
539.00	0.61339
540.00	0.61175
541.00	0.60121
542.00	0.60113
