Wavelength (nm)	R02 abs N
300.00	0.10611
301.00	0.10610
302.00	0.10573
303.00	0.10519
304.00	0.10467
305.00	0.10380
306.00	0.10271
307.00	0.10147
308.00	0.099906
309.00	0.098508
310.00	0.097087
311.00	0.095659
312.00	0.094212
313.00	0.092772
314.00	0.091601
315.00	0.090467
316.00	0.089307
317.00	0.088454
318.00	0.087695
319.00	0.087037
320.00	0.086389
321.00	0.085820
322.00	0.085293
323.00	0.084893
324.00	0.084490
325.00	0.084351
326.00	0.084153
327.00	0.084020
328.00	0.083875
329.00	0.083872
330.00	0.084010
331.00	0.083920
332.00	0.083950
333.00	0.083844
334.00	0.083645
335.00	0.083658
336.00	0.083586
337.00	0.083376
338.00	0.083313
339.00	0.083208
340.00	0.082986
341.00	0.082906
342.00	0.082853
343.00	0.082737
344.00	0.082625
345.00	0.082927
346.00	0.083154
347.00	0.083629
348.00	0.084029
349.00	0.084462
350.00	0.084729
351.00	0.085223
352.00	0.085991
353.00	0.086283
354.00	0.086503
355.00	0.086936
356.00	0.087325
357.00	0.087968
358.00	0.088573
359.00	0.088085
360.00	0.088455
361.00	0.089777
362.00	0.091305
363.00	0.092658
364.00	0.094482
365.00	0.095001
366.00	0.096265
367.00	0.10177
368.00	0.11017
369.00	0.11978
370.00	0.12697
371.00	0.13265
372.00	0.13909
373.00	0.14704
374.00	0.15684
375.00	0.16749
376.00	0.17870
377.00	0.19150
378.00	0.20361
379.00	0.21640
380.00	0.22863
381.00	0.24228
382.00	0.25577
383.00	0.26983
384.00	0.28402
385.00	0.29878
386.00	0.31313
387.00	0.32905
388.00	0.34607
389.00	0.36360
390.00	0.38325
391.00	0.40583
392.00	0.43125
393.00	0.45784
394.00	0.48810
395.00	0.52339
396.00	0.56267
397.00	0.60608
398.00	0.65403
399.00	0.69847
400.00	0.74585
401.00	0.79628
402.00	0.84508
403.00	0.88975
404.00	0.93155
405.00	0.96421
406.00	0.98531
407.00	0.99579
408.00	1.00000
409.00	0.99621
410.00	0.98431
411.00	0.97061
412.00	0.95350
413.00	0.93609
414.00	0.92030
415.00	0.90729
416.00	0.89479
417.00	0.88450
418.00	0.87709
419.00	0.86946
420.00	0.85903
421.00	0.84426
422.00	0.82558
423.00	0.80079
424.00	0.76764
425.00	0.72870
426.00	0.68622
427.00	0.63616
428.00	0.58509
429.00	0.53006
430.00	0.47611
431.00	0.42840
432.00	0.38090
433.00	0.32899
434.00	0.28301
435.00	0.24434
436.00	0.20696
437.00	0.17456
438.00	0.14626
439.00	0.12137
440.00	0.10051
441.00	0.081464
442.00	0.066974
443.00	0.055510
444.00	0.045048
445.00	0.036882
446.00	0.029958
447.00	0.024809
448.00	0.020539
449.00	0.016753
450.00	0.014367
451.00	0.012287
452.00	0.010875
453.00	0.0096877
454.00	0.0089307
455.00	0.0079226
456.00	0.0075072
457.00	0.0074404
458.00	0.0071177
459.00	0.0073368
460.00	0.0074972
461.00	0.0072482
462.00	0.0076108
463.00	0.0077233
464.00	0.0072063
465.00	0.0075789
466.00	0.0077941
467.00	0.0090980
468.00	0.0089954
469.00	0.0089735
470.00	0.0092614
471.00	0.0094736
472.00	0.0099487
473.00	0.010545
474.00	0.011227
475.00	0.011740
476.00	0.012427
477.00	0.013705
478.00	0.014339
479.00	0.015140
480.00	0.015730
481.00	0.016745
482.00	0.017501
483.00	0.018578
484.00	0.018965
485.00	0.019862
486.00	0.021969
487.00	0.024870
488.00	0.025317
489.00	0.023658
490.00	0.023062
491.00	0.023367
492.00	0.023745
493.00	0.024086
494.00	0.025086
495.00	0.025282
496.00	0.025504
497.00	0.026142
498.00	0.027122
499.00	0.027312
500.00	0.027860
501.00	0.028633
502.00	0.029274
503.00	0.030648
504.00	0.031796
505.00	0.032878
506.00	0.034107
507.00	0.035061
508.00	0.036539
509.00	0.037780
510.00	0.039279
511.00	0.040344
512.00	0.041345
513.00	0.042759
514.00	0.044030
515.00	0.044987
516.00	0.045942
517.00	0.046901
518.00	0.048095
519.00	0.048888
520.00	0.050063
521.00	0.050994
522.00	0.051707
523.00	0.052696
524.00	0.053908
525.00	0.054827
526.00	0.055315
527.00	0.055985
528.00	0.057221
529.00	0.058008
530.00	0.058884
531.00	0.059892
532.00	0.060431
533.00	0.061840
534.00	0.063422
535.00	0.065251
536.00	0.066990
537.00	0.069098
538.00	0.071789
539.00	0.074954
540.00	0.078786
541.00	0.082799
542.00	0.087474
543.00	0.092708
544.00	0.097722
545.00	0.10330
546.00	0.10921
547.00	0.11458
548.00	0.11974
549.00	0.12553
550.00	0.13027
551.00	0.13440
552.00	0.13858
553.00	0.14209
554.00	0.14543
555.00	0.14851
556.00	0.15057
557.00	0.15326
558.00	0.15498
559.00	0.15722
560.00	0.15786
561.00	0.15891
562.00	0.15937
563.00	0.15926
564.00	0.15838
565.00	0.15695
566.00	0.15457
567.00	0.15164
568.00	0.14832
569.00	0.14452
570.00	0.14019
571.00	0.13574
572.00	0.13041
573.00	0.12553
574.00	0.11885
575.00	0.11372
576.00	0.10834
577.00	0.10222
578.00	0.095517
579.00	0.092138
580.00	0.085676
581.00	0.080728
582.00	0.075074
583.00	0.073937
584.00	0.068903
585.00	0.063496
586.00	0.061961
587.00	0.059538
588.00	0.056775
589.00	0.055889
590.00	0.054126
591.00	0.053799
592.00	0.053878
593.00	0.054457
594.00	0.056797
595.00	0.059761
596.00	0.061933
597.00	0.065643
598.00	0.069614
599.00	0.072908
600.00	0.077126
601.00	0.080295
602.00	0.082735
603.00	0.084186
604.00	0.084454
605.00	0.084734
606.00	0.083150
607.00	0.081066
608.00	0.078111
609.00	0.074553
610.00	0.070221
611.00	0.066256
612.00	0.061502
613.00	0.057224
614.00	0.052743
615.00	0.048364
616.00	0.044246
617.00	0.040260
618.00	0.036518
619.00	0.033506
620.00	0.030542
621.00	0.028648
622.00	0.027090
623.00	0.025525
624.00	0.024472
625.00	0.023638
626.00	0.022280
627.00	0.021104
628.00	0.019892
629.00	0.019335
630.00	0.019218
631.00	0.019276
632.00	0.018967
633.00	0.018365
634.00	0.017795
635.00	0.016740
636.00	0.015916
637.00	0.014411
638.00	0.012981
639.00	0.011754
640.00	0.011156
641.00	0.010244
642.00	0.0094347
643.00	0.0085850
644.00	0.0080740
645.00	0.0074932
646.00	0.0069055
647.00	0.0057938
648.00	0.0053834
649.00	0.0049032
650.00	0.0044052
651.00	0.0039280
652.00	0.0038194
653.00	0.0033004
654.00	0.0023304
655.00	0.0022825
656.00	0.0022202
657.00	0.0021787
658.00	0.0021370
659.00	0.0020381
660.00	0.0019915
661.00	0.0018829
662.00	0.0018042
663.00	0.0015930
664.00	0.0012922
665.00	0.0011697
666.00	0.0013709
667.00	0.00098737
668.00	0.0010920
669.00	0.0010043
670.00	0.0011049
671.00	0.0011527
672.00	0.0012454
673.00	0.00097043
674.00	0.0010123
675.00	0.00094453
676.00	0.00088676
677.00	0.00084392
678.00	0.0011707
679.00	0.00084691
680.00	0.00098836
681.00	0.00082898
682.00	0.00063075
683.00	0.00070247
684.00	0.00097641
685.00	0.0010591
686.00	0.00087779
687.00	0.00077320
688.00	0.00084990
689.00	0.00082201
690.00	0.00087480
691.00	0.00094354
692.00	0.00085289
693.00	0.00089971
694.00	0.00092162
695.00	0.0011039
696.00	0.0010402
697.00	0.0013709
698.00	0.0013669
699.00	0.0011089
700.00	0.0011557
701.00	0.0011458
702.00	0.0012424
703.00	0.0012324
704.00	0.0012095
705.00	0.0011687
706.00	0.0011567
707.00	0.0014446
708.00	0.0011657
709.00	0.00097840
710.00	0.00098737
711.00	0.0010362
712.00	0.00089174
713.00	0.0010342
714.00	0.00097741
715.00	0.00093158
716.00	0.00070147
717.00	0.00066561
718.00	0.00098637
719.00	0.00089074
720.00	0.00071143
721.00	0.00056400
722.00	0.00066362
723.00	0.00076323
724.00	0.00086285
725.00	0.00086086
726.00	0.00099434
727.00	0.00077320
728.00	0.0010272
729.00	0.0012812
730.00	0.0012175
731.00	0.0014117
732.00	0.0011667
