Wavelength (nm)	F05 abs N
321.75	0.0032121
322.00	-0.00057559
322.25	-0.0031626
322.50	-0.00094693
322.75	-0.00021662
323.00	0.00054464
323.25	0.0020548
323.50	0.0023271
323.75	0.00037135
324.00	-0.0012997
324.25	0.00089123
324.50	-0.0012007
324.75	0.0031936
325.00	-0.0034907
325.25	0.0025252
325.50	-0.00092837
325.75	-0.0020053
326.00	-0.00025375
326.25	0.00092218
326.50	0.0037692
326.75	0.00027232
327.00	0.0021662
327.25	0.0038991
327.50	0.0021600
327.75	-0.0025623
328.00	0.0011326
328.25	0.00075507
328.50	0.0062696
328.75	0.0021786
329.00	0.0016463
329.25	0.0011759
329.50	-0.0024138
329.75	-0.00019186
330.00	-0.00064986
330.25	-0.00029089
330.50	-0.0019186
330.75	0.00042705
331.00	-0.0020238
331.25	0.0035897
331.50	-0.0010460
331.75	0.00081696
332.00	-0.0015782
332.25	-0.00011759
332.50	0.0013430
332.75	0.0011326
333.00	-0.0010707
333.25	0.0018691
333.50	-0.0018010
333.75	-0.00038991
334.00	0.0022962
334.25	-0.0014173
334.50	0.0023952
334.75	0.0018815
335.00	-0.00059415
335.25	0.00035897
335.50	-0.00034659
335.75	0.0028903
336.00	-0.0010893
336.25	-0.0016834
336.50	-0.0010088
336.75	0.00048275
337.00	0.0011079
337.25	0.00058797
337.50	-0.0011017
337.75	0.0012626
338.00	0.0011264
338.25	-0.00099645
338.50	-0.00030946
338.75	-0.0019619
339.00	-0.00077364
339.25	-0.0010521
339.50	-0.0011388
339.75	-0.0016711
340.00	0.00065605
340.25	0.00075507
340.50	-0.00066223
340.75	-0.0016277
341.00	-0.00060653
341.25	0.00057559
341.50	-3.0946e-05
341.75	-0.0022962
342.00	-0.0015844
342.25	-0.0028160
342.50	-0.00049513
342.75	0.0010831
343.00	0.00042705
343.25	-0.00032802
343.50	-0.00060653
343.75	-0.00051988
344.00	-0.0035525
344.25	0.00078602
344.50	0.0021414
344.75	0.00043324
345.00	0.00039610
345.25	0.00075507
345.50	0.00020424
345.75	-0.00050751
346.00	-0.0021229
346.25	3.7135e-05
346.50	0.00044562
346.75	-0.00038372
347.00	0.0019062
347.25	-0.00095931
347.50	0.00052607
347.75	-0.0010088
348.00	0.00029708
348.25	-6.1891e-05
348.50	-0.00073650
348.75	-6.1891e-05
349.00	-0.0011450
349.25	-0.0024633
349.50	-0.00055702
349.75	0.0011017
350.00	0.0011759
