Wavelength (nm)	G24 ems
310.00	0.62635
311.00	0.67897
312.00	0.68650
313.00	0.71194
314.00	0.69778
315.00	0.67194
316.00	0.67959
317.00	0.68389
318.00	0.69464
319.00	0.67339
320.00	0.65964
321.00	0.68367
322.00	0.71793
323.00	0.74617
324.00	0.76386
325.00	0.80004
326.00	0.83607
327.00	0.88349
328.00	0.89176
329.00	0.92157
330.00	0.92620
331.00	0.95572
332.00	0.97599
333.00	1.00000
334.00	0.99317
335.00	0.94755
336.00	0.93891
337.00	0.92038
338.00	0.91469
339.00	0.91292
340.00	0.91462
341.00	0.93027
342.00	0.93210
343.00	0.96174
344.00	0.97837
345.00	0.98747
346.00	0.98610
347.00	0.99333
348.00	0.97944
349.00	0.96681
350.00	0.95230
351.00	0.95366
352.00	0.96065
353.00	0.96400
354.00	0.95190
355.00	0.95482
356.00	0.96665
357.00	0.95426
358.00	0.93681
359.00	0.94226
360.00	0.90739
361.00	0.89545
362.00	0.88319
363.00	0.86773
364.00	0.84317
365.00	0.84612
366.00	0.80314
367.00	0.78344
368.00	0.77038
369.00	0.74540
370.00	0.74372
371.00	0.72224
372.00	0.70688
373.00	0.68770
374.00	0.67661
375.00	0.66743
376.00	0.64901
377.00	0.62352
378.00	0.61245
379.00	0.59905
380.00	0.56954
381.00	0.55550
382.00	0.53241
383.00	0.51563
384.00	0.50122
385.00	0.48035
386.00	0.46072
387.00	0.45380
388.00	0.43911
389.00	0.42293
390.00	0.42246
391.00	0.41243
392.00	0.40683
393.00	0.39681
394.00	0.38905
395.00	0.38519
396.00	0.37186
397.00	0.36137
398.00	0.34984
399.00	0.34428
400.00	0.33971
401.00	0.32866
402.00	0.30799
403.00	0.30352
404.00	0.29454
405.00	0.28749
406.00	0.27788
407.00	0.26859
408.00	0.26374
409.00	0.25152
410.00	0.24433
411.00	0.23921
412.00	0.23137
413.00	0.22151
414.00	0.21317
415.00	0.20172
416.00	0.20528
417.00	0.19943
418.00	0.19159
419.00	0.18934
420.00	0.17811
421.00	0.17987
422.00	0.17108
423.00	0.16297
424.00	0.15965
425.00	0.15595
426.00	0.14585
427.00	0.13978
428.00	0.13553
429.00	0.12936
430.00	0.12661
431.00	0.12062
432.00	0.12335
433.00	0.11608
434.00	0.11213
435.00	0.10717
436.00	0.099939
437.00	0.10022
438.00	0.095040
439.00	0.091360
440.00	0.088512
441.00	0.082822
442.00	0.082254
443.00	0.077443
444.00	0.075404
445.00	0.073527
446.00	0.069771
447.00	0.067248
448.00	0.063387
449.00	0.063286
450.00	0.056034
451.00	0.056552
452.00	0.055892
453.00	0.053036
454.00	0.050399
455.00	0.049500
456.00	0.048465
457.00	0.043896
458.00	0.042686
459.00	0.041659
460.00	0.039753
461.00	0.037448
462.00	0.037915
463.00	0.033773
464.00	0.033856
465.00	0.033259
466.00	0.032025
467.00	0.027828
468.00	0.025904
469.00	0.029128
470.00	0.024896
471.00	0.025388
472.00	0.023176
473.00	0.021526
474.00	0.021150
475.00	0.020041
476.00	0.018128
477.00	0.016994
478.00	0.016950
479.00	0.016327
480.00	0.016377
481.00	0.013951
482.00	0.012821
483.00	0.013314
484.00	0.013414
485.00	0.011222
486.00	0.012335
487.00	0.0099976
488.00	0.0088417
489.00	0.010865
490.00	0.0074826
491.00	0.0081508
492.00	0.0055547
493.00	0.0048202
494.00	0.0060789
495.00	0.0039033
496.00	0.0050873
497.00	0.0038255
498.00	0.0042606
499.00	0.0032343
500.00	0.0013664
