Wavelength (nm)	L-1, 2465-27-2, Auramine O.ems
550.00	0.59092
550.50	0.59433
551.00	0.58966
551.50	0.57865
552.00	0.57483
552.50	0.57176
553.00	0.56143
553.50	0.56321
554.00	0.55121
554.50	0.54791
555.00	0.54363
555.50	0.53383
556.00	0.53196
556.50	0.53811
557.00	0.52455
557.50	0.52631
558.00	0.51402
558.50	0.51889
559.00	0.51043
559.50	0.49890
560.00	0.50126
560.50	0.49641
561.00	0.49313
561.50	0.49056
562.00	0.48304
562.50	0.47827
563.00	0.47153
563.50	0.45987
564.00	0.46742
564.50	0.45410
565.00	0.45939
565.50	0.44987
566.00	0.44656
566.50	0.45181
567.00	0.43858
567.50	0.43838
568.00	0.42988
568.50	0.43073
569.00	0.42764
569.50	0.41559
570.00	0.41638
570.50	0.40744
571.00	0.40328
571.50	0.40338
572.00	0.40116
572.50	0.39342
573.00	0.39314
573.50	0.39134
574.00	0.38554
574.50	0.38429
575.00	0.37963
575.50	0.37084
576.00	0.37451
576.50	0.36310
577.00	0.36333
577.50	0.35804
578.00	0.36058
578.50	0.35590
579.00	0.34677
579.50	0.33908
580.00	0.34059
580.50	0.33484
581.00	0.33373
581.50	0.33566
582.00	0.32861
582.50	0.32391
583.00	0.32493
583.50	0.31513
584.00	0.31718
584.50	0.31073
585.00	0.30635
585.50	0.30891
586.00	0.30499
586.50	0.29279
587.00	0.29567
587.50	0.28814
588.00	0.29277
588.50	0.29140
589.00	0.28586
589.50	0.28362
590.00	0.27930
590.50	0.27120
591.00	0.27621
591.50	0.27558
592.00	0.26913
592.50	0.27141
593.00	0.27027
593.50	0.26368
594.00	0.26452
594.50	0.26214
595.00	0.25935
595.50	0.25270
596.00	0.24959
596.50	0.25074
597.00	0.24316
597.50	0.24617
598.00	0.24187
598.50	0.23413
599.00	0.23362
599.50	0.23246
600.00	0.23156
600.50	0.23306
601.00	0.22736
601.50	0.21827
602.00	0.21572
602.50	0.21965
603.00	0.21631
603.50	0.21268
604.00	0.21162
604.50	0.20597
605.00	0.21184
605.50	0.19996
606.00	0.20843
606.50	0.20642
607.00	0.20066
607.50	0.19900
608.00	0.19688
608.50	0.19824
609.00	0.18875
609.50	0.18509
610.00	0.18585
610.50	0.17989
611.00	0.18213
611.50	0.17656
612.00	0.18088
612.50	0.17709
613.00	0.17546
613.50	0.17005
614.00	0.17034
614.50	0.17403
615.00	0.17042
615.50	0.16528
616.00	0.17018
616.50	0.16795
617.00	0.16295
617.50	0.15696
618.00	0.15662
618.50	0.15924
619.00	0.15255
619.50	0.15273
620.00	0.15768
620.50	0.14670
621.00	0.15925
621.50	0.14929
622.00	0.15074
622.50	0.14534
623.00	0.13729
623.50	0.13931
624.00	0.14197
624.50	0.13554
625.00	0.14431
625.50	0.13604
626.00	0.13391
626.50	0.13278
627.00	0.12783
627.50	0.12788
628.00	0.12363
628.50	0.12631
629.00	0.12540
629.50	0.12164
630.00	0.12455
630.50	0.11871
631.00	0.12023
631.50	0.12233
632.00	0.11602
632.50	0.11857
633.00	0.11221
633.50	0.12445
634.00	0.12065
634.50	0.11149
635.00	0.10967
635.50	0.10981
636.00	0.10603
636.50	0.10931
637.00	0.10353
637.50	0.10107
638.00	0.098769
638.50	0.10107
639.00	0.10308
639.50	0.094785
640.00	0.089794
640.50	0.10200
641.00	0.094880
641.50	0.096028
642.00	0.094838
642.50	0.094843
643.00	0.091463
643.50	0.096506
644.00	0.085964
644.50	0.088113
645.00	0.090923
645.50	0.092576
646.00	0.089601
646.50	0.088170
647.00	0.083496
647.50	0.082284
648.00	0.078733
648.50	0.080950
649.00	0.081373
649.50	0.076418
650.00	0.077493
650.50	0.082400
651.00	0.075352
651.50	0.073162
652.00	0.079136
652.50	0.077624
