Wavelength (nm)	E22 abs N
308.25	0.20940
308.50	0.21063
308.75	0.21329
309.00	0.21853
309.25	0.22056
309.50	0.22478
309.75	0.22733
310.00	0.22269
310.25	0.22397
310.50	0.22170
310.75	0.22579
311.00	0.23414
311.25	0.23679
311.50	0.24483
311.75	0.24185
312.00	0.24527
312.25	0.24754
312.50	0.24990
312.75	0.25143
313.00	0.25630
313.25	0.26093
313.50	0.26937
313.75	0.26895
314.00	0.26715
314.25	0.26947
314.50	0.28039
314.75	0.28126
315.00	0.28627
315.25	0.28880
315.50	0.28807
315.75	0.29718
316.00	0.29873
316.25	0.30005
316.50	0.30048
316.75	0.30607
317.00	0.30794
317.25	0.31115
317.50	0.31400
317.75	0.32019
318.00	0.31086
318.25	0.32049
318.50	0.32593
318.75	0.32671
319.00	0.32902
319.25	0.33117
319.50	0.33667
319.75	0.33834
320.00	0.34270
320.25	0.34452
320.50	0.34302
320.75	0.34490
321.00	0.34407
321.25	0.35338
321.50	0.34817
321.75	0.35166
322.00	0.35594
322.25	0.36088
322.50	0.35644
322.75	0.36107
323.00	0.36206
323.25	0.36317
323.50	0.36214
323.75	0.37383
324.00	0.36231
324.25	0.37231
324.50	0.37465
324.75	0.37139
325.00	0.37307
325.25	0.37604
325.50	0.37125
325.75	0.37899
326.00	0.38012
326.25	0.38244
326.50	0.37860
326.75	0.37930
327.00	0.38258
327.25	0.38023
327.50	0.38063
327.75	0.38511
328.00	0.38850
328.25	0.38789
328.50	0.38955
328.75	0.38089
329.00	0.38218
329.25	0.38803
329.50	0.38272
329.75	0.38071
330.00	0.38449
330.25	0.38089
330.50	0.37759
330.75	0.38229
331.00	0.37879
331.25	0.38308
331.50	0.37624
331.75	0.37560
332.00	0.37690
332.25	0.37972
332.50	0.37476
332.75	0.37431
333.00	0.36859
333.25	0.36829
333.50	0.36918
333.75	0.36472
334.00	0.36258
334.25	0.36202
334.50	0.35702
334.75	0.36011
335.00	0.36342
335.25	0.35218
335.50	0.34972
335.75	0.34962
336.00	0.33937
336.25	0.34589
336.50	0.33999
336.75	0.33717
337.00	0.33627
337.25	0.33545
337.50	0.33208
337.75	0.32715
338.00	0.32393
338.25	0.32056
338.50	0.31413
338.75	0.31649
339.00	0.31030
339.25	0.30851
339.50	0.30470
339.75	0.30120
340.00	0.29644
340.25	0.29266
340.50	0.28566
340.75	0.28342
341.00	0.28381
341.25	0.27716
341.50	0.27273
341.75	0.27256
342.00	0.26843
342.25	0.26197
342.50	0.25760
342.75	0.25425
343.00	0.25424
343.25	0.25153
343.50	0.24890
343.75	0.24189
344.00	0.23643
344.25	0.23468
344.50	0.23257
344.75	0.22483
345.00	0.22102
345.25	0.22235
345.50	0.21633
345.75	0.21465
346.00	0.20755
346.25	0.20593
346.50	0.20456
346.75	0.19950
347.00	0.19865
347.25	0.19230
347.50	0.19307
347.75	0.18377
348.00	0.18272
348.25	0.17976
348.50	0.17456
348.75	0.17375
349.00	0.17189
349.25	0.16604
349.50	0.16153
349.75	0.15892
350.00	0.15582
350.25	0.15321
350.50	0.15022
350.75	0.14729
351.00	0.14513
351.25	0.13960
351.50	0.13980
351.75	0.13352
352.00	0.13310
352.25	0.13383
352.50	0.12919
352.75	0.12536
353.00	0.12341
353.25	0.12061
353.50	0.11776
353.75	0.11611
354.00	0.11364
354.25	0.10889
354.50	0.10587
354.75	0.10431
355.00	0.10447
355.25	0.099748
355.50	0.096429
355.75	0.097787
356.00	0.093174
356.25	0.093188
356.50	0.088547
356.75	0.088156
357.00	0.087673
357.25	0.086835
357.50	0.084354
357.75	0.079756
358.00	0.079507
358.25	0.078981
358.50	0.076266
358.75	0.073736
359.00	0.073509
359.25	0.070190
359.50	0.070076
359.75	0.068491
360.00	0.067290
360.25	0.066231
360.50	0.067183
360.75	0.064867
361.00	0.059337
361.25	0.059408
361.50	0.062848
361.75	0.059778
362.00	0.057923
362.25	0.056864
362.50	0.053907
362.75	0.055023
363.00	0.056352
363.25	0.053758
363.50	0.051853
363.75	0.053403
364.00	0.050197
364.25	0.051221
364.50	0.049885
364.75	0.051235
365.00	0.049430
365.25	0.048641
365.50	0.048222
365.75	0.046374
366.00	0.047781
366.25	0.046061
366.50	0.046189
366.75	0.045386
367.00	0.044704
367.25	0.045066
367.50	0.043652
367.75	0.043808
368.00	0.043474
368.25	0.041783
368.50	0.043254
368.75	0.042927
369.00	0.041790
369.25	0.040987
369.50	0.040290
369.75	0.041683
370.00	0.039963
370.25	0.043005
370.50	0.039459
370.75	0.043119
371.00	0.043581
371.25	0.043538
371.50	0.040916
371.75	0.041051
372.00	0.040837
372.25	0.042088
372.50	0.040063
372.75	0.039558
373.00	0.041612
373.25	0.041861
373.50	0.042216
373.75	0.041790
374.00	0.041825
374.25	0.042081
374.50	0.041989
374.75	0.044945
375.00	0.041882
375.25	0.043595
375.50	0.044910
375.75	0.044384
376.00	0.046026
376.25	0.046239
376.50	0.046360
376.75	0.047682
377.00	0.046381
377.25	0.046615
377.50	0.047703
377.75	0.051264
378.00	0.049032
378.25	0.050411
378.50	0.046594
378.75	0.049458
379.00	0.050489
379.25	0.052237
379.50	0.051882
379.75	0.053886
380.00	0.056636
380.25	0.053666
380.50	0.057354
380.75	0.054981
381.00	0.057923
381.25	0.059387
381.50	0.058513
381.75	0.060602
382.00	0.058705
382.25	0.060538
382.50	0.062130
382.75	0.062585
383.00	0.062884
383.25	0.064483
383.50	0.065883
383.75	0.067830
384.00	0.066558
384.25	0.068221
384.50	0.068740
384.75	0.071355
385.00	0.071696
385.25	0.071199
385.50	0.074127
385.75	0.073765
386.00	0.076323
386.25	0.076359
386.50	0.078732
386.75	0.078690
387.00	0.080339
387.25	0.081511
387.50	0.082535
387.75	0.082862
388.00	0.088604
388.25	0.085783
388.50	0.086095
388.75	0.090345
389.00	0.090459
389.25	0.090964
389.50	0.093039
389.75	0.095541
390.00	0.096180
390.25	0.098718
390.50	0.094759
390.75	0.10001
391.00	0.10314
391.25	0.10246
391.50	0.10524
391.75	0.10747
392.00	0.10587
392.25	0.10864
392.50	0.10921
392.75	0.11025
393.00	0.11339
393.25	0.11536
393.50	0.11622
393.75	0.11834
394.00	0.12034
394.25	0.12290
394.50	0.12506
394.75	0.12464
395.00	0.12704
395.25	0.12983
395.50	0.13241
395.75	0.13360
396.00	0.13774
396.25	0.13925
396.50	0.13980
396.75	0.14132
397.00	0.14355
397.25	0.14667
397.50	0.14997
397.75	0.14879
398.00	0.15127
398.25	0.15528
398.50	0.15555
398.75	0.15427
399.00	0.15967
399.25	0.16171
399.50	0.16527
399.75	0.16772
400.00	0.16754
400.25	0.17132
400.50	0.17261
400.75	0.17362
401.00	0.17780
401.25	0.17923
401.50	0.18229
401.75	0.18383
402.00	0.18474
402.25	0.18700
402.50	0.19144
402.75	0.19394
403.00	0.19605
403.25	0.19754
403.50	0.20145
403.75	0.20497
404.00	0.20554
404.25	0.20958
404.50	0.21033
404.75	0.21321
405.00	0.21414
405.25	0.21855
405.50	0.22214
405.75	0.22327
406.00	0.22962
406.25	0.23108
406.50	0.23010
406.75	0.23663
407.00	0.23827
407.25	0.24156
407.50	0.24574
407.75	0.24821
408.00	0.25006
408.25	0.25234
408.50	0.25517
408.75	0.25907
409.00	0.26183
409.25	0.26283
409.50	0.26730
409.75	0.27364
410.00	0.27507
410.25	0.27821
410.50	0.28207
410.75	0.28376
411.00	0.28640
411.25	0.29035
411.50	0.29752
411.75	0.29809
412.00	0.30138
412.25	0.30651
412.50	0.31001
412.75	0.31333
413.00	0.31560
413.25	0.31941
413.50	0.32163
413.75	0.32814
414.00	0.33194
414.25	0.33707
414.50	0.33482
414.75	0.33717
415.00	0.34035
415.25	0.34523
415.50	0.34749
415.75	0.35236
416.00	0.35860
416.25	0.36071
416.50	0.36569
416.75	0.36862
417.00	0.37425
417.25	0.37724
417.50	0.37951
417.75	0.38636
418.00	0.39044
418.25	0.39393
418.50	0.39814
418.75	0.40117
419.00	0.40651
419.25	0.40849
419.50	0.41603
419.75	0.41890
420.00	0.42440
420.25	0.43024
420.50	0.43336
420.75	0.44043
421.00	0.44167
421.25	0.44684
421.50	0.45299
421.75	0.45483
422.00	0.45827
422.25	0.46567
422.50	0.47090
422.75	0.47505
423.00	0.47905
423.25	0.48357
423.50	0.48902
423.75	0.49064
424.00	0.49691
424.25	0.50468
424.50	0.50629
424.75	0.50956
425.00	0.51569
425.25	0.51665
425.50	0.52276
425.75	0.52924
426.00	0.53526
426.25	0.53776
426.50	0.54241
426.75	0.54751
427.00	0.55054
427.25	0.55683
427.50	0.55970
427.75	0.56393
428.00	0.56887
428.25	0.57497
428.50	0.57853
428.75	0.58575
429.00	0.58817
429.25	0.59268
429.50	0.59931
429.75	0.60322
430.00	0.60604
430.25	0.61130
430.50	0.61706
430.75	0.62198
431.00	0.62603
431.25	0.63216
431.50	0.63498
431.75	0.64157
432.00	0.64412
432.25	0.64955
432.50	0.65484
432.75	0.65881
433.00	0.66555
433.25	0.66764
433.50	0.67174
433.75	0.67734
434.00	0.68198
434.25	0.68389
434.50	0.69296
434.75	0.69682
435.00	0.70092
435.25	0.70857
435.50	0.71470
435.75	0.72164
436.00	0.72555
436.25	0.73021
436.50	0.73411
436.75	0.73917
437.00	0.74571
437.25	0.74854
437.50	0.75355
437.75	0.76030
