Wavelength (nm)	E04 ems
360.00	0.021784
361.00	0.011254
362.00	0.0032129
363.00	0.018054
364.00	0.027985
365.00	0.011424
366.00	0.016696
367.00	0.026838
368.00	0.0081590
369.00	0.046656
370.00	0.048234
371.00	0.045344
372.00	0.056897
373.00	0.050776
374.00	0.047877
375.00	0.048151
376.00	0.075086
377.00	0.079866
378.00	0.089237
379.00	0.098488
380.00	0.087659
381.00	0.15687
382.00	0.062518
383.00	0.13126
384.00	0.19339
385.00	0.10300
386.00	0.19169
387.00	0.16173
388.00	0.19295
389.00	0.16173
390.00	0.24426
391.00	0.23216
392.00	0.25671
393.00	0.23299
394.00	0.28919
395.00	0.27417
396.00	0.31532
397.00	0.32319
398.00	0.36519
399.00	0.32162
400.00	0.36041
401.00	0.42007
402.00	0.40912
403.00	0.43734
404.00	0.46669
405.00	0.47916
406.00	0.58252
407.00	0.55315
408.00	0.51307
409.00	0.56181
410.00	0.53824
411.00	0.57625
412.00	0.65946
413.00	0.57755
414.00	0.64386
415.00	0.65262
416.00	0.67702
417.00	0.70764
418.00	0.71708
419.00	0.71085
420.00	0.80366
421.00	0.74583
422.00	0.83233
423.00	0.79511
424.00	0.81611
425.00	0.77550
426.00	0.78506
427.00	0.85882
428.00	0.84431
429.00	0.91557
430.00	0.82165
431.00	0.91434
432.00	0.91323
433.00	0.91444
434.00	0.97603
435.00	0.89297
436.00	0.97010
437.00	0.91703
438.00	0.87727
439.00	0.92171
440.00	0.87314
441.00	0.91439
442.00	0.82764
443.00	1.00000
444.00	0.90911
445.00	0.89356
446.00	0.95887
447.00	0.94092
448.00	0.95046
449.00	0.95985
450.00	0.95066
451.00	0.91876
452.00	0.86551
453.00	0.90382
454.00	0.94826
455.00	0.90816
456.00	0.87893
457.00	0.91341
458.00	0.93074
459.00	0.89430
460.00	0.86017
461.00	0.89688
462.00	0.90523
463.00	0.87403
464.00	0.92278
465.00	0.88651
466.00	0.86485
467.00	0.82481
468.00	0.83313
469.00	0.83932
470.00	0.78743
471.00	0.73600
472.00	0.81345
473.00	0.80057
474.00	0.84818
475.00	0.78604
476.00	0.73324
477.00	0.72666
478.00	0.69720
479.00	0.80396
480.00	0.71795
481.00	0.79442
482.00	0.71504
483.00	0.73699
484.00	0.75703
485.00	0.70004
486.00	0.79032
487.00	0.65369
488.00	0.73315
489.00	0.66952
490.00	0.66128
491.00	0.73790
492.00	0.62479
493.00	0.66385
494.00	0.63382
495.00	0.59293
496.00	0.60714
497.00	0.55492
498.00	0.57957
499.00	0.60020
500.00	0.55221
