Wavelength (nm)	M01 abs N
220.00	0.95719
220.25	0.93408
220.50	0.91378
220.75	0.89806
221.00	0.87362
221.25	0.86678
221.50	0.83796
221.75	0.82190
222.00	0.79482
222.25	0.77008
222.50	0.74604
222.75	0.71500
223.00	0.68625
223.25	0.65554
223.50	0.62807
223.75	0.59376
224.00	0.57661
224.25	0.55525
224.50	0.54338
224.75	0.53501
225.00	0.52985
225.25	0.52763
225.50	0.53580
225.75	0.54322
226.00	0.54478
226.25	0.55150
226.50	0.55685
226.75	0.55906
227.00	0.55388
227.25	0.54474
227.50	0.52832
227.75	0.51093
228.00	0.48278
228.25	0.46247
228.50	0.43455
228.75	0.40981
229.00	0.38489
229.25	0.35978
229.50	0.33900
229.75	0.32232
230.00	0.30552
230.25	0.29134
230.50	0.28187
230.75	0.26949
231.00	0.26211
231.25	0.25567
231.50	0.24995
231.75	0.25041
232.00	0.24741
232.25	0.24585
232.50	0.24516
232.75	0.24644
233.00	0.24954
233.25	0.25166
233.50	0.25360
233.75	0.25839
234.00	0.26513
234.25	0.27175
234.50	0.28035
234.75	0.28740
235.00	0.29631
235.25	0.31085
235.50	0.32448
235.75	0.33846
236.00	0.35155
236.25	0.36656
236.50	0.37571
236.75	0.38540
237.00	0.39344
237.25	0.40220
237.50	0.40844
237.75	0.41487
238.00	0.42255
238.25	0.42651
238.50	0.43245
238.75	0.43852
239.00	0.44795
239.25	0.45284
239.50	0.46262
239.75	0.47406
240.00	0.48338
240.25	0.49659
240.50	0.51205
240.75	0.52583
241.00	0.54214
241.25	0.55968
241.50	0.57745
241.75	0.59901
242.00	0.62381
242.25	0.64972
242.50	0.67675
242.75	0.70431
243.00	0.73755
243.25	0.76835
243.50	0.79738
243.75	0.83470
244.00	0.86237
244.25	0.88694
244.50	0.90560
244.75	0.92542
245.00	0.93128
245.25	0.94358
245.50	0.94485
245.75	0.94241
246.00	0.93568
246.25	0.92703
246.50	0.91857
246.75	0.90849
247.00	0.90308
247.25	0.89636
247.50	0.89360
247.75	0.89318
248.00	0.88838
248.25	0.89359
248.50	0.89811
248.75	0.90507
249.00	0.91930
249.25	0.93267
249.50	0.95052
249.75	0.97393
250.00	1.0027
250.25	1.0303
250.50	1.0672
250.75	1.1075
251.00	1.1520
251.25	1.1969
251.50	1.2384
251.75	1.2770
252.00	1.3105
252.25	1.3380
252.50	1.3545
252.75	1.3584
253.00	1.3431
253.25	1.3241
253.50	1.2916
253.75	1.2475
254.00	1.2019
254.25	1.1528
254.50	1.1101
254.75	1.0853
255.00	1.0531
255.25	0.99622
255.50	0.93775
255.75	0.87935
256.00	0.82907
