Wavelength (nm)	A05 abs1 N
230.00	0.15203
231.00	0.095601
232.00	0.067861
233.00	0.055048
234.00	0.051166
235.00	0.052275
236.00	0.055829
237.00	0.061153
238.00	0.067524
239.00	0.075124
240.00	0.085873
241.00	0.099123
242.00	0.10973
243.00	0.12003
244.00	0.13378
245.00	0.15485
246.00	0.17331
247.00	0.19657
248.00	0.22102
249.00	0.23998
250.00	0.25831
251.00	0.27255
252.00	0.32661
253.00	0.37184
254.00	0.39322
255.00	0.42649
256.00	0.42808
257.00	0.47807
258.00	0.52961
259.00	0.56506
260.00	0.69889
261.00	0.68918
262.00	0.62501
263.00	0.63911
264.00	0.65087
265.00	0.79909
266.00	0.93547
267.00	0.84843
268.00	0.92521
269.00	0.94239
270.00	0.70228
271.00	0.51850
272.00	0.42713
273.00	0.53248
274.00	0.90543
275.00	1.00000
276.00	0.65039
277.00	0.36092
278.00	0.18808
279.00	0.099083
280.00	0.062272
281.00	0.044777
282.00	0.029129
283.00	0.018100
284.00	0.011769
285.00	0.0078823
286.00	0.0052500
287.00	0.0040503
288.00	0.0032012
289.00	0.0025904
290.00	0.0022607
291.00	0.0020634
292.00	0.0017738
293.00	0.0015829
294.00	0.0014646
295.00	0.0013304
296.00	0.0013411
297.00	0.0012378
298.00	0.0011767
299.00	0.0011741
300.00	0.0011622
