Wavelength (nm)	J08 abs N
628.00	0.0016058
629.00	0.0028958
630.00	0.0020844
631.00	0.0023996
632.00	0.0024972
633.00	0.0027617
634.00	0.0034238
635.00	0.0038201
636.00	0.0041952
637.00	0.0033497
638.00	0.0038013
639.00	0.0022102
640.00	0.0027394
641.00	0.0016858
642.00	0.0024278
643.00	0.0016528
644.00	0.00082970
645.00	0.0017587
646.00	0.0011131
647.00	0.0025865
648.00	0.0022126
649.00	0.0020221
650.00	0.0015488
