Wavelength (nm)	P03 abs N
438.25	0.045024
438.50	0.043421
438.75	0.045977
439.00	0.047437
439.25	0.046289
439.50	0.049146
439.75	0.048202
440.00	0.049730
440.25	0.049873
440.50	0.050185
440.75	0.051315
441.00	0.051917
441.25	0.053935
441.50	0.053574
441.75	0.054485
442.00	0.055872
442.25	0.055393
442.50	0.057275
442.75	0.058322
443.00	0.058357
443.25	0.058272
443.50	0.060993
443.75	0.062254
444.00	0.062770
444.25	0.062184
444.50	0.062196
444.75	0.064525
445.00	0.065991
445.25	0.065965
445.50	0.067067
445.75	0.069091
446.00	0.069134
446.25	0.068770
446.50	0.071218
446.75	0.071456
447.00	0.071576
447.25	0.073256
447.50	0.076086
447.75	0.075597
448.00	0.076811
448.25	0.078608
448.50	0.079021
448.75	0.080509
449.00	0.081698
449.25	0.083913
449.50	0.082346
449.75	0.085527
450.00	0.087311
450.25	0.087002
450.50	0.088844
450.75	0.088645
451.00	0.092017
451.25	0.092097
451.50	0.091850
451.75	0.094277
452.00	0.096678
452.25	0.096112
452.50	0.096565
452.75	0.10007
453.00	0.10033
453.25	0.10149
453.50	0.10190
453.75	0.10356
454.00	0.10469
454.25	0.10680
454.50	0.10744
454.75	0.10793
455.00	0.11029
455.25	0.11053
455.50	0.11117
455.75	0.11372
456.00	0.11577
456.25	0.11517
456.50	0.11826
456.75	0.11865
457.00	0.12198
457.25	0.12222
457.50	0.12460
457.75	0.12654
458.00	0.12836
458.25	0.12975
458.50	0.13276
458.75	0.13440
459.00	0.13610
459.25	0.13769
459.50	0.14030
459.75	0.14230
460.00	0.14439
460.25	0.14577
460.50	0.14969
460.75	0.15177
461.00	0.15439
461.25	0.15639
461.50	0.16040
461.75	0.16059
462.00	0.16499
462.25	0.16624
462.50	0.17043
462.75	0.17351
463.00	0.17491
463.25	0.17836
463.50	0.18045
463.75	0.18458
464.00	0.18824
464.25	0.19198
464.50	0.19401
464.75	0.19825
465.00	0.20085
465.25	0.20508
465.50	0.20712
465.75	0.21006
466.00	0.21395
466.25	0.21829
466.50	0.22048
466.75	0.22545
467.00	0.22865
467.25	0.23081
467.50	0.23762
467.75	0.24017
468.00	0.24383
468.25	0.24772
468.50	0.25260
468.75	0.25620
469.00	0.26060
469.25	0.26324
469.50	0.26685
469.75	0.27145
470.00	0.27662
470.25	0.27974
470.50	0.28409
470.75	0.28792
471.00	0.29047
471.25	0.29590
471.50	0.29893
471.75	0.30218
472.00	0.30601
472.25	0.31244
472.50	0.31440
472.75	0.31961
473.00	0.32306
473.25	0.32585
473.50	0.32857
473.75	0.33252
474.00	0.33669
474.25	0.33963
474.50	0.34278
474.75	0.34767
475.00	0.35076
475.25	0.35492
475.50	0.36023
475.75	0.36298
476.00	0.36786
476.25	0.36964
476.50	0.37501
476.75	0.37695
477.00	0.38066
477.25	0.38289
477.50	0.38494
477.75	0.38815
478.00	0.39094
478.25	0.39283
478.50	0.39507
478.75	0.39577
479.00	0.39802
479.25	0.40010
479.50	0.40378
479.75	0.40633
480.00	0.40708
480.25	0.40986
480.50	0.41065
