Wavelength (nm)	K11 abs N
308.25	0.021115
308.50	0.021261
308.75	0.021406
309.00	0.019741
309.25	0.020710
309.50	0.021020
309.75	0.021210
310.00	0.020786
310.25	0.021058
310.50	0.018868
310.75	0.022337
311.00	0.023254
311.25	0.023140
311.50	0.023672
311.75	0.022020
312.00	0.019830
312.25	0.020109
312.50	0.023634
312.75	0.025014
313.00	0.023349
313.25	0.021697
313.50	0.019976
313.75	0.021818
314.00	0.024242
314.25	0.027312
314.50	0.027210
314.75	0.022166
315.00	0.022343
315.25	0.022507
315.50	0.027046
315.75	0.025103
316.00	0.026634
316.25	0.029090
316.50	0.023957
316.75	0.022223
317.00	0.025609
317.25	0.021723
317.50	0.028406
317.75	0.025951
318.00	0.022906
318.25	0.022343
318.50	0.022970
318.75	0.022564
319.00	0.023659
319.25	0.027033
319.50	0.025754
319.75	0.026887
320.00	0.025786
320.25	0.025533
320.50	0.022533
320.75	0.023343
321.00	0.024375
321.25	0.024697
321.50	0.023324
321.75	0.021944
322.00	0.023001
322.25	0.025913
322.50	0.020786
322.75	0.024615
323.00	0.020153
323.25	0.022761
323.50	0.022375
323.75	0.028786
324.00	0.022121
324.25	0.025311
324.50	0.023109
324.75	0.022273
325.00	0.027476
325.25	0.024976
325.50	0.027698
325.75	0.023773
326.00	0.025375
326.25	0.022634
326.50	0.025792
326.75	0.028609
327.00	0.023172
327.25	0.029020
327.50	0.025191
327.75	0.025419
328.00	0.023330
328.25	0.027906
328.50	0.028742
328.75	0.027261
329.00	0.027533
329.25	0.028198
329.50	0.025590
329.75	0.026166
330.00	0.025951
330.25	0.025394
330.50	0.025590
330.75	0.025995
331.00	0.024621
331.25	0.023552
331.50	0.021337
331.75	0.022476
332.00	0.023140
332.25	0.020476
332.50	0.022413
332.75	0.017957
333.00	0.021064
333.25	0.019881
333.50	0.018526
333.75	0.019887
334.00	0.017210
334.25	0.018058
334.50	0.015583
334.75	0.018609
335.00	0.015178
335.25	0.017982
335.50	0.014754
335.75	0.015697
336.00	0.013564
336.25	0.015349
336.50	0.016817
336.75	0.013317
337.00	0.011469
337.25	0.016602
337.50	0.013064
337.75	0.014596
338.00	0.015222
338.25	0.0087283
338.50	0.0093865
338.75	0.010323
339.00	0.0098676
339.25	0.010969
339.50	0.0096524
339.75	0.010494
340.00	0.012868
340.25	0.010317
340.50	0.0071459
340.75	0.0090954
341.00	0.0099309
341.25	0.0070953
341.50	0.0086587
341.75	0.0087156
342.00	0.0085257
342.25	0.0080827
342.50	0.0063484
342.75	0.010887
343.00	0.010754
343.25	0.011013
343.50	0.010564
343.75	0.0081586
344.00	0.0097030
344.25	0.0079561
344.50	0.0067155
344.75	0.0082789
345.00	0.0083612
345.25	0.013855
345.50	0.013583
345.75	0.0091840
346.00	0.010773
346.25	0.0097283
346.50	0.010412
346.75	0.0055446
347.00	0.011216
347.25	0.010317
347.50	0.0096840
347.75	0.0083928
348.00	0.010463
348.25	0.011108
348.50	0.0082662
348.75	0.0090068
349.00	0.0069877
349.25	0.0092410
349.50	0.0092663
349.75	0.0075447
350.00	0.0085447
350.25	0.010614
350.50	0.011089
350.75	0.0091081
351.00	0.010095
351.25	0.010792
351.50	0.0097410
351.75	0.0097157
352.00	0.010368
352.25	0.010216
352.50	0.0083802
352.75	0.0082219
353.00	0.0087156
353.25	0.011013
353.50	0.0099562
353.75	0.012570
354.00	0.0093929
354.25	0.0086333
354.50	0.0087283
354.75	0.013425
355.00	0.012773
355.25	0.011209
355.50	0.0096271
355.75	0.011171
356.00	0.011899
356.25	0.012140
356.50	0.012096
356.75	0.010285
357.00	0.010209
357.25	0.0091840
357.50	0.011804
357.75	0.010754
358.00	0.011171
358.25	0.012425
358.50	0.011393
358.75	0.0089118
359.00	0.013665
359.25	0.0098043
359.50	0.013551
359.75	0.012773
360.00	0.013292
360.25	0.012342
360.50	0.011450
360.75	0.011387
361.00	0.011564
361.25	0.012456
361.50	0.012760
361.75	0.011621
362.00	0.012956
362.25	0.014089
362.50	0.011849
362.75	0.012823
363.00	0.013070
363.25	0.012532
363.50	0.012184
363.75	0.012754
364.00	0.011912
364.25	0.016381
364.50	0.012494
364.75	0.011633
365.00	0.012203
365.25	0.015153
365.50	0.013513
365.75	0.013887
366.00	0.013032
366.25	0.013798
366.50	0.014032
366.75	0.011925
367.00	0.013292
367.25	0.011532
367.50	0.014950
367.75	0.011121
368.00	0.012494
368.25	0.012526
368.50	0.012912
368.75	0.010532
369.00	0.010393
369.25	0.014425
369.50	0.012621
369.75	0.012849
370.00	0.011235
370.25	0.010551
370.50	0.011539
370.75	0.013748
371.00	0.011159
371.25	0.011969
371.50	0.012463
371.75	0.011804
372.00	0.011323
372.25	0.013767
372.50	0.011209
372.75	0.011393
373.00	0.011026
373.25	0.012355
373.50	0.010874
373.75	0.013975
374.00	0.013083
374.25	0.012437
374.50	0.012735
374.75	0.011830
375.00	0.014342
375.25	0.014836
375.50	0.012260
375.75	0.011994
376.00	0.012425
376.25	0.013165
376.50	0.012108
376.75	0.011349
377.00	0.012197
377.25	0.010222
377.50	0.013108
377.75	0.010697
378.00	0.012380
378.25	0.011874
378.50	0.011640
378.75	0.012045
379.00	0.013134
379.25	0.013045
379.50	0.011178
379.75	0.0097537
380.00	0.011197
380.25	0.011798
380.50	0.013349
380.75	0.013855
381.00	0.013140
381.25	0.010912
381.50	0.014191
381.75	0.012482
382.00	0.0095195
382.25	0.011178
382.50	0.011912
382.75	0.012975
383.00	0.010678
383.25	0.0095448
383.50	0.010026
383.75	0.010266
384.00	0.012551
384.25	0.010798
384.50	0.011102
384.75	0.010152
385.00	0.010108
385.25	0.010051
385.50	0.010285
385.75	0.0089245
386.00	0.0099372
386.25	0.0094245
386.50	0.011001
386.75	0.0087093
387.00	0.0099625
387.25	0.0093676
387.50	0.0085004
387.75	0.010114
388.00	0.0093739
388.25	0.0089372
388.50	0.011140
388.75	0.0082409
389.00	0.0079308
389.25	0.0083422
389.50	0.0081270
389.75	0.0062028
390.00	0.0074687
390.25	0.0077599
390.50	0.0064750
390.75	0.0072915
391.00	0.0057281
391.25	0.0053420
391.50	0.0075890
391.75	0.0061965
392.00	0.0076903
392.25	0.0071080
392.50	0.0072156
392.75	0.0054307
393.00	0.0062598
393.25	0.0052724
393.50	0.0044876
393.75	0.0052408
394.00	0.0055446
394.25	0.0051268
394.50	0.0059433
394.75	0.0062345
395.00	0.0059243
395.25	0.0057661
395.50	0.0067725
395.75	0.0040635
396.00	0.0052787
396.25	0.0054433
396.50	0.0034938
396.75	0.0052091
397.00	0.0032154
397.25	0.0054750
397.50	0.0025001
397.75	0.0047407
398.00	0.0037027
398.25	0.0056269
398.50	0.0044295
398.75	0.0047218
399.00	0.0035761
399.25	0.0031964
399.50	0.0043420
399.75	0.0032723
400.00	0.0016393
400.25	0.0043357
400.50	0.0024685
400.75	0.0037723
401.00	0.0011963
401.25	0.0027470
401.50	0.0030445
401.75	0.0057724
402.00	0.0031774
402.25	0.0033862
402.50	0.0033926
402.75	0.0026204
403.00	0.0043230
403.25	0.0015570
403.50	0.0029115
403.75	0.0036394
404.00	0.0037850
404.25	0.0032723
404.50	0.0029052
404.75	0.0042154
405.00	0.0023545
405.25	0.0040888
405.50	0.0038103
405.75	0.0025571
406.00	0.0032090
406.25	0.0017533
406.50	0.00098739
406.75	0.0020064
407.00	0.0026077
407.25	0.0023799
407.50	0.0022596
407.75	0.0024052
408.00	0.0017912
408.25	0.0029369
408.50	0.0036394
408.75	0.0018292
409.00	0.0016140
409.25	0.0021457
409.50	0.0036964
409.75	0.0031964
410.00	0.0025254
410.25	0.0030571
410.50	0.0038483
410.75	0.0018925
411.00	0.0044812
411.25	0.0030318
411.50	0.0028293
411.75	0.0041268
412.00	0.0027596
412.25	0.0022090
412.50	0.0027913
412.75	0.0014748
413.00	0.0025508
413.25	0.0026647
413.50	0.0025508
413.75	0.0014811
414.00	0.0018419
414.25	0.0025065
414.50	0.0028103
414.75	0.0032154
415.00	0.0027849
415.25	0.0015001
415.50	0.0019115
415.75	0.0016267
416.00	0.0022596
416.25	0.0021330
416.50	0.0012596
416.75	0.0017722
417.00	0.0012406
417.25	0.00076586
417.50	0.0023356
417.75	0.0018355
418.00	0.0013861
418.25	0.0032154
418.50	0.0022533
418.75	0.0017596
419.00	0.0020254
419.25	0.0026204
419.50	0.0029179
419.75	0.0031141
420.00	0.0018292
420.25	0.0010380
420.50	0.0019431
420.75	0.0024748
421.00	0.0033609
421.25	0.0030888
421.50	0.0020001
421.75	0.0035951
422.00	0.0027660
422.25	0.00081017
422.50	0.00072156
422.75	0.0010064
423.00	0.0017216
423.25	0.00025951
423.50	0.0011709
423.75	0.0024052
424.00	0.0018988
424.25	0.0015950
424.50	0.0012406
424.75	0.0021140
425.00	0.0023229
425.25	0.0016077
425.50	0.00063927
425.75	0.00066459
426.00	0.00045572
426.25	0.0028799
426.50	0.0024748
426.75	0.0015950
427.00	0.0016393
427.25	0.0016140
427.50	0.00087979
427.75	0.0010254
428.00	0.0014621
428.25	0.0013039
428.50	0.0015887
428.75	0.0021014
429.00	0.0010887
429.25	0.0018229
429.50	0.00013292
429.75	0.0021077
430.00	0.0022976
430.25	0.0014115
430.50	0.0030002
430.75	0.0019052
431.00	0.0024938
431.25	0.0015381
431.50	0.0014937
431.75	0.0014115
432.00	0.0030318
432.25	0.0021900
432.50	0.00059497
432.75	0.0011077
433.00	0.0024748
433.25	0.0017406
433.50	0.0015887
433.75	0.0015634
434.00	0.0012153
434.25	0.0015127
434.50	0.00091777
434.75	0.00065826
435.00	0.0015064
435.25	0.0010190
435.50	0.0025191
435.75	0.0022216
436.00	0.0013988
436.25	0.0030191
436.50	0.0019621
436.75	0.0017406
437.00	0.0014874
437.25	0.0023862
437.50	0.00073421
437.75	0.00089878
438.00	0.0016520
438.25	0.00060763
438.50	0.0011899
438.75	0.0017343
439.00	0.0029685
439.25	0.00037977
439.50	0.0019115
439.75	0.0012975
440.00	0.0018735
440.25	0.0037913
440.50	0.0014874
440.75	0.0014684
441.00	0.0011330
441.25	0.00018988
441.50	0.0024621
441.75	0.0013482
442.00	0.0014368
442.25	0.0017153
442.50	0.0015634
442.75	0.0025951
443.00	0.0025318
443.25	0.0011393
443.50	0.0017533
443.75	0.0012849
444.00	0.0022469
444.25	0.0013925
444.50	0.0021330
444.75	0.0023482
445.00	0.0010127
445.25	0.0011140
445.50	0.0026457
445.75	0.0013545
446.00	0.0018355
446.25	0.0026584
446.50	0.0016900
446.75	0.0011077
447.00	0.0033166
447.25	0.0018925
447.50	0.0019558
447.75	0.0015950
448.00	0.0018609
448.25	0.0017153
448.50	0.0016773
448.75	0.0015127
449.00	0.0021204
449.25	0.0022026
449.50	0.0012659
449.75	0.0024811
450.00	0.0028419
450.25	0.0019495
450.50	0.00033546
450.75	0.0024368
451.00	0.0019685
451.25	0.0020381
451.50	0.0027343
451.75	0.0033546
452.00	0.0015950
452.25	0.0018482
452.50	0.0023672
452.75	0.0016077
453.00	0.0018545
453.25	0.0037850
453.50	0.0013355
453.75	0.0021077
454.00	0.0020950
454.25	0.0027343
454.50	0.0019178
454.75	0.0031647
455.00	0.0020761
455.25	0.0026204
455.50	0.0021267
455.75	0.0044812
456.00	0.0025508
456.25	0.0019685
456.50	0.0033926
456.75	0.0019241
457.00	0.0025761
457.25	0.0025887
457.50	0.0033673
457.75	0.0022976
458.00	0.0037977
458.25	0.0028799
458.50	0.0017469
458.75	0.0018609
459.00	0.0024621
459.25	0.0027533
459.50	0.0025697
459.75	0.0024558
460.00	0.0035761
460.25	0.0015381
460.50	0.0033419
460.75	0.0036078
461.00	0.0041205
461.25	0.0030128
461.50	0.0027596
461.75	0.0031584
462.00	0.0030191
462.25	0.0034685
462.50	0.0022026
462.75	0.0044622
463.00	0.0025191
463.25	0.0034812
463.50	0.0021647
463.75	0.0027533
464.00	0.0035635
464.25	0.0020128
464.50	0.0037977
464.75	0.0034622
465.00	0.0047154
465.25	0.0031710
465.50	0.0038103
465.75	0.0045825
466.00	0.0037787
466.25	0.0034875
466.50	0.0035888
466.75	0.0043736
467.00	0.0031710
467.25	0.0040698
467.50	0.0032217
467.75	0.0049433
468.00	0.0032786
468.25	0.0043610
468.50	0.0046395
468.75	0.0038736
469.00	0.0035255
469.25	0.0043863
469.50	0.0022153
469.75	0.0043610
470.00	0.0042660
470.25	0.0037407
470.50	0.0038989
470.75	0.0030824
471.00	0.0025508
471.25	0.0028862
471.50	0.0034685
471.75	0.0036268
472.00	0.0042914
472.25	0.0040635
472.50	0.0038799
472.75	0.0034875
473.00	0.0046711
473.25	0.0046901
473.50	0.0045572
473.75	0.0030128
474.00	0.0030065
474.25	0.0040951
474.50	0.0032850
474.75	0.0037787
475.00	0.0039622
475.25	0.0039939
475.50	0.0039875
475.75	0.0058737
476.00	0.0051775
476.25	0.0043863
476.50	0.0035888
476.75	0.0048610
477.00	0.0036268
477.25	0.0044939
477.50	0.0049116
477.75	0.0041584
478.00	0.0037407
478.25	0.0037217
478.50	0.0054117
478.75	0.0038926
479.00	0.0061712
479.25	0.0053610
479.50	0.0046711
479.75	0.0056522
480.00	0.0044179
480.25	0.0059750
480.50	0.0044116
480.75	0.0060699
481.00	0.0041331
481.25	0.0048610
481.50	0.0055319
481.75	0.0046458
482.00	0.0052851
482.25	0.0049749
482.50	0.0054370
482.75	0.0040382
483.00	0.0060446
483.25	0.0050825
483.50	0.0060003
483.75	0.0054180
484.00	0.0052028
484.25	0.0063231
484.50	0.0051965
484.75	0.0056775
485.00	0.0063737
485.25	0.0069181
485.50	0.0066459
485.75	0.0054813
486.00	0.0058990
486.25	0.0064434
486.50	0.0074624
486.75	0.0070510
487.00	0.0050129
487.25	0.0071586
487.50	0.0061839
487.75	0.0064813
488.00	0.0060826
488.25	0.0062282
488.50	0.0070447
488.75	0.0076396
489.00	0.0064877
489.25	0.0060319
489.50	0.0068801
489.75	0.0070257
490.00	0.0071776
490.25	0.0074940
490.50	0.0066776
490.75	0.0064370
491.00	0.0078042
491.25	0.0075763
491.50	0.0055256
491.75	0.0081017
492.00	0.0078928
492.25	0.0077852
492.50	0.0078548
492.75	0.0078422
493.00	0.0075067
493.25	0.0087093
493.50	0.0072472
493.75	0.0075573
494.00	0.0075194
494.25	0.0090511
494.50	0.0087853
494.75	0.0085447
495.00	0.0089561
495.25	0.0092093
495.50	0.0077979
495.75	0.0087093
496.00	0.0094182
496.25	0.0083928
496.50	0.0099119
496.75	0.0085447
497.00	0.0081776
497.25	0.0092916
497.50	0.0098929
497.75	0.0098296
498.00	0.0093549
498.25	0.010880
498.50	0.010032
498.75	0.0081523
499.00	0.010482
499.25	0.011121
499.50	0.010671
499.75	0.010368
500.00	0.010785
500.25	0.010045
500.50	0.012026
500.75	0.0099942
501.00	0.011083
501.25	0.011178
501.50	0.011317
501.75	0.012342
502.00	0.010520
502.25	0.013380
502.50	0.012747
502.75	0.012045
503.00	0.012570
503.25	0.012893
503.50	0.014013
503.75	0.011190
504.00	0.012969
504.25	0.012121
504.50	0.012868
504.75	0.013564
505.00	0.013982
505.25	0.014013
505.50	0.014051
505.75	0.012564
506.00	0.014710
506.25	0.013792
506.50	0.014051
506.75	0.014286
507.00	0.014855
507.25	0.015412
507.50	0.016476
507.75	0.016811
508.00	0.016532
508.25	0.014824
508.50	0.015786
