Wavelength (nm)	C09 abs N
308.25	0.38617
308.50	0.39907
308.75	0.41249
309.00	0.42473
309.25	0.43922
309.50	0.44879
309.75	0.42857
310.00	0.42895
310.25	0.43271
310.50	0.42535
310.75	0.42151
311.00	0.40650
311.25	0.39059
311.50	0.36939
311.75	0.34555
312.00	0.31903
312.25	0.29443
312.50	0.26618
312.75	0.24321
313.00	0.21974
313.25	0.19440
313.50	0.17946
313.75	0.16132
314.00	0.14257
314.25	0.12963
314.50	0.11861
314.75	0.10527
315.00	0.090304
315.25	0.085227
315.50	0.074846
315.75	0.068579
316.00	0.065535
316.25	0.059191
316.50	0.055445
316.75	0.051077
317.00	0.048816
317.25	0.045522
317.50	0.042963
317.75	0.040885
318.00	0.037164
318.25	0.037635
318.50	0.034296
318.75	0.035405
319.00	0.034361
319.25	0.033307
319.50	0.031727
319.75	0.030443
320.00	0.029561
320.25	0.026511
320.50	0.027552
320.75	0.025118
321.00	0.025464
321.25	0.024976
321.50	0.024677
321.75	0.024559
322.00	0.022983
322.25	0.022356
322.50	0.023325
322.75	0.021519
323.00	0.020753
323.25	0.020942
323.50	0.020627
323.75	0.020546
324.00	0.019200
324.25	0.016909
324.50	0.018248
324.75	0.016570
325.00	0.014645
325.25	0.016347
325.50	0.015845
325.75	0.015618
326.00	0.016333
326.25	0.015689
326.50	0.014886
326.75	0.015374
327.00	0.012788
327.25	0.014293
327.50	0.014947
327.75	0.013852
328.00	0.013459
328.25	0.013361
328.50	0.012971
328.75	0.013777
329.00	0.011717
329.25	0.010720
329.50	0.012591
329.75	0.012259
330.00	0.011656
330.25	0.012022
330.50	0.013767
330.75	0.012330
331.00	0.011249
331.25	0.012818
331.50	0.011374
331.75	0.0087952
332.00	0.010619
332.25	0.010063
332.50	0.010686
332.75	0.012110
333.00	0.011541
333.25	0.0098696
333.50	0.010497
333.75	0.010883
334.00	0.0091206
334.25	0.0091985
334.50	0.0091511
334.75	0.010595
335.00	0.010971
335.25	0.0095612
335.50	0.0093578
335.75	0.011076
336.00	0.010195
336.25	0.011435
336.50	0.010490
336.75	0.0095544
337.00	0.0093138
337.25	0.0099137
337.50	0.0096154
337.75	0.0091816
338.00	0.010812
338.25	0.0098289
338.50	0.0086664
338.75	0.0089681
339.00	0.011083
339.25	0.011768
339.50	0.0097273
339.75	0.011937
340.00	0.010263
340.25	0.0096866
340.50	0.010110
340.75	0.011466
341.00	0.0084970
341.25	0.0096459
341.50	0.012249
341.75	0.011513
342.00	0.012269
342.25	0.011815
342.50	0.011490
342.75	0.011171
343.00	0.011737
343.25	0.011829
343.50	0.012429
343.75	0.010646
344.00	0.012249
344.25	0.012479
344.50	0.012889
344.75	0.012842
345.00	0.012591
345.25	0.013398
345.50	0.011317
345.75	0.013283
346.00	0.014038
346.25	0.013920
346.50	0.014682
346.75	0.014008
347.00	0.012293
347.25	0.014567
347.50	0.014038
347.75	0.014686
348.00	0.014418
348.25	0.014079
348.50	0.014113
348.75	0.015032
349.00	0.014625
349.25	0.014726
349.50	0.015523
349.75	0.015018
350.00	0.015303
350.25	0.016936
350.50	0.015757
350.75	0.015414
351.00	0.017028
351.25	0.016330
351.50	0.016543
351.75	0.018028
352.00	0.018278
352.25	0.017502
352.50	0.018939
352.75	0.019078
353.00	0.018516
353.25	0.018841
353.50	0.018590
353.75	0.019438
354.00	0.019726
354.25	0.019339
354.50	0.020583
354.75	0.019956
355.00	0.021078
355.25	0.022366
355.50	0.021464
355.75	0.021427
356.00	0.022922
356.25	0.022563
356.50	0.024488
356.75	0.024789
357.00	0.024152
357.25	0.024294
357.50	0.022444
357.75	0.024569
358.00	0.025881
358.25	0.024942
358.50	0.026789
358.75	0.026372
359.00	0.027806
359.25	0.028060
359.50	0.028057
359.75	0.028145
360.00	0.028023
360.25	0.029490
360.50	0.027785
360.75	0.028768
361.00	0.031198
361.25	0.029463
361.50	0.031307
361.75	0.030141
362.00	0.031144
362.25	0.031181
362.50	0.030158
362.75	0.031537
363.00	0.031317
363.25	0.033388
363.50	0.032151
363.75	0.031815
364.00	0.032459
364.25	0.033296
364.50	0.033493
364.75	0.033032
365.00	0.033886
365.25	0.033398
365.50	0.033534
365.75	0.034289
366.00	0.034201
366.25	0.036082
366.50	0.035774
366.75	0.035472
367.00	0.036652
367.25	0.035845
367.50	0.038194
367.75	0.038031
368.00	0.039648
368.25	0.039536
368.50	0.040787
368.75	0.041105
369.00	0.041054
369.25	0.041837
369.50	0.042237
369.75	0.042905
370.00	0.044010
370.25	0.045776
370.50	0.046254
370.75	0.045762
371.00	0.045928
371.25	0.047752
371.50	0.048684
371.75	0.048006
372.00	0.049785
372.25	0.049999
372.50	0.052646
372.75	0.051541
373.00	0.052605
373.25	0.053632
373.50	0.054035
373.75	0.054174
374.00	0.054442
374.25	0.053920
374.50	0.054862
374.75	0.057415
375.00	0.056798
375.25	0.056862
375.50	0.058123
375.75	0.058357
376.00	0.058330
376.25	0.059746
376.50	0.061516
376.75	0.060584
377.00	0.063278
377.25	0.066247
377.50	0.064305
377.75	0.066284
378.00	0.067901
378.25	0.066905
378.50	0.069223
378.75	0.068054
379.00	0.070951
379.25	0.070918
379.50	0.072433
379.75	0.072622
380.00	0.073049
380.25	0.073666
380.50	0.073341
380.75	0.074775
381.00	0.074334
381.25	0.075452
381.50	0.075808
381.75	0.075598
382.00	0.076856
382.25	0.076869
382.50	0.077777
382.75	0.076988
383.00	0.078147
383.25	0.078530
383.50	0.079797
383.75	0.079845
384.00	0.079852
384.25	0.080960
384.50	0.081543
384.75	0.082628
385.00	0.083048
385.25	0.083810
385.50	0.084681
385.75	0.085973
386.00	0.086064
386.25	0.089277
386.50	0.090016
386.75	0.091077
387.00	0.091253
387.25	0.093727
387.50	0.094171
387.75	0.094768
388.00	0.095646
388.25	0.097642
388.50	0.097801
388.75	0.099398
389.00	0.099740
389.25	0.10108
389.50	0.10304
389.75	0.10427
390.00	0.10514
390.25	0.10634
390.50	0.10855
390.75	0.10896
391.00	0.11063
391.25	0.11162
391.50	0.11336
391.75	0.11506
392.00	0.11616
392.25	0.11753
392.50	0.11913
392.75	0.12012
393.00	0.12161
393.25	0.12356
393.50	0.12477
393.75	0.12631
394.00	0.12750
394.25	0.12966
394.50	0.13000
394.75	0.13138
395.00	0.13445
395.25	0.13590
395.50	0.13870
395.75	0.13977
396.00	0.14164
396.25	0.14320
396.50	0.14597
396.75	0.14693
397.00	0.14783
397.25	0.14959
397.50	0.15062
397.75	0.15274
398.00	0.15412
398.25	0.15500
398.50	0.15861
398.75	0.15906
399.00	0.15921
399.25	0.16213
399.50	0.16231
399.75	0.16425
400.00	0.16501
400.25	0.16616
400.50	0.16753
400.75	0.16883
401.00	0.17096
401.25	0.17102
401.50	0.17328
401.75	0.17480
402.00	0.17503
402.25	0.17606
402.50	0.17711
402.75	0.17785
403.00	0.18034
403.25	0.18137
403.50	0.18158
403.75	0.18377
404.00	0.18474
404.25	0.18494
404.50	0.18557
404.75	0.18888
405.00	0.18915
405.25	0.18979
405.50	0.19319
405.75	0.19383
406.00	0.19598
406.25	0.19662
406.50	0.19867
406.75	0.19981
407.00	0.20140
407.25	0.20251
407.50	0.20449
407.75	0.20548
408.00	0.20894
408.25	0.20915
408.50	0.21090
408.75	0.21481
409.00	0.21349
409.25	0.21608
409.50	0.21862
409.75	0.21913
410.00	0.22061
410.25	0.22300
410.50	0.22462
410.75	0.22641
411.00	0.22843
411.25	0.22957
411.50	0.23083
411.75	0.23290
412.00	0.23487
412.25	0.23631
412.50	0.23812
412.75	0.24104
413.00	0.24167
413.25	0.24312
413.50	0.24537
413.75	0.24668
414.00	0.24925
414.25	0.25112
414.50	0.25222
414.75	0.25288
415.00	0.25405
415.25	0.25769
415.50	0.25703
415.75	0.26119
416.00	0.26329
416.25	0.26490
416.50	0.26804
416.75	0.27082
417.00	0.27319
417.25	0.27434
417.50	0.27716
417.75	0.27938
418.00	0.28274
418.25	0.28512
418.50	0.28756
418.75	0.29021
419.00	0.29400
419.25	0.29675
419.50	0.29915
419.75	0.30233
420.00	0.30469
420.25	0.30866
420.50	0.31223
420.75	0.31508
421.00	0.31751
421.25	0.31904
421.50	0.32368
421.75	0.32512
422.00	0.32799
422.25	0.32943
422.50	0.33236
422.75	0.33522
423.00	0.33623
423.25	0.34013
423.50	0.34060
423.75	0.34315
424.00	0.34347
424.25	0.34624
424.50	0.34642
424.75	0.34906
425.00	0.34952
425.25	0.34987
425.50	0.35078
425.75	0.35047
426.00	0.35275
426.25	0.35276
426.50	0.35198
426.75	0.35271
427.00	0.35337
427.25	0.35510
427.50	0.35425
427.75	0.35535
428.00	0.35594
428.25	0.35449
428.50	0.35740
428.75	0.35793
429.00	0.35767
429.25	0.35801
429.50	0.35974
429.75	0.35853
430.00	0.35999
430.25	0.36237
430.50	0.36132
430.75	0.36228
431.00	0.36390
431.25	0.36397
431.50	0.36349
431.75	0.36591
432.00	0.36675
432.25	0.36686
432.50	0.36752
432.75	0.36794
433.00	0.36862
433.25	0.36888
433.50	0.36847
433.75	0.36966
434.00	0.36983
434.25	0.36972
434.50	0.37070
434.75	0.36886
435.00	0.36784
435.25	0.36861
435.50	0.36771
435.75	0.36819
436.00	0.36779
436.25	0.36700
436.50	0.36767
436.75	0.36655
437.00	0.36622
437.25	0.36644
437.50	0.36470
437.75	0.36426
438.00	0.36408
438.25	0.36316
438.50	0.36256
438.75	0.36216
439.00	0.36108
439.25	0.36143
439.50	0.35951
439.75	0.35984
440.00	0.35878
440.25	0.35899
440.50	0.35849
440.75	0.35743
441.00	0.35499
441.25	0.35466
441.50	0.35372
441.75	0.35447
442.00	0.35431
442.25	0.35386
442.50	0.35303
442.75	0.35410
443.00	0.35244
443.25	0.35170
443.50	0.35366
443.75	0.35246
444.00	0.35457
444.25	0.35492
444.50	0.35579
444.75	0.35882
