Wavelength (nm)	K04 abs N
542.00	0.24970
543.00	0.25896
544.00	0.26913
545.00	0.27812
546.00	0.28724
547.00	0.29731
548.00	0.30561
549.00	0.31503
550.00	0.32428
551.00	0.33389
552.00	0.34345
553.00	0.35286
554.00	0.36122
555.00	0.37165
556.00	0.38113
557.00	0.39128
558.00	0.40069
559.00	0.41245
560.00	0.42290
561.00	0.43369
562.00	0.44645
563.00	0.45932
564.00	0.47425
565.00	0.49104
566.00	0.50840
567.00	0.52779
568.00	0.54931
569.00	0.57227
570.00	0.59569
571.00	0.62046
572.00	0.64396
573.00	0.67065
574.00	0.69746
575.00	0.72225
576.00	0.74825
577.00	0.77356
578.00	0.79606
579.00	0.81902
580.00	0.84135
581.00	0.86387
582.00	0.88244
583.00	0.90013
584.00	0.92044
585.00	0.93663
586.00	0.95268
587.00	0.96543
588.00	0.97729
589.00	0.98477
590.00	0.99254
591.00	0.99894
592.00	1.0000
593.00	0.99986
594.00	0.99766
595.00	0.99170
596.00	0.98376
597.00	0.97280
598.00	0.95829
599.00	0.94154
600.00	0.92404
601.00	0.90421
602.00	0.88224
603.00	0.85725
604.00	0.83306
605.00	0.80437
606.00	0.77566
607.00	0.74547
608.00	0.71583
609.00	0.68557
610.00	0.65176
611.00	0.62196
612.00	0.59003
613.00	0.55902
614.00	0.52849
615.00	0.49822
616.00	0.46989
617.00	0.44006
618.00	0.41295
619.00	0.38532
620.00	0.35898
621.00	0.33601
622.00	0.30950
623.00	0.28804
624.00	0.26714
625.00	0.24733
626.00	0.22825
627.00	0.20960
628.00	0.19397
629.00	0.17750
630.00	0.16355
631.00	0.14976
632.00	0.13666
633.00	0.12481
634.00	0.11427
635.00	0.10395
636.00	0.094765
637.00	0.086716
638.00	0.079039
639.00	0.072100
640.00	0.065792
641.00	0.060381
642.00	0.055409
643.00	0.050071
644.00	0.045685
645.00	0.041774
646.00	0.037082
647.00	0.033392
648.00	0.030469
649.00	0.027549
650.00	0.025547
651.00	0.022931
652.00	0.020570
653.00	0.018942
654.00	0.017438
655.00	0.014316
656.00	0.013230
657.00	0.013135
658.00	0.012869
659.00	0.011028
660.00	0.010290
661.00	0.0091833
662.00	0.0082658
663.00	0.0074501
664.00	0.0074149
665.00	0.0070907
666.00	0.0061385
667.00	0.0049489
668.00	0.0054602
669.00	0.0051959
670.00	0.0045307
671.00	0.0043922
672.00	0.0039832
673.00	0.0038056
674.00	0.0034178
675.00	0.0036546
676.00	0.0030931
677.00	0.0031959
678.00	0.0027164
679.00	0.0026561
680.00	0.0022186
681.00	0.0022615
682.00	0.0023729
683.00	0.0023397
684.00	0.0019615
685.00	0.0018891
686.00	0.0020796
687.00	0.0021877
688.00	0.0021250
689.00	0.0018211
690.00	0.0018727
691.00	0.0018399
692.00	0.0014670
693.00	0.0018510
694.00	0.0019320
695.00	0.0017859
696.00	0.0017864
697.00	0.0018370
698.00	0.0015379
699.00	0.0014014
700.00	0.0018693
