Wavelength (nm)	N06 abs N
551.00	0.99947
552.00	0.99437
553.00	0.97321
554.00	0.94030
555.00	0.89771
556.00	0.84675
557.00	0.78762
558.00	0.72550
559.00	0.65619
560.00	0.58862
561.00	0.52535
562.00	0.46331
563.00	0.40323
564.00	0.34900
565.00	0.30081
566.00	0.25712
567.00	0.21667
568.00	0.18408
569.00	0.15418
570.00	0.13006
571.00	0.10914
572.00	0.092339
573.00	0.076796
574.00	0.063647
575.00	0.053732
576.00	0.044598
577.00	0.036597
578.00	0.030775
579.00	0.026018
580.00	0.021127
581.00	0.017556
582.00	0.014925
583.00	0.013074
584.00	0.010375
585.00	0.0086384
586.00	0.0076364
587.00	0.0063501
588.00	0.0054693
589.00	0.0047945
590.00	0.0041010
591.00	0.0038230
592.00	0.0032243
593.00	0.0027349
594.00	0.0024087
595.00	0.0021439
596.00	0.0020851
597.00	0.0018692
598.00	0.0017963
599.00	0.0016495
600.00	0.0013187
601.00	0.0013401
602.00	0.0013124
603.00	0.0011483
604.00	0.0012185
605.00	0.0011561
606.00	0.0010946
607.00	0.0010663
608.00	0.0012394
609.00	0.0010453
610.00	0.0010098
611.00	0.0011219
612.00	0.00081660
613.00	0.00092459
614.00	0.00084348
615.00	0.0010075
616.00	0.0011711
617.00	0.00093689
618.00	0.00070952
619.00	0.0010002
620.00	0.00096423
621.00	0.0012076
622.00	0.0010499
623.00	0.0011556
624.00	0.0010043
625.00	0.0010549
626.00	0.0012253
627.00	0.0011770
628.00	0.0011324
629.00	0.0010089
630.00	0.0011269
631.00	0.0012030
632.00	0.0014408
633.00	0.0015347
634.00	0.0016659
635.00	0.0018450
636.00	0.0016281
637.00	0.0017015
638.00	0.0014796
639.00	0.0014176
640.00	0.0011930
641.00	0.0011305
642.00	0.0013392
643.00	0.00076967
644.00	0.0015634
645.00	0.0019872
646.00	0.0018277
647.00	0.0016404
648.00	0.0014782
649.00	0.00097243
650.00	0.0016700
651.00	0.0013474
652.00	0.0014568
653.00	0.0012176
654.00	0.0011187
655.00	0.0011356
656.00	0.0010600
657.00	0.0013683
658.00	0.0013534
659.00	0.0013452
660.00	0.0011661
661.00	0.0012080
662.00	0.0015201
663.00	0.0016500
664.00	0.0015785
665.00	0.0012950
666.00	0.0012467
667.00	0.0013310
668.00	0.0015589
669.00	0.0012290
670.00	0.0017215
671.00	0.0012768
672.00	0.0011661
673.00	0.0013976
674.00	0.0015438
675.00	0.0011884
676.00	0.0013247
677.00	0.0015147
678.00	0.0011182
679.00	0.0012080
680.00	0.0011952
681.00	0.0011552
682.00	0.0014910
683.00	0.0016099
684.00	0.0012353
685.00	0.0011419
686.00	0.0010964
687.00	0.0013889
688.00	0.0013711
689.00	0.0011346
690.00	0.0014463
691.00	0.0014131
692.00	0.0011597
693.00	0.0012226
694.00	0.0011788
695.00	0.0013707
696.00	0.0012030
697.00	0.0010713
698.00	0.0011319
699.00	0.0012654
700.00	0.0011346
