Wavelength (nm)	D05 ems
330.00	0.010723
331.00	0.011543
332.00	0.012468
333.00	0.013369
334.00	0.014642
335.00	0.015954
336.00	0.017668
337.00	0.020182
338.00	0.024268
339.00	0.030598
340.00	0.041330
341.00	0.055789
342.00	0.078734
343.00	0.10692
344.00	0.15032
345.00	0.20333
346.00	0.27876
347.00	0.35984
348.00	0.46255
349.00	0.56257
350.00	0.66774
351.00	0.74985
352.00	0.82083
353.00	0.85861
354.00	0.87041
355.00	0.85392
356.00	0.81102
357.00	0.75895
358.00	0.70059
359.00	0.65308
360.00	0.61648
361.00	0.59867
362.00	0.60110
363.00	0.61900
364.00	0.65583
365.00	0.69863
366.00	0.75180
367.00	0.80017
368.00	0.85481
369.00	0.89987
370.00	0.94413
371.00	0.97344
372.00	0.99497
373.00	1.00000
374.00	0.99465
375.00	0.97666
376.00	0.94626
377.00	0.91184
378.00	0.86812
379.00	0.82546
380.00	0.77936
381.00	0.74165
382.00	0.70634
383.00	0.68241
384.00	0.66459
385.00	0.65570
386.00	0.65804
387.00	0.66515
388.00	0.67525
389.00	0.68519
390.00	0.69521
391.00	0.69923
392.00	0.70221
393.00	0.70051
394.00	0.69524
395.00	0.68673
396.00	0.67222
397.00	0.65474
398.00	0.63235
399.00	0.61015
400.00	0.58274
401.00	0.55498
402.00	0.52446
403.00	0.49707
404.00	0.46893
405.00	0.44414
406.00	0.42234
407.00	0.40444
408.00	0.38781
409.00	0.37468
410.00	0.36294
411.00	0.35372
412.00	0.34582
413.00	0.33874
414.00	0.33141
415.00	0.32443
416.00	0.31718
417.00	0.31053
418.00	0.30149
419.00	0.29405
420.00	0.28468
421.00	0.27597
422.00	0.26656
423.00	0.25681
424.00	0.24654
425.00	0.23658
426.00	0.22510
427.00	0.21483
428.00	0.20349
429.00	0.19292
430.00	0.18214
431.00	0.17263
432.00	0.16318
433.00	0.15514
434.00	0.14710
435.00	0.14057
436.00	0.13407
437.00	0.12918
438.00	0.12420
439.00	0.12020
440.00	0.11564
441.00	0.11210
442.00	0.10782
443.00	0.10479
444.00	0.10114
445.00	0.097973
446.00	0.094297
447.00	0.091360
448.00	0.087680
449.00	0.084560
450.00	0.081014
451.00	0.077504
452.00	0.073962
453.00	0.070727
454.00	0.067404
455.00	0.064381
456.00	0.061115
457.00	0.058316
458.00	0.055228
459.00	0.052334
460.00	0.049949
461.00	0.047679
462.00	0.045449
463.00	0.043737
464.00	0.041746
465.00	0.040091
466.00	0.038305
467.00	0.037003
468.00	0.035522
469.00	0.034058
470.00	0.032732
471.00	0.031527
472.00	0.030560
473.00	0.029464
474.00	0.028417
475.00	0.027230
476.00	0.026362
477.00	0.025297
478.00	0.024274
479.00	0.023293
480.00	0.022234
481.00	0.021513
482.00	0.020599
483.00	0.019699
484.00	0.018877
485.00	0.018084
486.00	0.017398
487.00	0.016876
488.00	0.016181
489.00	0.015606
490.00	0.014931
491.00	0.014357
492.00	0.013963
493.00	0.013457
494.00	0.013017
495.00	0.012501
496.00	0.012000
497.00	0.011560
498.00	0.011189
499.00	0.010786
500.00	0.010287
501.00	0.010034
502.00	0.0096059
503.00	0.0093049
504.00	0.0090460
505.00	0.0087019
506.00	0.0083867
507.00	0.0080679
508.00	0.0076865
509.00	0.0074836
510.00	0.0074419
511.00	0.0071349
512.00	0.0069745
513.00	0.0067092
514.00	0.0064962
515.00	0.0063469
516.00	0.0061567
517.00	0.0059286
518.00	0.0057523
519.00	0.0056095
520.00	0.0054768
521.00	0.0052429
522.00	0.0052459
523.00	0.0051355
524.00	0.0049470
525.00	0.0048492
526.00	0.0046949
527.00	0.0046110
528.00	0.0043992
529.00	0.0042904
530.00	0.0041958
531.00	0.0040668
532.00	0.0039342
533.00	0.0038343
534.00	0.0038070
535.00	0.0037137
536.00	0.0036331
537.00	0.0035688
538.00	0.0034379
539.00	0.0033918
540.00	0.0032934
541.00	0.0032594
542.00	0.0032377
543.00	0.0031580
544.00	0.0031097
545.00	0.0030388
546.00	0.0029728
547.00	0.0029288
548.00	0.0028869
549.00	0.0028655
550.00	0.0027875
