Wavelength (nm)	O01 abs N
363.25	0.58591
363.50	0.58348
363.75	0.57792
364.00	0.56941
364.25	0.56853
364.50	0.56246
364.75	0.55310
365.00	0.54667
365.25	0.54122
365.50	0.53618
365.75	0.53025
366.00	0.52634
366.25	0.51743
366.50	0.51648
366.75	0.50913
367.00	0.50476
367.25	0.49654
367.50	0.49274
367.75	0.48743
368.00	0.48104
368.25	0.47590
368.50	0.47175
368.75	0.46403
369.00	0.46207
369.25	0.45299
369.50	0.44957
369.75	0.44216
370.00	0.43746
370.25	0.43306
370.50	0.42920
370.75	0.42111
371.00	0.41455
371.25	0.41135
371.50	0.40505
371.75	0.40014
372.00	0.39473
372.25	0.38905
372.50	0.38401
372.75	0.37722
373.00	0.37975
373.25	0.37006
373.50	0.36703
373.75	0.36262
374.00	0.35856
374.25	0.35434
374.50	0.34619
374.75	0.34614
375.00	0.34296
375.25	0.34119
375.50	0.33592
375.75	0.33246
376.00	0.32315
376.25	0.31421
376.50	0.31088
376.75	0.30906
377.00	0.30422
377.25	0.29814
377.50	0.29194
377.75	0.28904
378.00	0.28131
378.25	0.27936
378.50	0.27640
378.75	0.27343
379.00	0.26710
379.25	0.26357
379.50	0.25766
379.75	0.25681
380.00	0.24938
380.25	0.24578
380.50	0.24445
380.75	0.23741
381.00	0.23363
381.25	0.23116
381.50	0.22317
381.75	0.22430
382.00	0.21907
382.25	0.21559
382.50	0.21172
382.75	0.20757
383.00	0.20415
383.25	0.20248
383.50	0.19698
383.75	0.19379
384.00	0.19078
384.25	0.18776
384.50	0.18495
384.75	0.18067
385.00	0.17597
385.25	0.17138
385.50	0.16861
385.75	0.16773
386.00	0.16268
386.25	0.16205
386.50	0.15798
386.75	0.15535
387.00	0.15362
387.25	0.15060
387.50	0.14726
387.75	0.14318
388.00	0.14183
388.25	0.14096
388.50	0.13603
388.75	0.13531
389.00	0.12958
389.25	0.12731
389.50	0.12592
389.75	0.12146
390.00	0.12020
390.25	0.11787
390.50	0.11634
390.75	0.11383
391.00	0.11339
391.25	0.10993
391.50	0.10662
391.75	0.10498
392.00	0.10351
392.25	0.10163
392.50	0.099022
392.75	0.097758
393.00	0.095225
393.25	0.093193
393.50	0.089411
393.75	0.091605
394.00	0.087424
394.25	0.086375
394.50	0.082039
394.75	0.081721
395.00	0.081249
395.25	0.078671
395.50	0.076632
395.75	0.076262
396.00	0.071978
396.25	0.069370
396.50	0.069238
396.75	0.067598
397.00	0.067125
397.25	0.067391
397.50	0.064104
397.75	0.062804
398.00	0.061710
398.25	0.061260
398.50	0.057197
398.75	0.059686
399.00	0.056377
399.25	0.054988
399.50	0.053644
399.75	0.053518
400.00	0.050009
400.25	0.051324
400.50	0.049064
400.75	0.049891
401.00	0.047727
401.25	0.047047
401.50	0.045045
401.75	0.043140
402.00	0.044196
402.25	0.043538
402.50	0.042423
402.75	0.041418
403.00	0.040414
403.25	0.039498
403.50	0.037562
403.75	0.037644
404.00	0.037777
404.25	0.038043
404.50	0.032177
404.75	0.034844
405.00	0.032850
405.25	0.032931
405.50	0.031077
405.75	0.031224
406.00	0.030419
406.25	0.030419
406.50	0.029016
406.75	0.028528
407.00	0.027191
407.25	0.026911
407.50	0.027383
407.75	0.027413
408.00	0.024598
408.25	0.026829
408.50	0.024465
408.75	0.024207
409.00	0.022183
409.25	0.024318
409.50	0.021267
409.75	0.020070
410.00	0.020602
410.25	0.019479
410.50	0.020595
410.75	0.020011
411.00	0.018874
411.25	0.020225
411.50	0.019686
411.75	0.019457
412.00	0.017226
412.25	0.017869
412.50	0.017980
412.75	0.015409
413.00	0.016399
413.25	0.014833
413.50	0.015298
413.75	0.016096
414.00	0.013525
414.25	0.013060
414.50	0.013681
414.75	0.014427
415.00	0.011708
415.25	0.012831
415.50	0.014752
415.75	0.013237
416.00	0.014973
416.25	0.012861
416.50	0.012779
416.75	0.011753
417.00	0.010659
417.25	0.011657
417.50	0.0096842
417.75	0.0086279
418.00	0.0093223
418.25	0.011826
418.50	0.010460
418.75	0.0096769
419.00	0.010608
419.25	0.0082807
419.50	0.0095291
419.75	0.011716
420.00	0.0078523
420.25	0.0093740
420.50	0.0085023
420.75	0.0093149
421.00	0.0069511
421.25	0.0074534
421.50	0.0070397
421.75	0.0075199
422.00	0.0070397
422.25	0.0084506
422.50	0.0061016
422.75	0.0078375
423.00	0.0072466
423.25	0.0060720
423.50	0.0081404
423.75	0.0059834
424.00	0.0085910
424.25	0.0056805
424.50	0.0082586
424.75	0.0046611
425.00	0.0057101
425.25	0.0051191
425.50	0.0052743
425.75	0.0056953
426.00	0.0055550
426.25	0.0039372
426.50	0.0067664
426.75	0.0049197
427.00	0.0055697
427.25	0.0060203
427.50	0.0053481
427.75	0.0044321
428.00	0.0046538
428.25	0.0043287
428.50	0.0062715
428.75	0.0043509
429.00	0.0034201
429.25	0.0026519
429.50	0.0025411
429.75	0.0042992
430.00	0.0041293
430.25	0.0040406
430.50	0.0041219
430.75	0.0046981
431.00	0.0047941
431.25	0.0033610
431.50	0.0041219
431.75	0.0046094
432.00	0.0048237
432.25	0.0037008
432.50	0.0026371
432.75	0.0032502
433.00	0.0025263
433.25	0.0042844
433.50	0.0037452
433.75	0.0020462
434.00	0.0046390
434.25	0.0031394
434.50	0.0039446
434.75	0.0032207
435.00	0.0043435
435.25	0.0044395
435.50	0.0051561
435.75	0.0035531
436.00	0.0031764
436.25	0.0030434
436.50	0.0021274
436.75	0.0046685
437.00	0.0045503
437.25	0.0025337
437.50	0.0036861
437.75	0.0042327
438.00	0.0051782
438.25	0.0022604
438.50	0.0042992
438.75	0.0010859
439.00	0.0024968
439.25	0.0057987
439.50	0.0033610
439.75	0.0028957
440.00	0.0039372
440.25	0.0036565
440.50	0.0034940
440.75	0.0027627
441.00	0.0035014
441.25	0.0030360
441.50	0.0035974
441.75	0.0023860
442.00	0.0041293
442.25	0.0021865
442.50	0.0031542
442.75	0.0019871
443.00	0.0028957
443.25	0.0029991
443.50	0.0027479
443.75	0.0035900
444.00	0.0031542
444.25	0.0019723
444.50	0.0027184
444.75	0.0031099
445.00	0.0020683
445.25	0.0021348
445.50	0.0038929
445.75	0.0013740
446.00	0.0023417
446.25	0.0036417
446.50	0.0019797
446.75	0.0037156
447.00	0.0034571
447.25	0.0030730
447.50	0.0015291
447.75	0.0026224
448.00	0.0023564
448.25	0.0014331
448.50	0.0034497
448.75	0.0026814
449.00	0.0026519
449.25	0.0033167
449.50	0.0037082
449.75	0.0023860
450.00	0.0010342
450.25	0.0022382
450.50	0.0021053
450.75	0.0032429
451.00	0.0020905
451.25	0.0021348
451.50	0.0025559
451.75	0.0028735
452.00	0.0024081
452.25	0.0039077
452.50	0.0022456
452.75	0.0032059
453.00	0.0039446
453.25	0.0024672
453.50	0.0028661
453.75	0.0046390
454.00	0.0029031
454.25	0.0021939
454.50	0.0011006
454.75	0.0027775
455.00	0.0031838
455.25	0.0029474
455.50	0.0032207
455.75	0.0046316
456.00	0.0035753
456.25	0.0035974
456.50	0.0014774
456.75	0.0016694
457.00	0.0014478
457.25	0.0039815
457.50	0.0015660
457.75	0.0019723
458.00	0.0010933
458.25	0.0020831
458.50	0.0012336
458.75	0.0022604
459.00	0.0019132
459.25	0.0023269
459.50	0.0042253
459.75	0.0023269
460.00	0.0034497
460.25	0.0031247
460.50	0.0045060
460.75	0.0020905
461.00	0.0014183
461.25	0.0045208
461.50	0.0019501
461.75	0.0029326
462.00	0.0037230
462.25	0.0015291
462.50	0.0013001
462.75	0.0026002
463.00	0.0029326
463.25	0.0027479
463.50	0.0040111
463.75	0.00031764
464.00	0.0027627
464.25	0.0013592
464.50	0.0011893
464.75	0.0026962
465.00	0.0015143
465.25	0.0040480
465.50	0.0026888
465.75	0.0039372
466.00	0.0033758
466.25	0.0022456
466.50	0.0012853
466.75	0.00089382
467.00	0.0025263
467.25	0.0027627
467.50	0.0027701
467.75	0.0030065
468.00	0.0034792
468.25	0.0035457
468.50	0.0025485
468.75	0.0028144
469.00	0.0019058
469.25	0.0022161
469.50	0.0028735
469.75	0.0039003
470.00	0.0046316
470.25	0.0012927
470.50	0.0036122
470.75	0.0034792
471.00	0.0017950
471.25	0.0029917
471.50	0.0026962
471.75	0.0020388
472.00	0.0023564
472.25	0.0026814
472.50	0.0014331
472.75	0.0023564
473.00	0.0035974
473.25	0.0027996
473.50	0.0027849
473.75	0.00074608
474.00	0.0034866
474.25	0.0026445
474.50	0.0026445
474.75	0.0011302
475.00	0.0024007
475.25	0.0044617
475.50	0.0018541
475.75	0.0031247
476.00	0.00029548
476.25	0.0048680
476.50	0.0018172
476.75	0.0019575
477.00	0.0026150
477.25	0.0021053
477.50	0.0042179
477.75	0.0016916
478.00	0.0030582
478.25	0.0019797
478.50	0.0022013
478.75	0.0030212
479.00	0.0027996
479.25	0.0043657
479.50	0.0042253
479.75	0.0031838
480.00	0.0016325
480.25	0.0022235
480.50	0.0023638
480.75	0.00087904
481.00	0.0040480
481.25	0.0020166
481.50	0.0016694
481.75	0.0038190
482.00	0.0034349
482.25	0.0018320
482.50	0.0021127
482.75	0.0032946
483.00	0.0014774
483.25	0.0034866
483.50	0.0026150
483.75	0.0015586
484.00	0.0035236
484.25	0.0027479
484.50	0.0020314
484.75	0.0025115
485.00	0.0025411
485.25	0.0036565
485.50	0.0031394
485.75	0.0025263
486.00	0.0034571
486.25	0.0034201
486.50	0.0022707
486.75	0.0025559
487.00	0.0015232
487.25	0.0020609
487.50	0.0025928
487.75	0.0015586
488.00	0.0022235
