Wavelength (nm)	P04 abs N
350.00	0.19727
350.25	0.20248
350.50	0.20526
350.75	0.19708
351.00	0.20158
351.25	0.20487
351.50	0.20526
351.75	0.20027
352.00	0.19756
352.25	0.19410
352.50	0.19593
352.75	0.19659
353.00	0.20120
353.25	0.19930
353.50	0.19123
353.75	0.19360
354.00	0.19647
354.25	0.19329
354.50	0.19527
354.75	0.19073
355.00	0.18944
355.25	0.19286
355.50	0.19157
355.75	0.18696
356.00	0.18180
356.25	0.18407
356.50	0.18697
356.75	0.18822
357.00	0.18850
357.25	0.17734
357.50	0.18036
357.75	0.18763
358.00	0.18394
358.25	0.18284
358.50	0.18012
358.75	0.18154
359.00	0.17678
359.25	0.17328
359.50	0.17830
359.75	0.17304
360.00	0.17292
360.25	0.17675
360.50	0.17307
360.75	0.16826
361.00	0.16358
361.25	0.16413
361.50	0.16608
361.75	0.16713
362.00	0.15709
362.25	0.16413
362.50	0.16745
362.75	0.16051
363.00	0.16026
363.25	0.15668
363.50	0.15848
363.75	0.15619
364.00	0.15149
364.25	0.15747
364.50	0.15486
364.75	0.15077
365.00	0.14503
365.25	0.14744
365.50	0.15153
365.75	0.14607
366.00	0.14534
366.25	0.14287
366.50	0.14117
366.75	0.14105
367.00	0.13888
367.25	0.13817
367.50	0.13850
367.75	0.13867
368.00	0.13427
368.25	0.13053
368.50	0.12768
368.75	0.13061
369.00	0.12605
369.25	0.12890
369.50	0.12380
369.75	0.12286
370.00	0.12153
370.25	0.11884
370.50	0.11767
370.75	0.11254
371.00	0.11900
371.25	0.11536
371.50	0.11465
371.75	0.11689
372.00	0.11082
372.25	0.10889
372.50	0.10773
372.75	0.10773
373.00	0.10924
373.25	0.10924
373.50	0.10322
373.75	0.10027
374.00	0.10334
374.25	0.099858
374.50	0.10041
374.75	0.099034
375.00	0.097782
375.25	0.098851
375.50	0.098973
375.75	0.093143
376.00	0.092212
376.25	0.088732
376.50	0.091296
376.75	0.088442
377.00	0.086016
377.25	0.086611
377.50	0.083742
377.75	0.085634
378.00	0.081880
378.25	0.079819
378.50	0.079590
378.75	0.076050
379.00	0.075531
379.25	0.082673
379.50	0.079560
379.75	0.074188
380.00	0.075363
380.25	0.075653
380.50	0.077912
380.75	0.068388
381.00	0.069411
381.25	0.071654
381.50	0.067961
381.75	0.066374
382.00	0.065885
382.25	0.066511
382.50	0.062390
382.75	0.063489
383.00	0.057613
383.25	0.063550
383.50	0.057919
383.75	0.057293
384.00	0.055233
384.25	0.056362
384.50	0.055233
384.75	0.055080
385.00	0.053996
385.25	0.054317
385.50	0.055431
385.75	0.052821
386.00	0.051341
386.25	0.053783
386.50	0.048410
386.75	0.048761
387.00	0.050440
387.25	0.045205
387.50	0.047815
387.75	0.046411
388.00	0.041970
388.25	0.043328
388.50	0.046655
388.75	0.043374
389.00	0.042428
389.25	0.043069
389.50	0.039620
389.75	0.042916
390.00	0.038261
390.25	0.038216
390.50	0.037804
390.75	0.036857
391.00	0.036293
391.25	0.035835
391.50	0.030661
391.75	0.035285
392.00	0.029608
392.25	0.032767
392.50	0.031653
392.75	0.031561
393.00	0.026006
393.25	0.028189
393.50	0.031043
393.75	0.031836
394.00	0.029348
394.25	0.025502
394.50	0.028860
394.75	0.028128
395.00	0.026281
395.25	0.024831
395.50	0.019962
395.75	0.024510
396.00	0.024053
396.25	0.021443
396.50	0.021107
396.75	0.017490
397.00	0.021794
397.25	0.021458
397.50	0.019260
397.75	0.021061
398.00	0.021870
398.25	0.022145
398.50	0.021367
398.75	0.020222
399.00	0.020924
399.25	0.020985
399.50	0.013263
399.75	0.016193
400.00	0.018528
400.25	0.020436
400.50	0.015765
400.75	0.016391
401.00	0.013247
401.25	0.018421
401.50	0.021107
401.75	0.018970
402.00	0.012225
402.25	0.016437
402.50	0.012225
402.75	0.012377
403.00	0.010546
403.25	0.010470
403.50	0.013522
403.75	0.014010
404.00	0.010454
404.25	0.014682
404.50	0.012530
404.75	0.013278
405.00	0.015109
405.25	0.012316
405.50	0.012332
405.75	0.012774
406.00	0.011904
406.25	0.011111
406.50	0.010760
406.75	0.010714
407.00	0.011141
407.25	0.014789
407.50	0.012484
407.75	0.0082109
408.00	0.015918
408.25	0.014682
408.50	0.011889
408.75	0.012393
409.00	0.0088213
409.25	0.015491
409.50	0.013659
409.75	0.010561
410.00	0.011523
410.25	0.013034
410.50	0.010744
