Wavelength (nm)	F14 ems
636.50	0.21671
637.00	0.21471
637.50	0.21137
638.00	0.20895
638.50	0.20650
639.00	0.20446
639.50	0.20164
640.00	0.19962
640.50	0.19694
641.00	0.19511
641.50	0.19233
642.00	0.19038
642.50	0.18807
643.00	0.18599
643.50	0.18402
644.00	0.18194
644.50	0.17991
645.00	0.17797
645.50	0.17563
646.00	0.17421
646.50	0.17190
647.00	0.17027
647.50	0.16818
648.00	0.16620
648.50	0.16371
649.00	0.16224
649.50	0.15989
650.00	0.15790
650.50	0.15587
651.00	0.15439
651.50	0.15280
652.00	0.15083
652.50	0.14876
653.00	0.14796
653.50	0.14589
654.00	0.14450
654.50	0.14251
655.00	0.14114
655.50	0.13960
656.00	0.13784
656.50	0.13619
657.00	0.13512
657.50	0.13345
658.00	0.13177
658.50	0.12982
659.00	0.12896
659.50	0.12695
660.00	0.12589
660.50	0.12405
661.00	0.12243
661.50	0.12092
662.00	0.11957
662.50	0.11794
663.00	0.11677
663.50	0.11497
664.00	0.11378
664.50	0.11218
665.00	0.11116
665.50	0.10956
666.00	0.10855
666.50	0.10726
667.00	0.10629
667.50	0.10501
668.00	0.10350
668.50	0.10256
669.00	0.10142
669.50	0.10006
670.00	0.098596
670.50	0.097401
671.00	0.096504
671.50	0.095048
672.00	0.094002
672.50	0.092852
673.00	0.091751
673.50	0.090598
674.00	0.089395
674.50	0.087883
675.00	0.086938
675.50	0.085813
676.00	0.084910
676.50	0.083381
677.00	0.082506
677.50	0.081486
678.00	0.080321
678.50	0.079250
679.00	0.078516
679.50	0.077540
680.00	0.076355
680.50	0.075149
681.00	0.074683
681.50	0.073706
682.00	0.072485
682.50	0.071482
683.00	0.070887
683.50	0.069711
684.00	0.068750
684.50	0.067758
685.00	0.067006
685.50	0.066073
686.00	0.065643
686.50	0.064566
687.00	0.063713
687.50	0.062929
688.00	0.062238
688.50	0.061395
689.00	0.060923
689.50	0.060218
690.00	0.059256
690.50	0.058643
691.00	0.057717
691.50	0.057235
692.00	0.056570
692.50	0.055752
693.00	0.055148
693.50	0.054430
694.00	0.053862
694.50	0.053061
695.00	0.052403
695.50	0.051791
696.00	0.051178
696.50	0.050396
697.00	0.049755
697.50	0.049227
698.00	0.048524
698.50	0.047830
699.00	0.047280
699.50	0.046700
700.00	0.046181
700.50	0.045465
701.00	0.044911
701.50	0.044284
702.00	0.043973
702.50	0.043295
703.00	0.042982
703.50	0.042408
704.00	0.041670
704.50	0.041086
705.00	0.040581
705.50	0.040214
706.00	0.039581
706.50	0.039112
707.00	0.038645
707.50	0.038019
708.00	0.037530
708.50	0.037160
709.00	0.036437
709.50	0.036032
710.00	0.035561
710.50	0.035067
711.00	0.034762
711.50	0.033899
712.00	0.033985
712.50	0.033483
713.00	0.033076
713.50	0.032728
714.00	0.032088
714.50	0.031735
715.00	0.031316
715.50	0.030746
716.00	0.030602
716.50	0.030011
717.00	0.029576
