Wavelength (nm)	K02 ems
736.50	0.15387
737.00	0.30925
737.50	0.17714
738.00	0.10592
738.50	0.037749
739.00	0.22193
739.50	0.14367
740.00	0.13252
740.50	0.20987
741.00	0.17265
741.50	0.10642
742.00	0.098858
742.50	0.093261
743.00	0.13533
743.50	0.11316
744.00	0.24405
744.50	0.14830
745.00	0.15341
745.50	0.038900
746.00	0.077825
746.50	0.045843
747.00	0.15268
747.50	0.14043
748.00	0.10164
748.50	0.15753
749.00	0.14952
749.50	0.11456
750.00	0.12420
750.50	0.18596
