Wavelength (nm)	T03 abs N
300.00	0.056608
301.00	0.060070
302.00	0.063921
303.00	0.068262
304.00	0.072666
305.00	0.077241
306.00	0.082323
307.00	0.087318
308.00	0.092409
309.00	0.097950
310.00	0.10352
311.00	0.10956
312.00	0.11565
313.00	0.12208
314.00	0.12861
315.00	0.13530
316.00	0.14198
317.00	0.14870
318.00	0.15499
319.00	0.16145
320.00	0.16740
321.00	0.17321
322.00	0.17833
323.00	0.18318
324.00	0.18778
325.00	0.19175
326.00	0.19518
327.00	0.19822
328.00	0.20075
329.00	0.20276
330.00	0.20434
331.00	0.20556
332.00	0.20642
333.00	0.20744
334.00	0.20828
335.00	0.20919
336.00	0.21068
337.00	0.21232
338.00	0.21446
339.00	0.21698
340.00	0.22043
341.00	0.22418
342.00	0.22899
343.00	0.23424
344.00	0.24010
345.00	0.24689
346.00	0.25438
347.00	0.26248
348.00	0.27122
349.00	0.28061
350.00	0.29073
351.00	0.30113
352.00	0.31191
353.00	0.32324
354.00	0.33502
355.00	0.34670
356.00	0.35930
357.00	0.37206
358.00	0.38510
359.00	0.39927
360.00	0.41432
361.00	0.42996
362.00	0.44650
363.00	0.46155
364.00	0.47740
365.00	0.49054
366.00	0.50523
367.00	0.52165
368.00	0.53825
369.00	0.55218
370.00	0.56531
371.00	0.57675
372.00	0.58650
373.00	0.59707
374.00	0.60678
375.00	0.61537
376.00	0.62348
377.00	0.63245
378.00	0.64123
379.00	0.65072
380.00	0.65967
381.00	0.66869
382.00	0.67933
383.00	0.68968
384.00	0.70214
385.00	0.71597
386.00	0.72963
387.00	0.74675
388.00	0.76351
389.00	0.78282
390.00	0.80173
391.00	0.81895
392.00	0.83869
393.00	0.85842
394.00	0.87362
395.00	0.89050
396.00	0.90678
397.00	0.92147
398.00	0.93229
399.00	0.94495
400.00	0.95250
401.00	0.95769
402.00	0.96523
403.00	0.96932
404.00	0.97526
405.00	0.98396
406.00	0.98981
407.00	0.99306
408.00	0.99672
409.00	0.99870
410.00	1.0000
411.00	0.99635
412.00	0.98649
413.00	0.97588
414.00	0.95720
415.00	0.93559
416.00	0.90793
417.00	0.87474
418.00	0.83843
419.00	0.79844
420.00	0.75421
421.00	0.70774
422.00	0.66106
423.00	0.61450
424.00	0.56534
425.00	0.51636
426.00	0.46986
427.00	0.42123
428.00	0.37826
429.00	0.33704
430.00	0.29885
431.00	0.26728
432.00	0.23811
433.00	0.20861
434.00	0.18380
435.00	0.16345
436.00	0.14391
437.00	0.12803
438.00	0.11374
439.00	0.10195
440.00	0.091405
441.00	0.081812
442.00	0.074440
443.00	0.067771
444.00	0.062266
445.00	0.057380
446.00	0.052945
447.00	0.049482
448.00	0.046326
449.00	0.043790
450.00	0.041496
451.00	0.039552
452.00	0.037572
453.00	0.035969
454.00	0.034672
455.00	0.033726
456.00	0.032993
457.00	0.032389
458.00	0.032061
459.00	0.031998
460.00	0.032265
461.00	0.032512
462.00	0.032723
463.00	0.033711
464.00	0.034559
465.00	0.035513
466.00	0.035929
467.00	0.036206
468.00	0.036899
469.00	0.037208
470.00	0.037318
471.00	0.037609
472.00	0.037945
473.00	0.037917
474.00	0.037781
475.00	0.037961
476.00	0.037744
477.00	0.037550
478.00	0.037161
479.00	0.036976
480.00	0.036636
481.00	0.036460
482.00	0.036148
483.00	0.036036
484.00	0.036349
485.00	0.037149
486.00	0.038122
487.00	0.038172
488.00	0.039971
489.00	0.043168
490.00	0.046284
491.00	0.050053
492.00	0.054115
493.00	0.058477
494.00	0.063678
495.00	0.068206
496.00	0.073698
497.00	0.077922
498.00	0.082186
499.00	0.086676
500.00	0.090159
501.00	0.093640
502.00	0.096625
503.00	0.098896
504.00	0.10104
505.00	0.10274
506.00	0.10366
507.00	0.10365
508.00	0.10281
