Wavelength (nm)	N-5, 17372-87-1, Eosin Y.ems
589.00	0.42397
589.50	0.41897
590.00	0.41605
590.50	0.41007
591.00	0.40768
591.50	0.40239
592.00	0.39917
592.50	0.39338
593.00	0.39023
593.50	0.38362
594.00	0.38088
594.50	0.37418
595.00	0.37135
595.50	0.36534
596.00	0.36188
596.50	0.35445
597.00	0.35213
597.50	0.34530
598.00	0.34178
598.50	0.33438
599.00	0.33095
599.50	0.32440
600.00	0.32025
600.50	0.31273
601.00	0.30924
601.50	0.30346
602.00	0.29915
602.50	0.29127
603.00	0.28835
603.50	0.28198
604.00	0.27839
604.50	0.27119
605.00	0.26822
605.50	0.26296
606.00	0.25981
606.50	0.25269
607.00	0.25008
607.50	0.24425
608.00	0.24128
608.50	0.23510
609.00	0.23201
609.50	0.22662
610.00	0.22362
610.50	0.21736
611.00	0.21510
611.50	0.20989
612.00	0.20679
612.50	0.20108
613.00	0.19898
613.50	0.19399
614.00	0.19143
614.50	0.18604
615.00	0.18413
615.50	0.17954
616.00	0.17745
616.50	0.17253
617.00	0.17086
617.50	0.16654
618.00	0.16418
618.50	0.15971
619.00	0.15819
619.50	0.15395
620.00	0.15223
620.50	0.14870
621.00	0.14712
621.50	0.14358
622.00	0.14250
622.50	0.13923
623.00	0.13743
623.50	0.13439
624.00	0.13254
624.50	0.12907
625.00	0.12769
625.50	0.12463
626.00	0.12286
626.50	0.11967
627.00	0.11827
627.50	0.11579
628.00	0.11411
628.50	0.11125
629.00	0.11047
629.50	0.10843
630.00	0.10705
630.50	0.10448
631.00	0.10366
631.50	0.10151
632.00	0.10068
632.50	0.098279
633.00	0.097910
633.50	0.096199
634.00	0.095145
634.50	0.093661
635.00	0.092855
635.50	0.090921
636.00	0.090123
636.50	0.088054
637.00	0.087452
637.50	0.085700
638.00	0.085071
638.50	0.083264
639.00	0.082420
639.50	0.081275
640.00	0.080471
640.50	0.079028
641.00	0.078220
641.50	0.077098
642.00	0.076274
642.50	0.075066
643.00	0.074449
643.50	0.073087
644.00	0.072419
644.50	0.071083
645.00	0.070385
645.50	0.069255
646.00	0.068881
646.50	0.067440
647.00	0.066814
647.50	0.065767
648.00	0.065181
648.50	0.063664
649.00	0.063130
649.50	0.061909
650.00	0.061182
650.50	0.059927
651.00	0.059389
651.50	0.058447
652.00	0.057620
652.50	0.056328
653.00	0.055997
653.50	0.054740
654.00	0.054545
654.50	0.053290
655.00	0.052840
655.50	0.051610
656.00	0.051161
656.50	0.049859
657.00	0.049479
657.50	0.048559
658.00	0.047928
658.50	0.046798
659.00	0.046339
659.50	0.045569
660.00	0.044965
660.50	0.043995
661.00	0.043619
661.50	0.042370
662.00	0.042035
662.50	0.041005
663.00	0.040479
663.50	0.039847
664.00	0.039274
664.50	0.038288
665.00	0.037947
665.50	0.036952
666.00	0.036751
666.50	0.036077
667.00	0.035709
667.50	0.034675
668.00	0.034408
668.50	0.033476
669.00	0.033410
669.50	0.032607
670.00	0.032259
670.50	0.031405
671.00	0.030965
671.50	0.030431
672.00	0.030063
672.50	0.029278
673.00	0.028886
673.50	0.028160
674.00	0.027964
674.50	0.027203
675.00	0.026887
675.50	0.026251
676.00	0.026039
676.50	0.025129
677.00	0.025144
677.50	0.024235
678.00	0.024146
678.50	0.023524
679.00	0.023227
679.50	0.022738
680.00	0.022524
680.50	0.022001
681.00	0.021889
681.50	0.021231
682.00	0.020976
682.50	0.020623
683.00	0.020326
683.50	0.019747
684.00	0.019705
684.50	0.019208
685.00	0.019087
685.50	0.018488
686.00	0.018362
686.50	0.017941
687.00	0.017799
687.50	0.017447
688.00	0.017286
688.50	0.016812
689.00	0.016862
689.50	0.016323
690.00	0.016322
690.50	0.015941
691.00	0.015684
691.50	0.015384
692.00	0.015416
692.50	0.015173
693.00	0.015023
693.50	0.014633
694.00	0.014686
694.50	0.014089
695.00	0.014190
695.50	0.013755
696.00	0.013736
696.50	0.013432
697.00	0.013375
697.50	0.013230
698.00	0.012873
698.50	0.012683
699.00	0.012564
699.50	0.012329
700.00	0.012388
700.50	0.012059
701.00	0.011881
701.50	0.011662
702.00	0.011690
702.50	0.011471
703.00	0.011448
703.50	0.011108
704.00	0.011114
704.50	0.010851
705.00	0.010908
705.50	0.010587
706.00	0.010549
706.50	0.010477
707.00	0.010432
707.50	0.010111
708.00	0.010146
708.50	0.0098308
709.00	0.0098236
709.50	0.0098038
710.00	0.0096223
710.50	0.0094328
711.00	0.0094439
711.50	0.0092272
712.00	0.0091962
712.50	0.0091358
713.00	0.0089142
713.50	0.0089025
714.00	0.0087760
714.50	0.0086560
715.00	0.0087604
715.50	0.0084842
716.00	0.0084975
716.50	0.0083651
717.00	0.0082249
717.50	0.0080945
718.00	0.0081272
718.50	0.0079501
719.00	0.0080724
719.50	0.0080127
720.00	0.0078360
720.50	0.0077301
721.00	0.0076282
721.50	0.0075369
722.00	0.0075555
722.50	0.0073249
723.00	0.0074084
723.50	0.0071982
724.00	0.0072046
724.50	0.0071119
725.00	0.0069790
725.50	0.0069329
726.00	0.0068167
726.50	0.0068697
727.00	0.0067624
727.50	0.0066988
728.00	0.0065696
728.50	0.0064759
729.00	0.0064554
729.50	0.0064782
730.00	0.0064519
730.50	0.0063332
731.00	0.0063350
731.50	0.0061536
732.00	0.0061922
732.50	0.0061084
733.00	0.0061353
733.50	0.0059861
734.00	0.0060088
734.50	0.0058788
735.00	0.0059672
735.50	0.0057914
736.00	0.0058047
736.50	0.0058312
737.00	0.0057436
737.50	0.0056546
738.00	0.0055838
738.50	0.0055023
739.00	0.0055417
739.50	0.0054296
740.00	0.0053709
740.50	0.0053094
741.00	0.0052662
741.50	0.0052116
742.00	0.0051642
742.50	0.0050630
743.00	0.0050541
743.50	0.0048963
744.00	0.0049954
744.50	0.0049736
745.00	0.0047483
745.50	0.0048741
746.00	0.0048290
746.50	0.0046821
747.00	0.0047037
747.50	0.0046724
748.00	0.0046379
748.50	0.0046662
749.00	0.0046219
749.50	0.0046203
750.00	0.0044824
