Wavelength (nm)	A09 ems
270.00	0.19655
271.00	0.24982
272.00	0.17538
273.00	0.30548
274.00	0.27133
275.00	0.28019
276.00	0.21022
277.00	0.34470
278.00	0.21521
279.00	0.28170
280.00	0.31146
281.00	0.37668
282.00	0.39755
283.00	0.44337
284.00	0.48181
285.00	0.49938
286.00	0.54730
287.00	0.56683
288.00	0.68285
289.00	0.65150
290.00	0.74293
291.00	0.75143
292.00	0.82178
293.00	0.82943
294.00	0.85863
295.00	0.88316
296.00	0.94563
297.00	0.93015
298.00	1.00000
299.00	0.93675
300.00	0.86347
301.00	0.85941
302.00	0.86154
303.00	0.91336
304.00	0.88610
305.00	0.81696
306.00	0.78908
307.00	0.78282
308.00	0.81370
309.00	0.74649
310.00	0.75247
311.00	0.62862
312.00	0.68920
313.00	0.59347
314.00	0.50929
315.00	0.55842
316.00	0.46136
317.00	0.41163
318.00	0.38782
319.00	0.40864
320.00	0.37284
321.00	0.32902
322.00	0.27287
323.00	0.24661
324.00	0.24360
325.00	0.22351
326.00	0.23941
327.00	0.18932
328.00	0.20026
329.00	0.17905
330.00	0.13573
331.00	0.15651
332.00	0.14870
333.00	0.10677
334.00	0.079380
335.00	0.10188
336.00	0.10355
337.00	0.079099
338.00	0.045011
339.00	0.068695
340.00	0.061620
341.00	0.029980
342.00	0.035580
343.00	0.029517
344.00	0.030446
345.00	0.013156
346.00	0.019758
347.00	0.014062
348.00	0.023948
349.00	0.0050275
350.00	0.0044801
