Wavelength (nm)	G02 ems
300.00	0.025094
301.00	0.033811
302.00	0.045550
303.00	0.065467
304.00	0.087231
305.00	0.12458
306.00	0.17282
307.00	0.23377
308.00	0.30385
309.00	0.37959
310.00	0.46045
311.00	0.53782
312.00	0.60524
313.00	0.67669
314.00	0.73239
315.00	0.78191
316.00	0.83011
317.00	0.85704
318.00	0.88682
319.00	0.89975
320.00	0.91138
321.00	0.94361
322.00	0.96990
323.00	0.99038
324.00	1.00000
325.00	0.99766
326.00	0.99518
327.00	0.98765
328.00	0.97030
329.00	0.94582
330.00	0.92824
331.00	0.91183
332.00	0.88568
333.00	0.86615
334.00	0.83520
335.00	0.80614
336.00	0.77582
337.00	0.74479
338.00	0.71467
339.00	0.68304
340.00	0.64635
341.00	0.61749
342.00	0.59494
343.00	0.56589
344.00	0.54363
345.00	0.51537
346.00	0.48712
347.00	0.46416
348.00	0.44194
349.00	0.41608
350.00	0.39446
351.00	0.37067
352.00	0.35233
353.00	0.32807
354.00	0.30910
355.00	0.29346
356.00	0.27533
357.00	0.25826
358.00	0.24401
359.00	0.22600
360.00	0.21287
361.00	0.19774
362.00	0.18669
363.00	0.16976
364.00	0.16124
365.00	0.14936
366.00	0.13964
367.00	0.12913
368.00	0.11954
369.00	0.11139
370.00	0.10295
371.00	0.095575
372.00	0.088277
373.00	0.081478
374.00	0.075975
375.00	0.070121
376.00	0.064924
377.00	0.060150
378.00	0.055734
379.00	0.050895
380.00	0.046801
381.00	0.042621
382.00	0.040156
383.00	0.036435
384.00	0.032189
385.00	0.030379
386.00	0.027929
387.00	0.025953
388.00	0.022387
389.00	0.020688
390.00	0.018957
391.00	0.016103
392.00	0.014665
393.00	0.013190
394.00	0.011338
395.00	0.010940
396.00	0.0090557
397.00	0.0079353
398.00	0.0066989
399.00	0.0057393
400.00	0.0049874
