Wavelength (nm)	R01 abs N
300.00	0.10972
301.00	0.10887
302.00	0.10778
303.00	0.10672
304.00	0.10561
305.00	0.10438
306.00	0.10306
307.00	0.10149
308.00	0.099868
309.00	0.098310
310.00	0.096735
311.00	0.095168
312.00	0.093611
313.00	0.092080
314.00	0.090487
315.00	0.088956
316.00	0.087471
317.00	0.086174
318.00	0.084833
319.00	0.083410
320.00	0.082032
321.00	0.080655
322.00	0.079349
323.00	0.077999
324.00	0.076538
325.00	0.075308
326.00	0.074098
327.00	0.072974
328.00	0.071861
329.00	0.071037
330.00	0.070380
331.00	0.069828
332.00	0.069482
333.00	0.069291
334.00	0.069350
335.00	0.069576
336.00	0.070113
337.00	0.070555
338.00	0.071341
339.00	0.072237
340.00	0.073073
341.00	0.074042
342.00	0.075102
343.00	0.076115
344.00	0.077213
345.00	0.078402
346.00	0.079616
347.00	0.080910
348.00	0.082097
349.00	0.083347
350.00	0.084516
351.00	0.085901
352.00	0.087465
353.00	0.088922
354.00	0.090415
355.00	0.092087
356.00	0.093724
357.00	0.095514
358.00	0.097438
359.00	0.098868
360.00	0.10060
361.00	0.10328
362.00	0.10584
363.00	0.10824
364.00	0.11057
365.00	0.11218
366.00	0.11389
367.00	0.11887
368.00	0.12680
369.00	0.13475
370.00	0.14021
371.00	0.14359
372.00	0.14670
373.00	0.15104
374.00	0.15658
375.00	0.16288
376.00	0.16915
377.00	0.17626
378.00	0.18305
379.00	0.19070
380.00	0.19829
381.00	0.20683
382.00	0.21603
383.00	0.22569
384.00	0.23596
385.00	0.24696
386.00	0.25818
387.00	0.26961
388.00	0.28174
389.00	0.29347
390.00	0.30647
391.00	0.32045
392.00	0.33444
393.00	0.34823
394.00	0.36360
395.00	0.38174
396.00	0.40215
397.00	0.42469
398.00	0.45150
399.00	0.47704
400.00	0.50787
401.00	0.54254
402.00	0.57973
403.00	0.61999
404.00	0.66450
405.00	0.71005
406.00	0.75172
407.00	0.79227
408.00	0.83555
409.00	0.87608
410.00	0.90768
411.00	0.93742
412.00	0.96185
413.00	0.98097
414.00	0.99154
415.00	0.99752
416.00	1.00000
417.00	0.99626
418.00	0.98893
419.00	0.97664
420.00	0.96175
421.00	0.94236
422.00	0.92027
423.00	0.89710
424.00	0.87163
425.00	0.84633
426.00	0.82387
427.00	0.80190
428.00	0.78148
429.00	0.76183
430.00	0.74500
431.00	0.73025
432.00	0.71464
433.00	0.69575
434.00	0.67619
435.00	0.65668
436.00	0.63229
437.00	0.60634
438.00	0.57754
439.00	0.54648
440.00	0.51328
441.00	0.47629
442.00	0.44172
443.00	0.40585
444.00	0.36946
445.00	0.33464
446.00	0.30001
447.00	0.26814
448.00	0.23847
449.00	0.21001
450.00	0.18471
451.00	0.16216
452.00	0.14120
453.00	0.12290
454.00	0.10682
455.00	0.091953
456.00	0.079957
457.00	0.069292
458.00	0.060007
459.00	0.052394
460.00	0.046008
461.00	0.040006
462.00	0.035457
463.00	0.031134
464.00	0.026880
465.00	0.024172
466.00	0.021531
467.00	0.020359
468.00	0.018155
469.00	0.016320
470.00	0.015078
471.00	0.013728
472.00	0.012841
473.00	0.012171
474.00	0.011765
475.00	0.011152
476.00	0.011040
477.00	0.011377
478.00	0.011060
479.00	0.011119
480.00	0.011208
481.00	0.011336
482.00	0.011655
483.00	0.012230
484.00	0.012041
485.00	0.012540
486.00	0.014046
487.00	0.016185
488.00	0.016345
489.00	0.014611
490.00	0.014202
491.00	0.014321
492.00	0.014761
493.00	0.015221
494.00	0.016129
495.00	0.016696
496.00	0.017143
497.00	0.017941
498.00	0.019157
499.00	0.019729
500.00	0.020523
501.00	0.021393
502.00	0.022285
503.00	0.023537
504.00	0.024768
505.00	0.025931
506.00	0.026907
507.00	0.027905
508.00	0.029115
509.00	0.030090
510.00	0.031570
511.00	0.032682
512.00	0.033613
513.00	0.034844
514.00	0.036014
515.00	0.036919
516.00	0.037870
517.00	0.038641
518.00	0.039699
519.00	0.040385
520.00	0.041354
521.00	0.041709
522.00	0.042049
523.00	0.042639
524.00	0.043357
525.00	0.043688
526.00	0.044014
527.00	0.044361
528.00	0.044791
529.00	0.045436
530.00	0.046328
531.00	0.047015
532.00	0.047501
533.00	0.048685
534.00	0.050086
535.00	0.051477
536.00	0.052990
537.00	0.054503
538.00	0.056241
539.00	0.058044
540.00	0.060491
541.00	0.062597
542.00	0.064903
543.00	0.067273
544.00	0.069819
545.00	0.072681
546.00	0.075621
547.00	0.078268
548.00	0.080967
549.00	0.084397
550.00	0.087224
551.00	0.090103
552.00	0.092864
553.00	0.095688
554.00	0.098360
555.00	0.10131
556.00	0.10345
557.00	0.10599
558.00	0.10797
559.00	0.11005
560.00	0.11179
561.00	0.11315
562.00	0.11445
563.00	0.11564
564.00	0.11662
565.00	0.11743
566.00	0.11816
567.00	0.11854
568.00	0.11911
569.00	0.11988
570.00	0.12020
571.00	0.12111
572.00	0.12134
573.00	0.12203
574.00	0.12135
575.00	0.12181
576.00	0.12198
577.00	0.12202
578.00	0.12025
579.00	0.12126
580.00	0.11934
581.00	0.11858
582.00	0.11578
583.00	0.11662
584.00	0.11389
585.00	0.10997
586.00	0.10857
587.00	0.10625
588.00	0.10311
589.00	0.10079
590.00	0.097725
591.00	0.094826
592.00	0.092000
593.00	0.088976
594.00	0.087223
595.00	0.085226
596.00	0.082658
597.00	0.081051
598.00	0.079721
599.00	0.078271
600.00	0.078280
601.00	0.078259
602.00	0.078508
603.00	0.079206
604.00	0.079903
605.00	0.081815
606.00	0.083377
607.00	0.085164
608.00	0.087078
609.00	0.089047
610.00	0.090760
611.00	0.092838
612.00	0.094178
613.00	0.095805
614.00	0.096677
615.00	0.097270
616.00	0.097197
617.00	0.096980
618.00	0.095855
619.00	0.094882
620.00	0.093316
621.00	0.092091
622.00	0.090848
623.00	0.088903
624.00	0.087360
625.00	0.085572
626.00	0.083341
627.00	0.081072
628.00	0.078785
629.00	0.077367
630.00	0.076535
631.00	0.076063
632.00	0.075722
633.00	0.075342
634.00	0.075256
635.00	0.075374
636.00	0.075717
637.00	0.075811
638.00	0.076206
639.00	0.076817
640.00	0.078212
641.00	0.079640
642.00	0.081294
643.00	0.082183
644.00	0.083395
645.00	0.084193
646.00	0.084762
647.00	0.084745
648.00	0.084622
649.00	0.084354
650.00	0.083357
651.00	0.081846
652.00	0.080813
653.00	0.078752
654.00	0.075797
655.00	0.077166
656.00	0.075260
657.00	0.071657
658.00	0.068181
659.00	0.062578
660.00	0.059036
661.00	0.055793
662.00	0.052463
663.00	0.049238
664.00	0.045999
665.00	0.042890
666.00	0.040053
667.00	0.037151
668.00	0.034569
669.00	0.032027
670.00	0.029620
671.00	0.027359
672.00	0.025418
673.00	0.023267
674.00	0.021549
675.00	0.019967
676.00	0.018472
677.00	0.017069
678.00	0.016078
679.00	0.014720
680.00	0.013875
681.00	0.012731
682.00	0.011722
683.00	0.011025
684.00	0.010624
685.00	0.010088
686.00	0.0093028
687.00	0.0086621
688.00	0.0082317
689.00	0.0077318
690.00	0.0075287
691.00	0.0071266
692.00	0.0066498
693.00	0.0063825
694.00	0.0060927
695.00	0.0060003
696.00	0.0056532
697.00	0.0056698
698.00	0.0054444
699.00	0.0049805
700.00	0.0048556
701.00	0.0047392
702.00	0.0045688
703.00	0.0045391
704.00	0.0042871
705.00	0.0040978
706.00	0.0039111
707.00	0.0042126
708.00	0.0036903
709.00	0.0034624
710.00	0.0033804
711.00	0.0032889
712.00	0.0031184
713.00	0.0031565
714.00	0.0031646
715.00	0.0028569
716.00	0.0026778
717.00	0.0024989
718.00	0.0027900
719.00	0.0026548
720.00	0.0025916
721.00	0.0023912
722.00	0.0024678
723.00	0.0024055
724.00	0.0025054
725.00	0.0024576
726.00	0.0025575
727.00	0.0024000
728.00	0.0024947
729.00	0.0027259
730.00	0.0026790
731.00	0.0028149
732.00	0.0025569
733.00	0.0025581
734.00	0.0029386
735.00	0.0027243
736.00	0.0025437
737.00	0.0026752
738.00	0.0023452
739.00	0.0026090
740.00	0.0026822
741.00	0.0021625
742.00	0.0023096
743.00	0.0024867
744.00	0.0020829
745.00	0.0022978
746.00	0.0021041
747.00	0.0021156
748.00	0.0021133
749.00	0.0020107
750.00	0.0024418
751.00	0.0019745
752.00	0.0018366
753.00	0.0018867
754.00	0.0019136
755.00	0.0015416
756.00	0.0019341
757.00	0.0021712
758.00	0.0019854
759.00	0.0011344
760.00	0.0018899
761.00	0.0017889
762.00	0.00070120
763.00	0.0013022
764.00	0.0017779
765.00	0.0019258
766.00	0.00083634
767.00	0.00044026
768.00	0.0014034
769.00	0.0019743
770.00	0.0010496
771.00	0.0013846
772.00	0.00087521
773.00	0.00098192
774.00	0.0011153
775.00	0.00091309
776.00	0.0010370
777.00	0.0010287
778.00	0.0011363
779.00	0.0014516
780.00	0.0010726
781.00	0.00096825
782.00	0.0013015
783.00	0.00069004
784.00	0.00066035
785.00	0.00067528
786.00	0.00081286
787.00	0.00087323
788.00	0.0011585
789.00	0.00081646
790.00	0.00043063
791.00	0.00062912
792.00	0.00070929
793.00	0.00063155
794.00	0.0011450
795.00	0.0012165
796.00	0.00036858
797.00	0.00032905
798.00	0.00097293
799.00	0.00078361
800.00	0.00052394
