Wavelength (nm)	B01 abs N
306.25	0.0015558
306.50	-0.00010287
306.75	0.0031245
307.00	0.0029702
307.25	0.0014208
307.50	0.0030410
307.75	0.0031888
308.00	0.0016780
308.25	0.0024945
308.50	0.00075221
308.75	0.00088722
309.00	0.0024623
309.25	0.0022438
309.50	0.0019480
309.75	0.0061269
310.00	0.00017744
310.25	0.0015044
310.50	0.00027002
310.75	-0.00063648
311.00	0.0015848
311.25	0.0011084
311.50	-0.00035360
311.75	0.0016394
312.00	0.0043589
312.25	9.6437e-05
312.50	0.00084286
312.75	0.0019866
313.00	0.0034653
313.25	-0.00037289
313.50	0.0033367
313.75	0.0056898
314.00	0.0016780
314.25	0.0016909
314.50	0.0047061
314.75	0.00081650
315.00	0.0053169
315.25	0.0023466
315.50	0.00023145
315.75	0.00082293
316.00	0.0038189
316.25	0.0012472
316.50	0.0034139
316.75	-0.00046933
317.00	0.00047575
317.25	0.0030153
317.50	0.0026552
317.75	0.00086793
318.00	0.00098301
318.25	0.0045775
318.50	0.0035424
318.75	0.0023016
319.00	0.0019223
319.25	0.00027067
319.50	0.00010287
319.75	0.0018644
320.00	0.00082936
320.25	0.0013308
320.50	0.0015687
320.75	0.00037610
321.00	0.0029317
321.25	0.0010544
321.50	0.0019480
321.75	0.00078435
322.00	0.00085507
322.25	0.0034396
322.50	0.0014273
322.75	0.00045026
323.00	0.0046868
323.25	0.0030538
323.50	0.0011058
323.75	0.0022245
324.00	0.0040632
324.25	0.0022695
324.50	0.0051433
324.75	0.0016266
325.00	0.0036196
325.25	0.00057219
325.50	0.0051819
325.75	0.0048347
326.00	0.0047318
326.25	0.00050790
326.50	0.0016008
326.75	0.0013887
327.00	0.00089365
327.25	0.00065577
327.50	0.00070527
327.75	0.0014015
328.00	0.0026359
328.25	0.0038510
328.50	0.0013630
328.75	0.00040503
329.00	1.9287e-05
329.25	0.0016137
329.50	7.0720e-05
329.75	2.5716e-05
330.00	0.0014401
330.25	0.00033946
330.50	0.0028352
330.75	0.0034524
331.00	0.00010801
331.25	0.00044361
331.50	0.0019480
331.75	0.0019223
332.00	0.0044554
332.25	0.0023145
332.50	-6.4291e-05
332.75	0.00067506
333.00	0.0032210
333.25	0.0014080
333.50	0.0038446
333.75	0.0020573
334.00	0.0034267
334.25	0.0022566
334.50	0.0023145
334.75	0.00066863
335.00	0.0024238
335.25	0.0020895
335.50	0.0015880
335.75	-0.00073935
336.00	0.0017037
336.25	0.0032210
336.50	0.0025331
336.75	0.0023723
337.00	0.0011315
337.25	0.00071363
337.50	0.0029767
337.75	0.0015237
338.00	0.0015816
338.25	0.0011380
338.50	0.00092579
338.75	-0.00011572
339.00	0.0027259
339.25	0.00048218
339.50	0.00054005
339.75	0.0011637
340.00	0.0030153
340.25	0.0038768
340.50	0.0019030
340.75	0.0037546
341.00	0.00081650
341.25	-0.00032146
341.50	0.0054905
341.75	0.0019030
342.00	0.00093865
342.25	-3.8575e-05
342.50	0.0025009
342.75	0.0019995
343.00	0.0016716
343.25	0.0016073
343.50	0.0013244
343.75	0.0013758
344.00	0.0043332
344.25	0.0019802
344.50	0.0058376
344.75	0.0015044
345.00	0.00015430
345.25	0.0042496
345.50	-0.00034074
345.75	0.0026681
346.00	0.0034396
346.25	0.0027452
346.50	0.0016973
346.75	0.0021280
347.00	0.0011315
347.25	0.00010737
347.50	-0.00085507
347.75	0.0012280
348.00	0.00032885
348.25	0.0043718
348.50	0.0019866
348.75	0.0033689
349.00	0.0011058
349.25	0.0014273
349.50	0.0013823
349.75	0.00068149
350.00	0.00012215
350.25	0.0021216
350.50	0.0028738
350.75	0.0013244
351.00	0.0024559
351.25	0.00046290
351.50	0.0047254
351.75	0.0033753
352.00	0.0015044
352.25	0.00062362
352.50	0.0011508
352.75	0.00088722
353.00	0.00084221
353.25	0.00099651
353.50	0.0020123
353.75	0.0024366
354.00	0.0023016
354.25	0.0024366
354.50	0.0026874
354.75	0.0015558
355.00	0.00028931
355.25	0.0026038
355.50	0.0027002
355.75	0.0037032
356.00	0.0021795
356.25	0.00072006
356.50	0.0038189
356.75	-0.00085057
357.00	0.0012408
357.25	0.0042754
357.50	0.0010479
357.75	0.0021666
358.00	-0.00073292
358.25	0.00014144
358.50	0.0043075
358.75	0.0021345
359.00	0.0024173
359.25	0.00071363
359.50	0.0010158
359.75	0.0012730
360.00	0.00086793
360.25	0.0024302
360.50	0.0011251
360.75	0.0021023
361.00	0.0018644
361.25	0.00024431
361.50	0.0015237
361.75	0.0030988
362.00	0.0024238
362.25	0.00041146
362.50	0.0029638
362.75	0.00016716
363.00	0.00027002
363.25	0.0012022
363.50	0.0026295
363.75	0.0042175
364.00	0.0042689
364.25	0.0019287
364.50	0.0037160
364.75	0.0028995
365.00	0.0028352
365.25	0.0019866
365.50	0.0022695
365.75	0.0037225
366.00	0.0020123
366.25	0.0019480
366.50	0.00070720
366.75	0.0010351
367.00	0.0027195
367.25	0.0015880
367.50	0.0019802
367.75	0.0017166
368.00	0.00090650
368.25	4.5004e-05
368.50	0.0021280
368.75	0.0027131
369.00	0.0016459
369.25	0.0020187
369.50	0.0020702
369.75	0.0034781
370.00	0.0010544
370.25	0.00099008
370.50	0.0012987
370.75	0.0025845
371.00	0.0013115
371.25	0.0018966
371.50	0.0026295
371.75	0.0022116
372.00	0.0047254
372.25	0.0019352
372.50	0.00095794
372.75	0.0018002
373.00	0.0029895
373.25	0.0016073
373.50	0.0037353
373.75	0.00095794
374.00	0.0028545
374.25	0.00097722
374.50	0.0018259
374.75	0.0019223
375.00	0.0033239
375.25	0.0033431
375.50	0.0016716
375.75	0.0025009
376.00	0.00087436
376.25	0.00049504
376.50	0.00063648
376.75	0.0023659
377.00	0.00084864
377.25	0.00097722
377.50	0.0015237
377.75	0.0014530
378.00	0.0027902
378.25	0.0022502
378.50	0.0019287
378.75	0.0021023
379.00	0.0017166
379.25	0.0026038
379.50	0.0021538
379.75	0.0020316
380.00	0.0028674
380.25	0.00015430
380.50	0.0028288
380.75	0.0011894
381.00	0.0012151
381.25	-0.0011315
381.50	0.0032660
381.75	0.0021409
382.00	0.0027774
382.25	0.0021152
382.50	0.0022823
382.75	0.0019544
383.00	0.0018773
383.25	0.0012472
383.50	0.0028481
383.75	0.0020573
384.00	0.0020316
384.25	0.0036260
384.50	0.00081650
384.75	0.00085507
385.00	0.0010479
385.25	0.0023531
385.50	0.0037675
385.75	0.0015301
386.00	0.0014080
386.25	0.0017294
386.50	0.0026745
386.75	0.0021666
387.00	-0.00092579
387.25	0.0017037
387.50	-0.00025074
387.75	0.0013244
388.00	0.00028931
388.25	0.0014594
388.50	0.0025845
388.75	0.0015687
389.00	0.0029574
389.25	0.0021602
389.50	0.0013887
389.75	0.0018902
390.00	0.0034589
390.25	0.0026102
390.50	0.0016587
390.75	0.0023981
391.00	0.0018002
391.25	0.0015301
391.50	0.0036710
391.75	0.0011058
392.00	0.0030667
392.25	0.0024752
392.50	0.0030603
392.75	0.0023981
393.00	0.0010029
393.25	0.0017487
393.50	0.0015173
393.75	0.00093865
394.00	0.0011380
394.25	-5.7862e-05
394.50	0.0022502
394.75	0.0040439
395.00	0.0032210
395.25	0.0023916
395.50	5.7862e-05
395.75	0.0019673
396.00	0.0016780
396.25	0.0015044
396.50	0.0021538
396.75	-0.00092579
397.00	0.0015108
397.25	0.0019544
397.50	0.0029381
397.75	0.00078435
398.00	0.0011508
398.25	0.0022116
398.50	0.00096437
398.75	9.0008e-05
399.00	0.0043654
399.25	0.0021923
399.50	0.00089365
399.75	0.0016266
400.00	0.0022373
