Wavelength (nm)	B03 ems
300.00	0.023515
300.50	0.022206
301.00	0.021073
301.50	0.019745
302.00	0.019365
302.50	0.018708
303.00	0.018238
303.50	0.017835
304.00	0.017563
304.50	0.017270
305.00	0.017005
305.50	0.016515
306.00	0.016348
306.50	0.015934
307.00	0.015493
307.50	0.015204
308.00	0.014966
308.50	0.014615
309.00	0.014335
309.50	0.014023
310.00	0.013684
310.50	0.013652
311.00	0.013678
311.50	0.013792
312.00	0.013760
312.50	0.013808
313.00	0.013884
313.50	0.014121
314.00	0.014292
314.50	0.014921
315.00	0.015476
315.50	0.016776
316.00	0.017433
316.50	0.018844
317.00	0.019760
317.50	0.021394
318.00	0.022204
318.50	0.023540
319.00	0.024314
319.50	0.025720
320.00	0.026468
320.50	0.028286
321.00	0.029574
321.50	0.031679
322.00	0.032484
322.50	0.034206
323.00	0.035826
323.50	0.038290
324.00	0.039574
324.50	0.042247
325.00	0.044422
325.50	0.048308
326.00	0.050450
326.50	0.055046
327.00	0.058399
327.50	0.064702
328.00	0.068635
328.50	0.076245
329.00	0.082120
329.50	0.093076
330.00	0.10056
330.50	0.11495
331.00	0.12465
331.50	0.14354
332.00	0.15487
332.50	0.17477
333.00	0.18895
333.50	0.21765
334.00	0.23341
334.50	0.26243
335.00	0.28317
335.50	0.32112
336.00	0.34134
336.50	0.37788
337.00	0.40401
337.50	0.45084
338.00	0.47170
338.50	0.51656
339.00	0.54607
339.50	0.59170
340.00	0.61589
340.50	0.65521
341.00	0.68561
341.50	0.72447
342.00	0.74572
342.50	0.77576
343.00	0.79820
343.50	0.82946
344.00	0.84440
344.50	0.86413
345.00	0.87749
345.50	0.89507
346.00	0.89922
346.50	0.90719
347.00	0.90932
347.50	0.90951
348.00	0.91001
348.50	0.90513
349.00	0.89659
349.50	0.88796
350.00	0.88326
350.50	0.87453
351.00	0.86592
351.50	0.85469
352.00	0.84993
352.50	0.84542
353.00	0.84132
353.50	0.83996
354.00	0.84288
354.50	0.84433
355.00	0.84764
355.50	0.85875
356.00	0.86576
356.50	0.87893
357.00	0.88905
357.50	0.90575
358.00	0.91405
358.50	0.93063
359.00	0.94314
359.50	0.96051
360.00	0.96528
360.50	0.97813
361.00	0.98734
361.50	0.99553
362.00	0.99671
362.50	1.00000
363.00	0.99963
363.50	0.99822
364.00	0.99102
364.50	0.98357
365.00	0.97540
365.50	0.96202
366.00	0.95511
366.50	0.94097
367.00	0.92819
367.50	0.90858
368.00	0.89929
368.50	0.87883
369.00	0.86637
369.50	0.84302
370.00	0.83008
370.50	0.81258
371.00	0.79708
371.50	0.77714
372.00	0.76803
372.50	0.74991
373.00	0.73899
373.50	0.72324
374.00	0.71444
374.50	0.70406
375.00	0.69568
375.50	0.68559
376.00	0.68118
376.50	0.67304
377.00	0.66921
377.50	0.66183
378.00	0.65899
378.50	0.65360
379.00	0.65262
379.50	0.64798
380.00	0.64350
380.50	0.63742
381.00	0.63319
381.50	0.62792
382.00	0.62343
382.50	0.61513
383.00	0.60947
383.50	0.59967
384.00	0.59402
384.50	0.58409
385.00	0.57604
385.50	0.56504
386.00	0.55968
386.50	0.54839
387.00	0.53991
387.50	0.52592
388.00	0.52128
388.50	0.50906
389.00	0.50034
389.50	0.48467
390.00	0.47989
390.50	0.46667
391.00	0.45776
391.50	0.44147
392.00	0.43486
392.50	0.42290
393.00	0.41422
393.50	0.40040
394.00	0.39382
394.50	0.38346
395.00	0.37466
395.50	0.36357
396.00	0.35570
396.50	0.34780
397.00	0.34177
397.50	0.33100
398.00	0.32675
398.50	0.31899
399.00	0.31333
399.50	0.30655
400.00	0.30249
400.50	0.29416
401.00	0.28943
401.50	0.28285
402.00	0.27886
402.50	0.27292
403.00	0.26841
403.50	0.26149
404.00	0.25819
404.50	0.25262
405.00	0.24863
405.50	0.24176
406.00	0.23907
406.50	0.23343
407.00	0.22862
407.50	0.22331
408.00	0.21995
408.50	0.21429
409.00	0.20993
409.50	0.20350
410.00	0.19982
410.50	0.19342
411.00	0.18965
411.50	0.18348
412.00	0.18032
412.50	0.17481
413.00	0.17041
413.50	0.16493
414.00	0.16255
414.50	0.15701
415.00	0.15345
415.50	0.14786
416.00	0.14559
416.50	0.14037
417.00	0.13705
417.50	0.13193
418.00	0.12979
418.50	0.12564
419.00	0.12330
419.50	0.11877
420.00	0.11636
420.50	0.11282
421.00	0.11018
421.50	0.10639
422.00	0.10486
422.50	0.10197
423.00	0.099907
423.50	0.096834
424.00	0.094707
424.50	0.091533
425.00	0.090642
425.50	0.087493
426.00	0.086180
426.50	0.083471
427.00	0.082209
427.50	0.078887
428.00	0.077432
428.50	0.075343
429.00	0.073918
429.50	0.072102
430.00	0.070506
430.50	0.068157
431.00	0.066867
431.50	0.064760
432.00	0.063635
432.50	0.062197
433.00	0.060712
433.50	0.058604
434.00	0.057630
434.50	0.055904
435.00	0.054769
435.50	0.052872
436.00	0.051978
436.50	0.050383
437.00	0.049330
437.50	0.047755
438.00	0.047108
438.50	0.045477
439.00	0.044647
439.50	0.043140
440.00	0.042268
440.50	0.040991
441.00	0.040206
441.50	0.038903
442.00	0.038269
442.50	0.037035
443.00	0.036222
443.50	0.035015
444.00	0.034240
444.50	0.033156
445.00	0.032455
445.50	0.031236
446.00	0.030762
446.50	0.029931
447.00	0.029050
447.50	0.028064
448.00	0.027760
448.50	0.026682
449.00	0.026175
449.50	0.025144
450.00	0.024559
450.50	0.023986
451.00	0.023376
451.50	0.022567
452.00	0.022151
452.50	0.021435
453.00	0.020625
453.50	0.020041
454.00	0.019804
454.50	0.019021
455.00	0.018648
455.50	0.017836
456.00	0.017791
456.50	0.017156
457.00	0.016803
457.50	0.016178
458.00	0.015818
458.50	0.015366
459.00	0.015055
459.50	0.014661
460.00	0.014377
460.50	0.013896
461.00	0.013799
461.50	0.013268
462.00	0.013146
462.50	0.012843
463.00	0.012541
463.50	0.012108
464.00	0.011954
464.50	0.011678
465.00	0.011478
465.50	0.011204
466.00	0.010963
466.50	0.010769
467.00	0.010483
467.50	0.010085
468.00	0.010109
468.50	0.0098234
469.00	0.0095659
469.50	0.0093301
470.00	0.0091469
470.50	0.0089550
471.00	0.0087758
471.50	0.0084532
472.00	0.0082929
472.50	0.0081112
473.00	0.0079757
473.50	0.0077575
474.00	0.0075292
474.50	0.0073355
475.00	0.0072751
475.50	0.0070045
476.00	0.0068955
476.50	0.0066979
477.00	0.0065972
477.50	0.0063181
478.00	0.0062962
478.50	0.0060210
479.00	0.0058609
479.50	0.0057503
480.00	0.0056624
480.50	0.0054308
481.00	0.0052136
481.50	0.0051839
482.00	0.0052259
482.50	0.0050101
483.00	0.0048882
483.50	0.0047592
484.00	0.0046843
484.50	0.0046283
485.00	0.0045476
485.50	0.0044351
486.00	0.0043011
486.50	0.0041984
487.00	0.0041070
487.50	0.0039992
488.00	0.0039786
488.50	0.0039197
489.00	0.0038244
489.50	0.0038427
490.00	0.0037387
490.50	0.0035724
491.00	0.0036199
491.50	0.0035343
492.00	0.0034418
492.50	0.0034604
493.00	0.0033600
493.50	0.0032850
