Wavelength (nm)	I13 abs N
548.00	0.071952
549.00	0.074533
550.00	0.076879
551.00	0.080098
552.00	0.083021
553.00	0.086501
554.00	0.089627
555.00	0.093037
556.00	0.096068
557.00	0.099916
558.00	0.10349
559.00	0.10706
560.00	0.11059
561.00	0.11447
562.00	0.11878
563.00	0.12256
564.00	0.12702
565.00	0.13173
566.00	0.13617
567.00	0.14131
568.00	0.14613
569.00	0.15141
570.00	0.15645
571.00	0.16207
572.00	0.16737
573.00	0.17343
574.00	0.18016
575.00	0.18628
576.00	0.19284
577.00	0.20050
578.00	0.20751
579.00	0.21436
580.00	0.22281
581.00	0.23099
582.00	0.23839
583.00	0.24589
584.00	0.25608
585.00	0.26512
586.00	0.27303
587.00	0.28369
588.00	0.29304
589.00	0.30220
590.00	0.31319
591.00	0.32355
592.00	0.33469
593.00	0.34494
594.00	0.35488
595.00	0.36520
596.00	0.37434
597.00	0.38513
598.00	0.39442
599.00	0.40396
600.00	0.41213
601.00	0.42025
602.00	0.42820
603.00	0.43585
604.00	0.44255
605.00	0.44936
606.00	0.45579
607.00	0.46222
608.00	0.46788
609.00	0.47376
610.00	0.47976
611.00	0.48533
612.00	0.49117
613.00	0.49689
614.00	0.50266
615.00	0.50892
616.00	0.51496
617.00	0.52169
618.00	0.52944
619.00	0.53729
620.00	0.54594
621.00	0.55472
622.00	0.56507
623.00	0.57535
624.00	0.58570
625.00	0.59773
626.00	0.61032
627.00	0.62355
628.00	0.63665
629.00	0.65158
630.00	0.66588
631.00	0.68029
632.00	0.69536
633.00	0.71052
634.00	0.72333
635.00	0.73787
636.00	0.75394
637.00	0.77010
638.00	0.78720
639.00	0.80266
640.00	0.81926
641.00	0.83430
642.00	0.84848
643.00	0.86673
644.00	0.88156
645.00	0.89557
646.00	0.91355
647.00	0.92945
648.00	0.94147
649.00	0.95580
650.00	0.97067
651.00	0.98398
652.00	0.99297
653.00	1.0000
654.00	0.99900
655.00	0.99769
656.00	0.99678
657.00	0.99148
658.00	0.97040
659.00	0.94352
660.00	0.91450
661.00	0.88073
662.00	0.84322
663.00	0.80574
664.00	0.76226
665.00	0.71504
666.00	0.66754
667.00	0.62219
668.00	0.57524
669.00	0.52990
670.00	0.48660
671.00	0.44606
672.00	0.40688
673.00	0.37215
674.00	0.33900
675.00	0.30798
676.00	0.27960
677.00	0.25414
678.00	0.23049
679.00	0.20920
680.00	0.18966
681.00	0.17166
682.00	0.15522
683.00	0.14017
684.00	0.12563
685.00	0.11296
686.00	0.10170
687.00	0.091441
688.00	0.081822
689.00	0.072554
690.00	0.064945
691.00	0.057814
692.00	0.051136
693.00	0.045564
694.00	0.040448
695.00	0.036005
696.00	0.031906
697.00	0.028395
698.00	0.025100
699.00	0.022485
700.00	0.019893
701.00	0.017971
702.00	0.016134
703.00	0.014517
704.00	0.012909
705.00	0.011569
706.00	0.010485
707.00	0.0093420
708.00	0.0089000
709.00	0.0081511
710.00	0.0071381
711.00	0.0070364
712.00	0.0060680
713.00	0.0056141
714.00	0.0054583
715.00	0.0048010
716.00	0.0042555
717.00	0.0044482
718.00	0.0042775
719.00	0.0039896
720.00	0.0035518
721.00	0.0034025
722.00	0.0032627
723.00	0.0027577
724.00	0.0030807
725.00	0.0028368
726.00	0.0026839
727.00	0.0022533
728.00	0.0025548
729.00	0.0026048
730.00	0.0023823
731.00	0.0024269
732.00	0.0020403
733.00	0.0019255
734.00	0.0020445
735.00	0.0020599
736.00	0.0020974
737.00	0.0022533
738.00	0.0022604
739.00	0.0019695
740.00	0.0020903
741.00	0.0019148
742.00	0.0017714
743.00	0.0019106
744.00	0.0018636
745.00	0.0017066
746.00	0.0018535
747.00	0.0019261
748.00	0.0016370
749.00	0.0018250
750.00	0.0016965
751.00	0.0016703
752.00	0.0016180
753.00	0.0016388
754.00	0.0016715
755.00	0.0018964
756.00	0.0016584
757.00	0.0017233
758.00	0.0015359
759.00	0.0015157
760.00	0.0016281
761.00	0.0018666
762.00	0.0011837
763.00	0.0021539
764.00	0.0017970
765.00	0.0018696
766.00	0.0018482
767.00	0.0014954
768.00	0.0015781
769.00	0.0017435
770.00	0.0014687
771.00	0.0014913
772.00	0.0016626
773.00	0.0015507
774.00	0.0016590
775.00	0.0013848
776.00	0.0016650
777.00	0.0014056
778.00	0.0013122
779.00	0.0014740
780.00	0.0015615
781.00	0.0015264
782.00	0.0013164
783.00	0.0012509
784.00	0.0013788
785.00	0.0013533
786.00	0.0015287
787.00	0.0015400
788.00	0.0013598
789.00	0.0014627
790.00	0.0013503
791.00	0.0017619
792.00	0.0013955
793.00	0.0011332
794.00	0.0014550
795.00	0.0013890
796.00	0.0013711
797.00	0.0017583
798.00	0.0011998
799.00	0.0011611
800.00	0.0014764
