Wavelength (nm)	I18 abs N
308.25	0.12161
308.50	0.12332
308.75	0.12397
309.00	0.12566
309.25	0.12665
309.50	0.12733
309.75	0.12935
310.00	0.12562
310.25	0.13248
310.50	0.12791
310.75	0.12500
311.00	0.14275
311.25	0.13608
311.50	0.13638
311.75	0.13591
312.00	0.13783
312.25	0.12832
312.50	0.13766
312.75	0.14118
313.00	0.13984
313.25	0.14182
313.50	0.14330
313.75	0.14610
314.00	0.14512
314.25	0.14880
314.50	0.14961
314.75	0.14311
315.00	0.14722
315.25	0.15549
315.50	0.14938
315.75	0.15324
316.00	0.14643
316.25	0.14867
316.50	0.15055
316.75	0.15764
317.00	0.15432
317.25	0.15399
317.50	0.15593
317.75	0.15228
318.00	0.15133
318.25	0.14967
318.50	0.15106
318.75	0.15070
319.00	0.15519
319.25	0.15611
319.50	0.15440
319.75	0.15442
320.00	0.15554
320.25	0.14394
320.50	0.14819
320.75	0.15233
321.00	0.14935
321.25	0.14941
321.50	0.14710
321.75	0.15019
322.00	0.14700
322.25	0.14596
322.50	0.14514
322.75	0.14079
323.00	0.14110
323.25	0.14211
323.50	0.14287
323.75	0.13979
324.00	0.13924
324.25	0.13688
324.50	0.13636
324.75	0.13053
325.00	0.13101
325.25	0.13266
325.50	0.12667
325.75	0.12587
326.00	0.12309
326.25	0.11793
326.50	0.12359
326.75	0.11807
327.00	0.11973
327.25	0.11649
327.50	0.12082
327.75	0.11002
328.00	0.11318
328.25	0.11418
328.50	0.10782
328.75	0.10739
329.00	0.10707
329.25	0.10801
329.50	0.10319
329.75	0.099241
330.00	0.10093
330.25	0.10174
330.50	0.097588
330.75	0.095082
331.00	0.095275
331.25	0.093849
331.50	0.085959
331.75	0.088595
332.00	0.092213
332.25	0.094171
332.50	0.087047
332.75	0.085895
333.00	0.084944
333.25	0.081922
333.50	0.078819
333.75	0.081132
334.00	0.077425
334.25	0.077409
334.50	0.076667
334.75	0.075958
335.00	0.076224
335.25	0.070800
335.50	0.073435
335.75	0.072742
336.00	0.069817
336.25	0.070881
336.50	0.069817
336.75	0.067020
337.00	0.069221
337.25	0.068632
337.50	0.064466
337.75	0.067004
338.00	0.064514
338.25	0.064756
338.50	0.062749
338.75	0.063595
339.00	0.059614
339.25	0.064571
339.50	0.062104
339.75	0.056882
340.00	0.061484
340.25	0.057994
340.50	0.056399
340.75	0.059735
341.00	0.057398
341.25	0.054126
341.50	0.055512
341.75	0.056447
342.00	0.050056
342.25	0.053554
342.50	0.048896
342.75	0.050532
343.00	0.051491
343.25	0.055585
343.50	0.048823
343.75	0.049468
344.00	0.052990
344.25	0.051217
344.50	0.047808
344.75	0.047590
345.00	0.049911
345.25	0.046325
345.50	0.044705
345.75	0.046397
346.00	0.043077
346.25	0.047244
346.50	0.048710
346.75	0.043150
347.00	0.044060
347.25	0.045833
347.50	0.045454
347.75	0.045100
348.00	0.042948
348.25	0.046647
348.50	0.042150
348.75	0.043295
349.00	0.041876
349.25	0.042448
349.50	0.046309
349.75	0.043810
350.00	0.047227
350.25	0.043681
350.50	0.042037
350.75	0.042037
351.00	0.043867
351.25	0.045591
351.50	0.045753
351.75	0.042827
352.00	0.045132
352.25	0.041369
352.50	0.043504
352.75	0.042432
353.00	0.041159
353.25	0.040514
353.50	0.040127
353.75	0.043416
354.00	0.039724
354.25	0.041812
354.50	0.040418
354.75	0.042819
355.00	0.037081
355.25	0.040289
355.50	0.044802
355.75	0.039459
356.00	0.039257
356.25	0.044447
356.50	0.041868
356.75	0.041570
357.00	0.038645
357.25	0.041957
357.50	0.039700
357.75	0.039716
358.00	0.036058
358.25	0.037283
358.50	0.038217
358.75	0.037073
359.00	0.038637
359.25	0.038387
359.50	0.036106
359.75	0.038911
360.00	0.038016
360.25	0.038153
360.50	0.038145
360.75	0.036130
361.00	0.037275
361.25	0.033535
361.50	0.034059
361.75	0.034575
362.00	0.035751
362.25	0.034277
362.50	0.037170
362.75	0.034510
363.00	0.035993
363.25	0.035381
363.50	0.033543
363.75	0.030851
364.00	0.032568
364.25	0.029820
364.50	0.031383
364.75	0.030191
365.00	0.029925
365.25	0.029796
365.50	0.031851
365.75	0.029409
366.00	0.030360
366.25	0.027982
366.50	0.029868
366.75	0.030078
367.00	0.027982
367.25	0.026790
367.50	0.030610
367.75	0.026983
368.00	0.029417
368.25	0.029417
368.50	0.027185
368.75	0.028023
369.00	0.028974
369.25	0.024710
369.50	0.028756
369.75	0.027555
370.00	0.025734
370.25	0.029884
370.50	0.026338
370.75	0.025097
371.00	0.027684
371.25	0.022744
371.50	0.028023
371.75	0.024001
372.00	0.024074
372.25	0.024936
372.50	0.024340
372.75	0.025629
373.00	0.025371
373.25	0.027394
373.50	0.025194
373.75	0.024727
374.00	0.025686
374.25	0.024308
374.50	0.022454
374.75	0.024614
375.00	0.024219
375.25	0.024299
375.50	0.025081
375.75	0.025420
376.00	0.025154
376.25	0.025702
376.50	0.024767
376.75	0.024324
377.00	0.023727
377.25	0.023784
377.50	0.023695
377.75	0.024767
378.00	0.026935
378.25	0.022156
378.50	0.024114
378.75	0.024533
379.00	0.023647
379.25	0.021777
379.50	0.023099
379.75	0.024598
380.00	0.024042
380.25	0.020399
380.50	0.022591
380.75	0.025387
381.00	0.023357
381.25	0.021326
381.50	0.024251
381.75	0.021197
382.00	0.021809
382.25	0.022212
382.50	0.020794
382.75	0.021205
383.00	0.020060
383.25	0.022954
383.50	0.021326
383.75	0.019859
384.00	0.022744
384.25	0.022518
384.50	0.020286
384.75	0.023840
385.00	0.021229
385.25	0.020963
385.50	0.021987
385.75	0.020036
386.00	0.023002
386.25	0.021285
386.50	0.024622
386.75	0.022696
387.00	0.021793
387.25	0.022518
387.50	0.021310
387.75	0.026089
388.00	0.023574
388.25	0.023220
388.50	0.024283
388.75	0.022841
389.00	0.024582
389.25	0.023461
389.50	0.025283
389.75	0.023502
390.00	0.026782
390.25	0.022333
390.50	0.022430
390.75	0.024791
391.00	0.024888
391.25	0.026532
391.50	0.024485
391.75	0.023260
392.00	0.025678
392.25	0.027056
392.50	0.023518
392.75	0.027249
393.00	0.024775
393.25	0.026177
393.50	0.027386
393.75	0.024791
394.00	0.026379
394.25	0.026548
394.50	0.027467
394.75	0.027773
395.00	0.027604
395.25	0.027628
395.50	0.028724
395.75	0.028466
396.00	0.029151
396.25	0.027031
396.50	0.027507
396.75	0.027491
397.00	0.029409
397.25	0.030706
397.50	0.028877
397.75	0.029304
398.00	0.031174
398.25	0.030569
398.50	0.033019
398.75	0.031609
399.00	0.032810
399.25	0.031988
399.50	0.031794
399.75	0.032504
400.00	0.033044
400.25	0.033019
400.50	0.033463
400.75	0.032447
401.00	0.031190
401.25	0.033446
401.50	0.031956
401.75	0.032761
402.00	0.033495
402.25	0.035461
402.50	0.035542
402.75	0.034631
403.00	0.035082
403.25	0.036001
403.50	0.034301
403.75	0.032818
404.00	0.035042
404.25	0.035759
404.50	0.036243
404.75	0.035066
405.00	0.036823
405.25	0.035228
405.50	0.037234
405.75	0.037291
406.00	0.038765
406.25	0.037009
406.50	0.038153
406.75	0.037073
407.00	0.039990
407.25	0.037589
407.50	0.039459
407.75	0.038209
408.00	0.037831
408.25	0.040587
408.50	0.040555
408.75	0.041643
409.00	0.037557
409.25	0.041135
409.50	0.041852
409.75	0.040442
410.00	0.043577
410.25	0.041812
410.50	0.040337
410.75	0.045172
411.00	0.044544
411.25	0.043907
411.50	0.044777
411.75	0.044487
412.00	0.044229
412.25	0.044463
412.50	0.047227
412.75	0.044882
413.00	0.045664
413.25	0.044383
413.50	0.045841
413.75	0.046196
414.00	0.046341
