Wavelength (nm)	J09 abs N
633.00	0.22233
634.00	0.21410
635.00	0.20577
636.00	0.19717
637.00	0.18971
638.00	0.18192
639.00	0.17445
640.00	0.16746
641.00	0.16084
642.00	0.15385
643.00	0.14759
644.00	0.14159
645.00	0.13510
646.00	0.12887
647.00	0.12328
648.00	0.11767
649.00	0.11268
650.00	0.10788
651.00	0.10296
652.00	0.098111
653.00	0.093593
654.00	0.089872
655.00	0.085132
656.00	0.082002
657.00	0.078615
658.00	0.074725
659.00	0.071678
660.00	0.068413
661.00	0.065352
662.00	0.062684
663.00	0.059791
664.00	0.057314
665.00	0.054370
666.00	0.051702
667.00	0.049849
668.00	0.047881
669.00	0.046023
670.00	0.044253
671.00	0.042487
672.00	0.040497
673.00	0.038943
674.00	0.037563
675.00	0.036052
676.00	0.034340
677.00	0.033464
678.00	0.032193
679.00	0.030644
680.00	0.029308
681.00	0.028231
682.00	0.027525
683.00	0.026603
684.00	0.025715
685.00	0.024472
686.00	0.023810
687.00	0.023156
688.00	0.022334
689.00	0.021310
690.00	0.020992
691.00	0.020375
692.00	0.019741
693.00	0.019259
694.00	0.018644
695.00	0.018237
696.00	0.017962
697.00	0.017305
698.00	0.016575
699.00	0.016159
700.00	0.015435
701.00	0.015307
702.00	0.014866
703.00	0.014542
704.00	0.013963
705.00	0.013821
706.00	0.013745
707.00	0.013421
708.00	0.013170
709.00	0.012866
710.00	0.012406
711.00	0.012358
712.00	0.012181
713.00	0.011631
714.00	0.011308
715.00	0.010923
716.00	0.010789
717.00	0.010489
718.00	0.010424
719.00	0.010107
720.00	0.0099534
721.00	0.0098734
722.00	0.0093289
723.00	0.0095227
724.00	0.0087579
725.00	0.0089907
726.00	0.0085595
727.00	0.0083966
728.00	0.0085757
729.00	0.0083781
730.00	0.0081491
731.00	0.0080802
732.00	0.0076157
733.00	0.0074232
734.00	0.0072289
735.00	0.0073589
736.00	0.0073644
737.00	0.0068699
738.00	0.0067366
739.00	0.0064558
740.00	0.0061976
741.00	0.0065779
742.00	0.0066631
743.00	0.0063198
744.00	0.0059039
745.00	0.0058470
746.00	0.0057618
747.00	0.0057128
748.00	0.0060089
749.00	0.0058858
750.00	0.0052955
751.00	0.0052358
752.00	0.0054445
753.00	0.0055444
754.00	0.0053950
755.00	0.0049036
756.00	0.0048162
757.00	0.0048694
758.00	0.0049069
759.00	0.0046052
760.00	0.0042194
761.00	0.0039422
762.00	0.0045030
763.00	0.0044673
764.00	0.0041935
765.00	0.0038978
766.00	0.0038002
