Wavelength (nm)	N10 abs N
308.25	0.042527
308.50	0.041609
308.75	0.041494
309.00	0.040332
309.25	0.039468
309.50	0.039407
309.75	0.039239
310.00	0.040271
310.25	0.037113
310.50	0.042794
310.75	0.036731
311.00	0.046640
311.25	0.039659
311.50	0.036081
311.75	0.035492
312.00	0.038849
312.25	0.028030
312.50	0.032732
312.75	0.034307
313.00	0.033634
313.25	0.039269
313.50	0.036502
313.75	0.039484
314.00	0.036165
314.25	0.033902
314.50	0.032732
314.75	0.032992
315.00	0.034093
315.25	0.035661
315.50	0.035821
315.75	0.031356
316.00	0.031677
316.25	0.030094
316.50	0.030630
316.75	0.032075
317.00	0.031991
317.25	0.033229
317.50	0.032342
317.75	0.023397
318.00	0.037488
318.25	0.032266
318.50	0.029383
318.75	0.030912
319.00	0.032312
319.25	0.036639
319.50	0.036127
319.75	0.032510
320.00	0.032679
320.25	0.027900
320.50	0.028817
320.75	0.033160
321.00	0.030117
321.25	0.032319
321.50	0.030698
321.75	0.032556
322.00	0.032052
322.25	0.036096
322.50	0.028061
322.75	0.033481
323.00	0.026852
323.25	0.037649
323.50	0.039560
323.75	0.036769
324.00	0.036853
324.25	0.038023
324.50	0.039789
324.75	0.041020
325.00	0.042175
325.25	0.046281
325.50	0.040646
325.75	0.044239
326.00	0.040737
326.25	0.041640
326.50	0.041043
326.75	0.044446
327.00	0.049729
327.25	0.052329
327.50	0.053521
327.75	0.048047
328.00	0.051901
328.25	0.056565
328.50	0.059653
328.75	0.059845
329.00	0.058575
329.25	0.055861
329.50	0.064157
329.75	0.060770
330.00	0.063117
330.25	0.063981
330.50	0.067299
330.75	0.068997
331.00	0.067292
331.25	0.066879
331.50	0.067009
331.75	0.072300
332.00	0.072705
332.25	0.076903
332.50	0.072109
332.75	0.067858
333.00	0.070128
333.25	0.064944
333.50	0.071130
333.75	0.071543
334.00	0.068416
334.25	0.065036
334.50	0.064348
334.75	0.061282
335.00	0.061580
335.25	0.061297
335.50	0.060242
335.75	0.061978
336.00	0.058185
336.25	0.059998
336.50	0.053361
336.75	0.049668
337.00	0.054760
337.25	0.051526
337.50	0.050822
337.75	0.048467
338.00	0.046281
338.25	0.040730
338.50	0.044927
338.75	0.045034
339.00	0.039254
339.25	0.041227
339.50	0.039331
339.75	0.033566
340.00	0.037182
340.25	0.038306
340.50	0.034514
340.75	0.031509
341.00	0.032510
341.25	0.026646
341.50	0.029299
341.75	0.028191
342.00	0.026799
342.25	0.025874
342.50	0.022617
342.75	0.022334
343.00	0.024406
343.25	0.022533
343.50	0.020843
343.75	0.019512
344.00	0.019077
344.25	0.016240
344.50	0.014435
344.75	0.013831
345.00	0.017800
345.25	0.012830
345.50	0.011048
345.75	0.015613
346.00	0.011316
346.25	0.011262
346.50	0.015200
346.75	0.0094351
347.00	0.0099779
347.25	0.0087775
347.50	0.010918
347.75	0.0079441
348.00	0.0086322
348.25	0.010314
348.50	0.0060250
348.75	0.0091445
349.00	0.0047558
349.25	0.0040676
349.50	0.0087087
349.75	0.0047405
350.00	0.0076994
350.25	0.0059944
350.50	0.0044117
350.75	0.0014910
351.00	0.0026684
351.25	0.0053445
351.50	0.0036930
351.75	0.00097868
352.00	0.0028366
352.25	0.0052680
352.50	0.0013075
352.75	0.0039300
353.00	0.0034865
353.25	-0.00023702
353.50	0.00056580
353.75	0.0019879
354.00	0.00089457
354.25	0.00086399
354.50	-0.00071107
354.75	0.00055815
355.00	0.0018121
355.25	0.00077988
355.50	0.0030278
355.75	0.0016561
356.00	0.00094274
356.25	0.0015062
356.50	0.0012233
356.75	0.0035936
357.00	0.00072636
357.25	0.0030890
357.50	0.0016790
357.75	0.00089457
358.00	0.00089457
358.25	-0.00032113
358.50	0.0017471
358.75	0.00084870
359.00	0.00054286
359.25	6.8049e-05
359.50	0.0022112
359.75	0.0030278
360.00	0.00095574
360.25	0.0028366
360.50	0.00025232
360.75	0.00079212
361.00	0.0022097
361.25	-0.00073401
361.50	9.9397e-05
361.75	0.0019344
362.00	0.0025996
362.25	-0.00096339
362.50	0.0013916
362.75	0.00087163
363.00	0.0046869
363.25	0.0010169
363.50	0.0059791
363.75	0.00081047
364.00	0.0013533
364.25	0.00039759
364.50	6.8813e-05
364.75	-0.00064226
365.00	0.00074165
365.25	0.0039988
365.50	0.0040218
365.75	0.0019879
