Wavelength (nm)	N08 abs N
308.25	0.076903
308.50	0.077397
308.75	0.078278
309.00	0.078729
309.25	0.077885
309.50	0.079355
309.75	0.083830
310.00	0.075791
310.25	0.075031
310.50	0.078815
310.75	0.080630
311.00	0.080215
311.25	0.082401
311.50	0.083349
311.75	0.079173
312.00	0.084396
312.25	0.088222
312.50	0.079578
312.75	0.076142
313.00	0.090486
313.25	0.085704
313.50	0.079803
313.75	0.080019
314.00	0.086732
314.25	0.087293
314.50	0.084547
314.75	0.088508
315.00	0.085098
315.25	0.083715
315.50	0.085581
315.75	0.090501
316.00	0.087048
316.25	0.085994
316.50	0.089340
316.75	0.090802
317.00	0.091052
317.25	0.088146
317.50	0.090895
317.75	0.084245
318.00	0.095013
318.25	0.092512
318.50	0.090767
318.75	0.095864
319.00	0.087043
319.25	0.089136
319.50	0.089470
319.75	0.095013
320.00	0.091998
320.25	0.091187
320.50	0.090141
320.75	0.092142
321.00	0.090481
321.25	0.087609
321.50	0.088987
321.75	0.094479
322.00	0.086878
322.25	0.093447
322.50	0.088430
322.75	0.085432
323.00	0.092001
323.25	0.091797
323.50	0.096910
323.75	0.092549
324.00	0.088322
324.25	0.089102
324.50	0.090219
324.75	0.084200
325.00	0.090188
325.25	0.089000
325.50	0.085648
325.75	0.083584
326.00	0.086813
326.25	0.087609
326.50	0.085562
326.75	0.087386
327.00	0.087644
327.25	0.089198
327.50	0.088043
327.75	0.086181
328.00	0.084344
328.25	0.086765
328.50	0.083783
328.75	0.080878
329.00	0.078275
329.25	0.078752
329.50	0.082477
329.75	0.084932
330.00	0.081387
330.25	0.078447
330.50	0.080608
330.75	0.081127
331.00	0.072987
331.25	0.075534
331.50	0.074244
331.75	0.076211
332.00	0.077227
332.25	0.076214
332.50	0.072795
332.75	0.074442
333.00	0.071107
333.25	0.072695
333.50	0.071632
333.75	0.074095
334.00	0.067235
334.25	0.067779
334.50	0.071025
334.75	0.075238
335.00	0.064271
335.25	0.066667
335.50	0.059882
335.75	0.065644
336.00	0.070219
336.25	0.063123
336.50	0.064812
336.75	0.065549
337.00	0.062619
337.25	0.060058
337.50	0.059441
337.75	0.057007
338.00	0.060850
338.25	0.060410
338.50	0.055493
338.75	0.055524
339.00	0.059830
339.25	0.059735
339.50	0.056291
339.75	0.055060
340.00	0.054990
340.25	0.051722
340.50	0.050533
340.75	0.052088
341.00	0.048904
341.25	0.051367
341.50	0.051575
341.75	0.049452
342.00	0.051604
342.25	0.045862
342.50	0.050135
342.75	0.047431
343.00	0.046091
343.25	0.044397
343.50	0.045488
343.75	0.043828
344.00	0.043102
344.25	0.042232
344.50	0.045360
344.75	0.044339
345.00	0.039978
345.25	0.041675
345.50	0.043154
345.75	0.041250
346.00	0.040271
346.25	0.040403
346.50	0.043640
346.75	0.040028
347.00	0.038182
347.25	0.039863
347.50	0.037580
347.75	0.040422
348.00	0.037457
348.25	0.037488
348.50	0.040406
348.75	0.037895
349.00	0.038617
349.25	0.037226
349.50	0.037131
349.75	0.037810
350.00	0.037344
350.25	0.037174
350.50	0.035151
350.75	0.037774
351.00	0.037503
351.25	0.035422
351.50	0.035663
351.75	0.033422
352.00	0.034556
352.25	0.033114
352.50	0.034180
352.75	0.033160
353.00	0.033485
353.25	0.036697
353.50	0.037301
353.75	0.031189
354.00	0.033475
354.25	0.031091
354.50	0.035835
354.75	0.033602
355.00	0.033019
355.25	0.030938
355.50	0.029270
355.75	0.027710
356.00	0.027969
356.25	0.029388
356.50	0.030168
356.75	0.028828
357.00	0.028960
357.25	0.030573
357.50	0.030057
357.75	0.029853
358.00	0.030170
358.25	0.028190
358.50	0.028541
358.75	0.028286
359.00	0.028561
359.25	0.023830
359.50	0.027109
359.75	0.025449
360.00	0.023275
360.25	0.024753
360.50	0.024086
360.75	0.021988
361.00	0.023408
361.25	0.025804
361.50	0.021501
361.75	0.024410
362.00	0.021622
362.25	0.021754
362.50	0.021693
362.75	0.019057
363.00	0.018507
363.25	0.020491
363.50	0.019554
363.75	0.016716
364.00	0.018278
364.25	0.019656
364.50	0.017962
364.75	0.016992
365.00	0.012285
365.25	0.014403
365.50	0.016176
365.75	0.015105
366.00	0.015776
366.25	0.018382
366.50	0.015165
366.75	0.013471
367.00	0.013258
367.25	0.013693
367.50	0.0097358
367.75	0.011433
368.00	0.011355
368.25	0.011420
368.50	0.010887
368.75	0.012710
369.00	0.011555
369.25	0.0097265
369.50	0.013292
369.75	0.0093933
370.00	0.010039
370.25	0.010836
370.50	0.011700
370.75	0.0073469
371.00	0.0082110
371.25	0.0097568
371.50	0.0077768
371.75	0.0070759
372.00	0.0080158
372.25	0.0096121
372.50	0.0069505
372.75	0.0071499
373.00	0.0073746
373.25	0.0058911
373.50	0.0061326
373.75	0.0095969
374.00	0.0065315
374.25	0.0040214
374.50	0.0047004
374.75	0.0058676
375.00	0.0044345
375.25	0.0063758
375.50	0.0050101
375.75	0.0057901
376.00	0.0069909
376.25	0.0050867
376.50	0.0034096
376.75	0.0046777
377.00	0.0039599
377.25	0.0060106
377.50	0.0019522
377.75	0.0049453
378.00	0.0017031
378.25	0.0048225
378.50	0.00032649
378.75	0.0050446
379.00	0.0037126
379.25	0.0033061
379.50	0.0044480
379.75	0.0042940
380.00	0.0056294
380.25	0.0039776
380.50	0.0057085
380.75	0.0037117
381.00	0.0036839
381.25	0.0033364
381.50	0.0026775
381.75	0.0025909
382.00	0.00057725
382.25	0.0028299
382.50	0.0042494
382.75	0.0040113
383.00	0.0025446
383.25	0.0016501
383.50	0.0032043
383.75	0.0030672
384.00	0.00089364
384.25	0.0031547
384.50	0.0027146
384.75	0.0031496
385.00	0.0023814
385.25	0.0020759
385.50	0.00080276
385.75	0.0015155
386.00	0.0024806
386.25	0.00056799
386.50	0.0027280
386.75	0.0031883
387.00	0.0047257
387.25	0.0038985
387.50	0.0026675
387.75	0.0017057
388.00	0.0024857
388.25	0.00057304
388.50	0.0042141
388.75	0.0020069
389.00	0.0040828
389.25	0.0024647
389.50	0.0032784
389.75	0.0027541
390.00	0.0012959
390.25	0.00028357
390.50	0.0042696
390.75	0.0037538
391.00	0.0048199
391.25	0.0025875
391.50	0.0031404
391.75	0.0029611
392.00	0.0010485
392.25	0.0011637
392.50	0.0042999
392.75	0.0030352
393.00	0.0015601
393.25	0.0031311
393.50	0.0059896
393.75	0.0022930
394.00	0.0050000
394.25	0.0047114
394.50	0.0029418
394.75	0.0048662
395.00	0.0022888
395.25	0.0048023
395.50	0.0028896
395.75	0.0041493
396.00	0.0017654
396.25	0.0068538
396.50	0.0062538
396.75	0.0044926
397.00	0.0077045
397.25	0.0051776
397.50	0.0039297
397.75	0.0060308
398.00	0.0049428
398.25	0.0039642
398.50	0.0053837
398.75	0.0047080
399.00	0.0085931
399.25	0.0054603
399.50	0.0070397
399.75	0.0057834
400.00	0.0045271
400.25	0.0042216
400.50	0.0057001
400.75	0.0030217
401.00	0.0062925
401.25	0.0046659
401.50	0.0046550
401.75	0.0078164
402.00	0.0044480
402.25	0.0052533
402.50	0.0055032
402.75	0.0068470
403.00	0.0070633
403.25	0.0051422
403.50	0.0065197
403.75	0.0063909
404.00	0.0065820
404.25	0.0055781
404.50	0.0063076
404.75	0.0075673
405.00	0.0060502
405.25	0.0070321
405.50	0.0051363
405.75	0.0066316
406.00	0.0066712
406.25	0.0072156
406.50	0.0069606
406.75	0.0067814
407.00	0.0063329
407.25	0.0080722
407.50	0.0078761
407.75	0.0067629
408.00	0.0067856
408.25	0.0066484
408.50	0.0082784
408.75	0.0068622
409.00	0.0072635
409.25	0.0072863
409.50	0.0087563
409.75	0.0092250
410.00	0.0082716
410.25	0.010003
410.50	0.0097223
410.75	0.0083482
411.00	0.0046264
411.25	0.0091846
411.50	0.0085510
411.75	0.0087841
412.00	0.010027
412.25	0.0075841
412.50	0.0090458
412.75	0.0074445
413.00	0.0084012
413.25	0.010578
413.50	0.0082784
413.75	0.010026
414.00	0.0094934
414.25	0.010501
414.50	0.0087647
414.75	0.010109
415.00	0.010602
415.25	0.0083701
415.50	0.011691
415.75	0.0094758
416.00	0.011232
416.25	0.010077
416.50	0.010554
416.75	0.010644
417.00	0.010162
417.25	0.010521
417.50	0.010056
417.75	0.0098174
418.00	0.012550
418.25	0.010856
418.50	0.0095742
418.75	0.010657
419.00	0.010537
419.25	0.012461
419.50	0.010094
419.75	0.010748
420.00	0.012546
420.25	0.013175
420.50	0.012524
420.75	0.011436
421.00	0.011913
421.25	0.012458
421.50	0.011664
421.75	0.011006
422.00	0.0090256
422.25	0.011733
422.50	0.0095338
422.75	0.011349
423.00	0.011414
423.25	0.013363
423.50	0.011518
423.75	0.010329
424.00	0.011370
424.25	0.011771
424.50	0.012206
424.75	0.010395
425.00	0.011595
425.25	0.0099015
425.50	0.010446
425.75	0.013203
426.00	0.0097173
426.25	0.011162
426.50	0.010747
426.75	0.010097
427.00	0.011087
427.25	0.010908
427.50	0.012428
427.75	0.012838
428.00	0.011043
428.25	0.0098713
428.50	0.010449
428.75	0.011877
429.00	0.0097375
429.25	0.0097602
429.50	0.011382
429.75	0.013500
430.00	0.013034
430.25	0.0097501
430.50	0.012676
430.75	0.012741
431.00	0.011846
431.25	0.011608
431.50	0.010916
431.75	0.010921
432.00	0.012173
432.25	0.0093428
432.50	0.012353
432.75	0.011786
433.00	0.010050
433.25	0.010730
433.50	0.010778
433.75	0.012769
434.00	0.010385
434.25	0.011620
434.50	0.0086217
434.75	0.010731
435.00	0.010173
435.25	0.010137
435.50	0.0088304
435.75	0.013271
436.00	0.011013
436.25	0.010783
436.50	0.010402
436.75	0.013715
437.00	0.010641
437.25	0.010799
437.50	0.011579
437.75	0.010625
438.00	0.011254
438.25	0.012211
438.50	0.011409
438.75	0.011053
439.00	0.010857
439.25	0.011553
439.50	0.010877
439.75	0.010975
440.00	0.010636
440.25	0.010356
440.50	0.010295
440.75	0.012429
441.00	0.010895
441.25	0.013888
441.50	0.011850
441.75	0.010804
442.00	0.011525
442.25	0.011463
442.50	0.010544
442.75	0.011088
443.00	0.010446
443.25	0.013161
443.50	0.010895
443.75	0.010851
444.00	0.011547
444.25	0.010602
444.50	0.012610
444.75	0.011800
445.00	0.011755
445.25	0.012115
445.50	0.010581
445.75	0.012185
446.00	0.011695
446.25	0.011457
446.50	0.010857
446.75	0.011115
447.00	0.011331
447.25	0.012254
447.50	0.012925
447.75	0.012788
448.00	0.011624
448.25	0.011958
448.50	0.012503
448.75	0.013308
449.00	0.012472
449.25	0.013639
449.50	0.013157
449.75	0.011430
450.00	0.011284
450.25	0.013242
450.50	0.012087
450.75	0.011453
451.00	0.012014
451.25	0.012214
451.50	0.012733
451.75	0.013623
452.00	0.013325
452.25	0.012970
452.50	0.013186
452.75	0.013596
453.00	0.012120
453.25	0.011504
453.50	0.011762
453.75	0.013207
454.00	0.012430
454.25	0.013530
454.50	0.013620
454.75	0.011884
455.00	0.013354
455.25	0.012594
455.50	0.012449
455.75	0.014011
456.00	0.012444
456.25	0.014654
456.50	0.013398
456.75	0.011906
457.00	0.014470
457.25	0.014114
457.50	0.013447
457.75	0.014092
458.00	0.014493
458.25	0.013422
458.50	0.014152
458.75	0.012172
459.00	0.016048
459.25	0.014573
459.50	0.014411
459.75	0.013256
460.00	0.014928
460.25	0.014319
460.50	0.013795
460.75	0.014878
461.00	0.014808
461.25	0.015630
461.50	0.015266
461.75	0.016744
462.00	0.017137
462.25	0.016798
462.50	0.014608
462.75	0.016751
463.00	0.017312
463.25	0.017285
463.50	0.016634
463.75	0.018500
464.00	0.018371
464.25	0.017519
464.50	0.018736
464.75	0.016983
465.00	0.019547
465.25	0.019351
465.50	0.020022
465.75	0.017722
466.00	0.018973
466.25	0.020031
466.50	0.020904
466.75	0.020093
467.00	0.021774
467.25	0.020088
467.50	0.021020
467.75	0.021556
468.00	0.023278
468.25	0.021298
468.50	0.024165
468.75	0.024424
469.00	0.025406
469.25	0.024132
469.50	0.024761
469.75	0.025549
470.00	0.025177
470.25	0.026798
470.50	0.026207
470.75	0.026936
471.00	0.027110
471.25	0.029413
471.50	0.028519
471.75	0.030292
472.00	0.029313
472.25	0.029631
472.50	0.030276
472.75	0.030871
473.00	0.031861
473.25	0.033424
473.50	0.031402
473.75	0.033579
474.00	0.034148
474.25	0.034567
474.50	0.031855
474.75	0.034031
475.00	0.035123
475.25	0.035162
475.50	0.036927
475.75	0.036655
476.00	0.039749
476.25	0.038569
476.50	0.040569
476.75	0.038833
477.00	0.040370
477.25	0.042067
477.50	0.041998
477.75	0.042248
478.00	0.043617
478.25	0.044001
478.50	0.043006
478.75	0.043113
479.00	0.043657
479.25	0.044159
479.50	0.046008
479.75	0.046771
480.00	0.049074
480.25	0.047641
480.50	0.047420
480.75	0.049311
481.00	0.049788
481.25	0.051283
481.50	0.049026
481.75	0.051135
482.00	0.049828
482.25	0.049430
482.50	0.052718
482.75	0.053128
483.00	0.052402
483.25	0.054200
483.50	0.053238
483.75	0.055726
484.00	0.054058
484.25	0.053180
484.50	0.055769
484.75	0.055480
485.00	0.055310
485.25	0.056510
485.50	0.058847
485.75	0.057221
486.00	0.057866
486.25	0.057645
486.50	0.058997
486.75	0.058271
487.00	0.059143
487.25	0.060504
487.50	0.059273
487.75	0.061593
488.00	0.059874
488.25	0.062816
488.50	0.063840
488.75	0.065235
489.00	0.062969
489.25	0.063564
489.50	0.064983
489.75	0.062927
490.00	0.066114
490.25	0.064227
490.50	0.065671
490.75	0.065046
491.00	0.066154
491.25	0.067751
491.50	0.069902
491.75	0.069319
492.00	0.069325
492.25	0.071813
492.50	0.070902
492.75	0.073180
493.00	0.071781
493.25	0.074134
493.50	0.073610
493.75	0.075879
494.00	0.075885
494.25	0.078483
494.50	0.078144
494.75	0.075953
495.00	0.079771
495.25	0.080417
495.50	0.081710
495.75	0.082179
496.00	0.083093
496.25	0.084143
496.50	0.085579
496.75	0.087032
497.00	0.086163
497.25	0.087263
497.50	0.091568
497.75	0.090716
498.00	0.094668
498.25	0.096492
498.50	0.097348
498.75	0.097816
499.00	0.099202
499.25	0.10216
499.50	0.10281
499.75	0.10385
500.00	0.10745
500.25	0.10965
500.50	0.11024
500.75	0.11238
501.00	0.11439
501.25	0.11471
501.50	0.11904
501.75	0.12102
502.00	0.12153
502.25	0.12626
502.50	0.12951
502.75	0.12838
503.00	0.13066
503.25	0.13182
503.50	0.13627
503.75	0.13901
504.00	0.14074
504.25	0.14357
504.50	0.14835
504.75	0.15083
505.00	0.15192
505.25	0.15245
505.50	0.15686
505.75	0.15924
506.00	0.16309
506.25	0.16807
506.50	0.16983
506.75	0.17240
507.00	0.17681
507.25	0.17653
507.50	0.18225
507.75	0.18648
508.00	0.18721
508.25	0.19105
508.50	0.19276
508.75	0.19525
509.00	0.20034
509.25	0.20288
509.50	0.20543
509.75	0.21077
510.00	0.21522
510.25	0.21526
510.50	0.22038
510.75	0.22250
511.00	0.22349
511.25	0.22759
511.50	0.23244
511.75	0.23568
512.00	0.23872
512.25	0.24219
512.50	0.24674
512.75	0.24948
513.00	0.24954
513.25	0.25332
513.50	0.25481
513.75	0.26018
514.00	0.26010
514.25	0.26150
514.50	0.26845
514.75	0.26924
515.00	0.27235
515.25	0.27497
515.50	0.27629
515.75	0.27755
516.00	0.28202
516.25	0.28222
516.50	0.28275
516.75	0.28518
517.00	0.28687
517.25	0.28890
517.50	0.28842
517.75	0.28941
518.00	0.28905
518.25	0.29314
518.50	0.29174
518.75	0.29281
519.00	0.29249
519.25	0.29249
519.50	0.29519
519.75	0.29234
520.00	0.29321
520.25	0.29215
520.50	0.29455
520.75	0.29111
521.00	0.29149
521.25	0.29138
521.50	0.28960
521.75	0.28914
522.00	0.28996
522.25	0.28985
522.50	0.28722
522.75	0.28909
