Wavelength (nm)	K01 abs N
220.00	0.53226
220.25	0.53728
220.50	0.54601
220.75	0.54704
221.00	0.55347
221.25	0.55547
221.50	0.55818
221.75	0.56157
222.00	0.56404
222.25	0.57097
222.50	0.57306
222.75	0.57704
223.00	0.57848
223.25	0.58153
223.50	0.58594
223.75	0.58851
224.00	0.59078
224.25	0.59714
224.50	0.59819
224.75	0.60229
225.00	0.60198
225.25	0.60118
225.50	0.60396
225.75	0.60274
226.00	0.60104
226.25	0.60096
226.50	0.60123
226.75	0.59989
227.00	0.60022
227.25	0.59787
227.50	0.59460
227.75	0.59060
228.00	0.58949
228.25	0.58376
228.50	0.58256
228.75	0.57678
229.00	0.57351
229.25	0.56789
229.50	0.56083
229.75	0.55657
230.00	0.55260
230.25	0.54533
230.50	0.54004
230.75	0.53323
231.00	0.52417
231.25	0.51816
231.50	0.51024
231.75	0.50016
232.00	0.49312
232.25	0.48922
232.50	0.47775
232.75	0.46990
233.00	0.46149
233.25	0.45217
233.50	0.44434
233.75	0.43765
234.00	0.42831
234.25	0.42204
234.50	0.41357
234.75	0.40472
235.00	0.39922
235.25	0.39244
235.50	0.38614
235.75	0.38022
236.00	0.37354
236.25	0.36862
236.50	0.36225
236.75	0.35801
237.00	0.35374
237.25	0.34848
237.50	0.34332
237.75	0.33886
238.00	0.33221
238.25	0.32893
238.50	0.32332
238.75	0.31777
239.00	0.31319
239.25	0.30612
239.50	0.30114
239.75	0.29482
240.00	0.28897
240.25	0.28134
240.50	0.27482
240.75	0.27120
241.00	0.26398
241.25	0.25952
241.50	0.25318
241.75	0.24922
242.00	0.24364
242.25	0.23841
242.50	0.23500
242.75	0.22962
243.00	0.22630
243.25	0.22217
243.50	0.21804
243.75	0.21627
244.00	0.21358
244.25	0.20873
244.50	0.20525
244.75	0.20269
245.00	0.19970
245.25	0.19801
245.50	0.19353
245.75	0.19068
246.00	0.18878
246.25	0.18579
246.50	0.18308
246.75	0.17956
247.00	0.17740
247.25	0.17515
247.50	0.17164
247.75	0.16850
248.00	0.16502
248.25	0.16176
248.50	0.15853
248.75	0.15591
249.00	0.15302
249.25	0.14956
249.50	0.14733
249.75	0.14450
250.00	0.14158
250.25	0.13743
250.50	0.13584
250.75	0.13359
251.00	0.13025
251.25	0.12828
251.50	0.12611
251.75	0.12282
252.00	0.11980
252.25	0.11885
252.50	0.11579
252.75	0.11394
253.00	0.11294
253.25	0.11094
253.50	0.10963
253.75	0.10646
254.00	0.10502
254.25	0.10367
254.50	0.10075
254.75	0.099572
255.00	0.098907
255.25	0.097261
255.50	0.095180
255.75	0.093787
256.00	0.092582
256.25	0.090783
256.50	0.088402
256.75	0.086221
257.00	0.084645
257.25	0.083411
257.50	0.080171
257.75	0.078190
258.00	0.076303
258.25	0.074328
258.50	0.073757
258.75	0.072158
259.00	0.070283
259.25	0.069501
259.50	0.068231
259.75	0.067972
260.00	0.065268
260.25	0.065985
260.50	0.066620
260.75	0.064422
261.00	0.064210
261.25	0.064369
261.50	0.064163
261.75	0.063493
262.00	0.062546
262.25	0.062864
262.50	0.062928
262.75	0.063093
263.00	0.063093
263.25	0.062717
263.50	0.062364
263.75	0.061776
264.00	0.060594
264.25	0.060083
264.50	0.060412
264.75	0.058995
265.00	0.057637
265.25	0.057479
265.50	0.056303
265.75	0.055280
266.00	0.054186
266.25	0.052764
266.50	0.052317
266.75	0.050606
267.00	0.049895
267.25	0.048901
267.50	0.047808
267.75	0.047220
268.00	0.044998
268.25	0.045186
268.50	0.044039
268.75	0.042893
269.00	0.042399
269.25	0.041647
269.50	0.041893
269.75	0.040929
270.00	0.041729
270.25	0.040471
270.50	0.039489
270.75	0.039824
271.00	0.040541
271.25	0.040371
271.50	0.039166
271.75	0.037761
272.00	0.039601
272.25	0.040006
272.50	0.038972
272.75	0.038607
273.00	0.038831
273.25	0.039166
273.50	0.040283
273.75	0.039248
274.00	0.039718
274.25	0.039554
274.50	0.040847
274.75	0.041682
275.00	0.041082
275.25	0.041658
275.50	0.042963
275.75	0.042029
276.00	0.042370
276.25	0.044562
276.50	0.044127
276.75	0.045603
277.00	0.045291
277.25	0.045244
277.50	0.046226
277.75	0.046091
278.00	0.045544
278.25	0.045086
278.50	0.046173
278.75	0.045391
279.00	0.046309
279.25	0.047326
279.50	0.046391
279.75	0.046403
280.00	0.046802
280.25	0.047038
280.50	0.048102
280.75	0.047367
281.00	0.046297
281.25	0.047778
281.50	0.047002
281.75	0.047049
282.00	0.046597
282.25	0.047978
282.50	0.048325
282.75	0.048854
283.00	0.046985
283.25	0.047655
283.50	0.048813
283.75	0.048472
284.00	0.047814
284.25	0.048784
284.50	0.049324
284.75	0.048560
285.00	0.049413
285.25	0.048883
285.50	0.049030
285.75	0.052052
286.00	0.050647
286.25	0.051053
286.50	0.053016
286.75	0.051735
287.00	0.051799
287.25	0.051594
287.50	0.052040
287.75	0.052364
288.00	0.052152
288.25	0.053011
288.50	0.053005
288.75	0.052587
289.00	0.052417
289.25	0.052946
289.50	0.052199
289.75	0.053340
290.00	0.052887
290.25	0.052911
290.50	0.052887
290.75	0.052299
291.00	0.051982
291.25	0.052046
291.50	0.051888
291.75	0.050653
292.00	0.051059
292.25	0.051376
292.50	0.050412
292.75	0.050735
293.00	0.050630
293.25	0.050183
293.50	0.049712
293.75	0.048460
294.00	0.047602
294.25	0.048343
294.50	0.048513
294.75	0.048548
295.00	0.047096
295.25	0.047667
295.50	0.046867
295.75	0.047702
296.00	0.047237
296.25	0.049107
296.50	0.048084
296.75	0.048172
297.00	0.047978
297.25	0.046791
297.50	0.048513
297.75	0.047508
298.00	0.048431
298.25	0.049577
298.50	0.048354
298.75	0.049213
299.00	0.049948
299.25	0.050618
299.50	0.050147
299.75	0.052693
300.00	0.051423
300.25	0.054057
300.50	0.053040
300.75	0.054410
301.00	0.054568
301.25	0.055450
301.50	0.055921
301.75	0.057914
302.00	0.057455
302.25	0.058795
302.50	0.060059
302.75	0.061864
303.00	0.061382
303.25	0.062258
303.50	0.062893
303.75	0.064116
304.00	0.064469
304.25	0.066444
304.50	0.066109
304.75	0.068313
305.00	0.068843
305.25	0.070265
305.50	0.070835
305.75	0.071282
306.00	0.071876
306.25	0.072805
306.50	0.074998
306.75	0.075856
307.00	0.075921
307.25	0.077896
307.50	0.077267
307.75	0.078202
308.00	0.080071
308.25	0.081253
308.50	0.081441
308.75	0.083393
309.00	0.083052
309.25	0.085051
309.50	0.085862
309.75	0.086920
310.00	0.090212
310.25	0.088090
310.50	0.090430
310.75	0.084134
311.00	0.095562
311.25	0.093499
311.50	0.092676
311.75	0.091688
312.00	0.091635
312.25	0.094628
312.50	0.097961
312.75	0.096426
