Wavelength (nm)	K10 abs 1
308.25	0.016855
308.50	0.016363
308.75	0.016039
309.00	0.015504
309.25	0.016131
309.50	0.014433
309.75	0.015163
310.00	0.018369
310.25	0.018455
310.50	0.017758
310.75	0.017677
311.00	0.019947
311.25	0.019839
311.50	0.017206
311.75	0.016990
312.00	0.016266
312.25	0.019671
312.50	0.016412
312.75	0.018109
313.00	0.022423
313.25	0.018850
313.50	0.017190
313.75	0.016914
314.00	0.015741
314.25	0.017855
314.50	0.018298
314.75	0.017228
315.00	0.013066
315.25	0.014768
315.50	0.016741
315.75	0.016752
316.00	0.015741
316.25	0.019769
316.50	0.016617
316.75	0.016509
317.00	0.018136
317.25	0.015277
317.50	0.017190
317.75	0.016606
318.00	0.013109
318.25	0.013206
318.50	0.017023
318.75	0.016455
319.00	0.016066
319.25	0.018277
319.50	0.017244
319.75	0.016731
320.00	0.018396
320.25	0.012914
320.50	0.013352
320.75	0.013828
321.00	0.017763
321.25	0.011336
321.50	0.015995
321.75	0.012947
322.00	0.011871
322.25	0.015076
322.50	0.012687
322.75	0.018060
323.00	0.011195
323.25	0.013774
323.50	0.013649
323.75	0.015482
324.00	0.011136
324.25	0.014358
324.50	0.013282
324.75	0.014060
325.00	0.016304
325.25	0.015406
325.50	0.018196
325.75	0.012298
326.00	0.014747
326.25	0.011482
326.50	0.015563
326.75	0.014536
327.00	0.013520
327.25	0.016833
327.50	0.013168
327.75	0.016152
328.00	0.012768
328.25	0.012606
328.50	0.017779
328.75	0.017179
329.00	0.019201
329.25	0.014547
329.50	0.014844
329.75	0.015239
330.00	0.016266
330.25	0.015920
330.50	0.012774
330.75	0.015904
331.00	0.017455
331.25	0.012822
331.50	0.0092870
331.75	0.0099519
332.00	0.014687
332.25	0.013422
332.50	0.010974
332.75	0.0090816
333.00	0.012184
333.25	0.013109
333.50	0.013703
333.75	0.015541
334.00	0.012211
334.25	0.012963
334.50	0.013103
334.75	0.013747
335.00	0.012157
335.25	0.013022
335.50	0.010082
335.75	0.011806
336.00	0.0094870
336.25	0.012622
336.50	0.011006
336.75	0.013541
337.00	0.010784
337.25	0.014947
337.50	0.0086005
337.75	0.011201
338.00	0.013103
338.25	0.0087248
338.50	0.0095140
338.75	0.0099843
339.00	0.010584
339.25	0.0095140
339.50	0.010287
339.75	0.0096924
340.00	0.010952
340.25	0.011006
340.50	0.010595
340.75	0.0073193
341.00	0.0081626
341.25	0.0084437
341.50	0.0069031
341.75	0.0093951
342.00	0.0099465
342.25	0.010087
342.50	0.0075355
342.75	0.011363
343.00	0.012168
343.25	0.0097032
343.50	0.0073085
343.75	0.0077139
344.00	0.0096438
344.25	0.0078383
344.50	0.0075464
344.75	0.0082653
345.00	0.0077572
345.25	0.010768
345.50	0.011601
345.75	0.0094113
346.00	0.0076383
346.25	0.0078815
346.50	0.0080329
346.75	0.0055625
347.00	0.0092978
347.25	0.0073842
347.50	0.0066436
347.75	0.0055517
348.00	0.0083572
348.25	0.0067031
348.50	0.0072599
348.75	0.0073734
349.00	0.0050976
349.25	0.0062328
349.50	0.0055841
349.75	0.0053787
350.00	0.0058003
350.25	0.0046759
350.50	0.0056435
350.75	0.0052706
351.00	0.0042651
351.25	0.0048813
351.50	0.0046867
351.75	0.0044975
352.00	0.0050435
352.25	0.0035029
352.50	0.0044381
352.75	0.0015514
353.00	0.0030326
353.25	0.0053300
353.50	0.0042219
353.75	0.0072653
354.00	0.0039570
354.25	0.0017406
354.50	0.0023623
354.75	0.0061949
355.00	0.0050868
355.25	0.0050868
355.50	0.0028272
355.75	0.0045246
356.00	0.0038056
356.25	0.0029407
356.50	0.0023893
356.75	0.0028542
357.00	0.0014649
357.25	0.0039191
357.50	0.0031515
357.75	0.0027461
358.00	0.0019082
358.25	0.0021028
358.50	0.0017893
358.75	0.00061084
359.00	0.0038435
359.25	0.0021623
359.50	0.0046543
359.75	0.0030164
360.00	0.0017623
360.25	0.0027461
360.50	0.0037786
360.75	0.0034110
361.00	0.0025839
361.25	0.0021515
361.50	0.0019731
361.75	0.0022596
362.00	0.0022001
362.25	0.0017893
362.50	0.0021731
362.75	0.00057246
363.00	0.0018325
363.25	0.0018433
363.50	0.0020271
363.75	0.0030218
364.00	0.0012812
364.25	0.0031299
364.50	0.0016217
364.75	0.0023028
365.00	0.0015028
365.25	0.0042921
365.50	0.0024542
365.75	0.0030812
366.00	0.0032326
366.25	0.0024380
366.50	0.0031083
366.75	0.00059192
367.00	0.0038110
367.25	0.0019947
367.50	0.0022163
367.75	0.00054976
368.00	0.0014217
368.25	0.0011082
368.50	0.0017406
368.75	0.00071896
369.00	0.0012379
369.25	0.0021082
369.50	0.0025082
369.75	0.0017352
370.00	0.00078383
370.25	0.0012487
370.50	0.00055138
370.75	0.0013460
371.00	0.0010649
371.25	0.00089194
371.50	0.0025245
371.75	0.0012974
372.00	0.0017731
372.25	0.0019677
372.50	0.00098384
372.75	0.00054598
373.00	0.00052435
373.25	0.0010217
373.50	0.00073517
373.75	0.00025407
374.00	0.00020001
374.25	0.00053516
374.50	0.0014487
374.75	0.00087572
375.00	0.0016163
375.25	0.0017460
375.50	0.00039462
375.75	0.00091897
376.00	0.00083788
376.25	0.00058922
376.50	0.0033623
376.75	0.00058922
377.00	0.0010865
377.25	0.00096221
377.50	0.00010811
377.75	0.00043786
378.00	0.0014812
378.25	0.00086491
378.50	0.00068112
378.75	0.0012974
379.00	0.00082167
379.25	0.00051895
379.50	0.00075680
379.75	0.0012649
380.00	0.0013785
380.25	0.0017677
380.50	0.0033894
380.75	0.0024163
