Wavelength (nm)	K10 abs 1
594.50	0.0033623
594.75	0.0031191
595.00	0.0027623
595.25	0.0020163
595.50	0.0025785
595.75	0.0022434
596.00	0.0032704
596.25	0.0017569
596.50	0.0041354
596.75	0.0028164
597.00	0.0023515
597.25	0.0024163
597.50	0.0040002
597.75	0.0019190
598.00	0.0024650
598.25	0.0039678
598.50	0.00045948
598.75	0.0032759
599.00	0.0016163
599.25	0.0022163
599.50	0.0029299
599.75	0.0032326
600.00	0.0029353
600.25	0.0020812
600.50	0.0023082
600.75	0.0024758
601.00	0.0024758
601.25	0.0023839
601.50	0.00028110
601.75	0.0035786
602.00	0.0012163
602.25	0.0021623
602.50	0.00098924
602.75	0.0024272
603.00	0.0025569
603.25	0.0021298
603.50	0.0020001
603.75	0.0017190
604.00	0.0014920
604.25	0.0013568
604.50	0.0027947
604.75	0.0016433
605.00	0.0018001
605.25	0.0028758
605.50	0.0026164
605.75	0.0023407
606.00	0.0019893
606.25	0.0023082
606.50	0.0013460
606.75	0.0016866
607.00	0.0021136
607.25	0.0020217
607.50	0.0024704
607.75	0.0031786
608.00	0.0022109
608.25	0.0012109
608.50	0.00086491
608.75	0.0027623
609.00	0.0011514
609.25	0.0022434
609.50	0.0019298
609.75	0.0010055
610.00	0.0021677
610.25	0.00077301
610.50	0.0017677
610.75	0.00095681
611.00	0.0024001
611.25	0.0019893
611.50	0.0014055
611.75	0.0018650
612.00	0.0034813
612.25	0.0027028
612.50	0.0019947
612.75	0.0013244
613.00	0.0017190
613.25	0.0028488
613.50	0.0012055
613.75	0.0022542
614.00	0.0019352
614.25	0.0019028
614.50	0.0035083
614.75	0.0018542
615.00	0.0017677
615.25	0.0019461
615.50	0.0029461
615.75	0.00098924
616.00	0.00061625
616.25	0.0017731
616.50	0.0025136
616.75	0.0016217
617.00	0.0020055
617.25	0.0019028
617.50	0.0031407
617.75	0.0020920
618.00	0.0016325
618.25	0.00037717
618.50	0.0026650
618.75	0.0022758
619.00	0.0016433
619.25	0.0014433
619.50	0.0022326
619.75	0.0019677
620.00	0.00099465
620.25	0.0017028
620.50	0.0020812
620.75	0.0014487
621.00	0.0023731
621.25	0.0012974
621.50	0.0021190
621.75	0.0022163
622.00	0.0012757
622.25	0.0021298
622.50	0.0014433
622.75	0.0017298
623.00	0.0024272
623.25	0.0031515
623.50	0.00095681
623.75	0.00095140
624.00	0.0018542
624.25	0.0022812
624.50	0.0016379
624.75	0.0014541
625.00	0.0018542
625.25	0.0013460
625.50	0.0028380
625.75	0.0015731
626.00	0.0013785
626.25	0.0015568
626.50	0.0024866
626.75	0.0023407
627.00	0.00081085
627.25	0.0019244
627.50	0.0013568
627.75	0.0016433
628.00	0.0018271
628.25	0.0019352
628.50	0.0028812
628.75	0.0013893
629.00	0.0024109
629.25	0.0013244
629.50	0.0010109
629.75	0.0038975
630.00	0.0024704
630.25	0.0033894
630.50	0.00097303
630.75	0.0016379
631.00	0.00065409
631.25	0.0015190
631.50	0.0022974
631.75	0.0014055
632.00	0.0023028
632.25	0.0011190
632.50	0.0019785
632.75	0.0016974
633.00	0.0022812
633.25	0.0017028
633.50	0.0018163
633.75	0.0018487
634.00	0.0015190
634.25	0.0030921
634.50	0.0013460
634.75	0.0024109
635.00	0.0016758
635.25	0.0020271
635.50	0.0032975
635.75	0.0021569
636.00	0.0028596
636.25	0.0011244
636.50	0.0032110
636.75	0.0023569
637.00	0.0018650
637.25	0.00092978
637.50	0.0023353
637.75	0.0026055
638.00	0.0021407
638.25	0.0022001
638.50	0.0021677
638.75	0.0014001
639.00	0.0020974
639.25	0.0013568
639.50	0.0012001
639.75	0.0026434
640.00	0.0029191
640.25	0.0010001
640.50	0.0018163
640.75	0.0020001
641.00	0.0028272
641.25	0.0014001
641.50	0.0021461
641.75	0.0025731
642.00	0.0011784
642.25	0.0014325
642.50	0.0023893
642.75	0.0017082
643.00	0.0027731
643.25	0.00077842
643.50	0.0025839
643.75	0.0021947
644.00	0.0022650
644.25	0.0013190
644.50	0.0023082
644.75	0.0016866
645.00	0.00096762
645.25	0.0018109
645.50	0.0024596
645.75	0.0023353
646.00	0.0016758
646.25	0.0011622
646.50	0.0014541
646.75	0.0022055
647.00	0.0022866
647.25	0.00067571
647.50	0.0023353
647.75	0.0027407
648.00	0.0015568
648.25	0.0016812
648.50	0.0012433
648.75	0.0015947
649.00	0.0026488
649.25	0.0034867
649.50	0.0021461
649.75	0.0013568
650.00	0.0023569
650.25	0.0023677
650.50	0.0026650
650.75	0.0012379
651.00	0.0019028
651.25	0.0013839
651.50	0.0020974
651.75	0.0019731
652.00	0.0012541
652.25	0.0021515
652.50	0.0020217
652.75	0.0028920
653.00	0.0017082
653.25	0.0028975
653.50	0.00072436
653.75	0.0012271
654.00	0.00087032
654.25	0.0011244
654.50	0.0018001
654.75	0.0022163
655.00	0.0023082
655.25	0.0012163
655.50	0.00087032
655.75	0.0012109
656.00	0.0023839
656.25	0.0015893
656.50	0.0023461
656.75	0.0029461
657.00	0.0019623
657.25	0.0014974
657.50	0.0019515
657.75	0.0011784
658.00	0.0024812
658.25	0.0020325
658.50	0.0025839
658.75	0.0010649
659.00	0.0037029
659.25	0.0010487
659.50	0.00067571
659.75	0.0020974
660.00	0.0027299
660.25	0.0014649
660.50	0.0021569
660.75	0.0016109
661.00	0.0021839
661.25	0.0018542
661.50	0.0019893
661.75	0.0011784
662.00	0.0013352
662.25	0.00064868
662.50	0.00094600
662.75	0.0010217
663.00	0.0018109
663.25	0.0025082
663.50	0.0016487
663.75	0.0012866
664.00	0.0014487
664.25	0.0019082
664.50	0.0013028
664.75	0.00084869
665.00	0.0013893
665.25	0.0010325
665.50	0.0018920
665.75	0.00098924
666.00	0.00076220
666.25	0.0021785
666.50	0.00049732
666.75	0.0020379
667.00	0.0013028
667.25	0.0015731
667.50	0.00031353
667.75	0.0012920
668.00	0.0011028
668.25	0.0024758
668.50	0.00067031
668.75	0.0014271
669.00	0.0011676
669.25	0.0013406
669.50	0.0015514
669.75	0.0021407
670.00	0.0027839
670.25	0.00065409
670.50	0.00041083
670.75	0.0012649
671.00	0.0015028
671.25	0.00062706
671.50	8.6491e-05
671.75	0.0011028
672.00	0.00050814
672.25	0.0014703
672.50	0.0021623
672.75	0.0012055
673.00	0.0011298
673.25	0.0025407
673.50	0.0014649
673.75	0.00051354
674.00	0.0010595
674.25	0.0013406
674.50	0.0015622
674.75	0.00056219
675.00	0.0022055
675.25	0.0018379
675.50	0.0020596
675.75	0.0018271
676.00	0.0012812
676.25	0.00087032
676.50	0.0014866
676.75	0.0013568
677.00	0.0010001
677.25	0.0018650
677.50	0.0010920
677.75	0.0014109
678.00	0.0011730
678.25	0.0017244
678.50	0.00024866
678.75	0.0011676
679.00	0.0013893
679.25	0.0015082
679.50	0.0015406
679.75	0.00060003
680.00	0.0014163
680.25	0.0017677
680.50	0.00083248
680.75	0.0020596
681.00	0.0012109
681.25	0.00069193
681.50	0.0011082
681.75	0.0014974
682.00	0.0012379
682.25	0.00049732
682.50	0.0010757
682.75	0.00057300
683.00	0.0016541
683.25	0.00037927
683.50	0.00099465
683.75	0.00072977
684.00	0.0024272
684.25	0.0015406
684.50	0.0011190
684.75	0.0023245
685.00	0.00084869
685.25	0.0018920
685.50	0.0011784
685.75	0.00090275
686.00	0.0012163
686.25	0.0011136
686.50	0.0014595
686.75	0.00044867
687.00	0.0030975
687.25	0.0021623
687.50	0.0025623
687.75	9.7303e-05
688.00	0.0010055
688.25	0.0017839
688.50	0.0013492
688.75	0.0014163
689.00	0.00042705
689.25	0.0023353
689.50	0.00048651
689.75	0.00044327
690.00	0.00033515
690.25	0.0015190
690.50	0.0012055
690.75	0.00013514
691.00	0.00074599
691.25	0.00033515
691.50	0.0012487
691.75	0.0013514
692.00	0.00035137
692.25	0.0017731
692.50	0.0010325
692.75	0.0023407
693.00	0.00080545
693.25	0.00083248
693.50	0.0019082
693.75	0.00040002
694.00	0.00054057
694.25	0.0013730
694.50	0.0010379
694.75	0.0011893
695.00	0.0019893
695.25	0.00022704
695.50	0.00078383
695.75	0.0013028
696.00	0.0019785
696.25	0.0016812
696.50	0.0014433
696.75	0.0013730
697.00	0.00085410
697.25	0.00083788
697.50	0.00067571
697.75	0.00087032
698.00	0.0011676
698.25	0.0017136
698.50	0.0017893
698.75	0.00077301
699.00	0.0014974
699.25	0.00048651
699.50	0.0012055
699.75	0.0011406
700.00	0.0013947
