Wavelength (nm)	P07 abs N
476.50	0.64162
477.00	0.66200
477.50	0.68408
478.00	0.70732
478.50	0.73174
479.00	0.75705
479.50	0.78307
480.00	0.80845
480.50	0.83393
481.00	0.85872
481.50	0.88248
482.00	0.90440
482.50	0.92445
483.00	0.94238
483.50	0.95819
484.00	0.97165
484.50	0.98247
485.00	0.99071
485.50	0.99620
486.00	0.99940
486.50	1.0000
487.00	0.99849
487.50	0.99447
488.00	0.98800
488.50	0.97941
489.00	0.96882
489.50	0.95567
490.00	0.94043
490.50	0.92309
491.00	0.90341
491.50	0.88171
492.00	0.85792
492.50	0.83221
493.00	0.80428
493.50	0.77461
494.00	0.74369
494.50	0.71136
495.00	0.67767
495.50	0.64312
496.00	0.60821
496.50	0.57321
497.00	0.53814
497.50	0.50321
498.00	0.46934
498.50	0.43647
499.00	0.40428
499.50	0.37333
500.00	0.34412
500.50	0.31631
501.00	0.29003
501.50	0.26503
502.00	0.24189
502.50	0.22050
503.00	0.20026
503.50	0.18175
504.00	0.16462
504.50	0.14917
505.00	0.13469
505.50	0.12144
506.00	0.10959
506.50	0.098771
507.00	0.088816
507.50	0.079820
508.00	0.071674
508.50	0.064388
509.00	0.057741
509.50	0.051704
510.00	0.046377
510.50	0.041529
511.00	0.037221
511.50	0.033273
512.00	0.029845
512.50	0.026667
513.00	0.023878
513.50	0.021349
514.00	0.019060
514.50	0.017331
515.00	0.015362
515.50	0.013913
516.00	0.012444
516.50	0.011234
517.00	0.010025
517.50	0.0090255
518.00	0.0080360
518.50	0.0072264
519.00	0.0064668
519.50	0.0058471
520.00	0.0052974
520.50	0.0047376
521.00	0.0043078
521.50	0.0038281
522.00	0.0034983
522.50	0.0031484
523.00	0.0027786
523.50	0.0025487
524.00	0.0022589
524.50	0.0021489
525.00	0.0018991
525.50	0.0016692
526.00	0.0015392
526.50	0.0013973
527.00	0.0012714
527.50	0.0011594
528.00	0.00097551
528.50	0.00095152
529.00	0.00087856
529.50	0.00086357
530.00	0.00078861
530.50	0.00064967
531.00	0.00068366
531.50	0.00058561
532.00	0.00045567
532.50	0.00046987
533.00	0.00041279
533.50	0.00042679
534.00	0.00035482
534.50	0.00030185
535.00	0.00034883
535.50	0.00032284
536.00	0.00026387
536.50	0.00023988
537.00	0.00022989
537.50	0.00022589
538.00	0.00023388
538.50	0.00022789
539.00	0.00018891
539.50	0.00020190
540.00	0.00020890
540.50	0.00016492
541.00	0.00015792
541.50	0.00020690
542.00	0.00013593
542.50	0.00016292
543.00	0.00010995
543.50	0.00018791
544.00	0.00022389
544.50	0.00020090
545.00	0.00017691
545.50	0.00019890
546.00	0.00020490
546.50	0.00020690
547.00	0.00020690
547.50	0.00019990
548.00	0.00019090
548.50	0.00019190
549.00	0.00022089
549.50	0.00017691
550.00	0.00017691
