Wavelength (nm)	F05 ems
455.00	0.048786
455.50	0.046830
456.00	0.046929
456.50	0.045499
457.00	0.045167
457.50	0.043284
458.00	0.042285
458.50	0.042075
459.00	0.041153
459.50	0.039422
460.00	0.039384
460.50	0.039101
461.00	0.038125
461.50	0.036250
462.00	0.036211
462.50	0.035796
463.00	0.035300
463.50	0.034072
464.00	0.033424
464.50	0.032376
465.00	0.032342
465.50	0.031636
466.00	0.031144
466.50	0.030527
467.00	0.031026
467.50	0.029158
468.00	0.028422
468.50	0.027774
469.00	0.027355
469.50	0.027465
470.00	0.026699
470.50	0.026554
471.00	0.026081
471.50	0.025021
472.00	0.024518
472.50	0.024609
473.00	0.023366
473.50	0.023096
474.00	0.022955
474.50	0.022570
475.00	0.021651
475.50	0.021670
476.00	0.021269
476.50	0.020541
477.00	0.019653
477.50	0.019702
478.00	0.019157
478.50	0.018875
479.00	0.018353
479.50	0.017750
480.00	0.018094
480.50	0.017018
481.00	0.016896
481.50	0.016282
482.00	0.015966
482.50	0.015875
483.00	0.015775
483.50	0.014796
484.00	0.015009
484.50	0.014959
485.00	0.014456
485.50	0.013949
486.00	0.013922
486.50	0.013785
487.00	0.013229
487.50	0.013171
488.00	0.013099
488.50	0.012306
489.00	0.012374
489.50	0.012058
490.00	0.011871
490.50	0.012180
491.00	0.011684
491.50	0.011589
492.00	0.011391
492.50	0.011181
493.00	0.010899
493.50	0.010171
494.00	0.010258
494.50	0.010255
495.00	0.010281
495.50	0.0098123
496.00	0.0097742
496.50	0.0092786
497.00	0.0089888
497.50	0.0091375
498.00	0.0091947
498.50	0.0091604
499.00	0.0088973
499.50	0.0087257
500.00	0.0079784
